"date","year","month","monthn","total_lane_kms","total_hectares_of_blvds_mowed","potholes_repaired"
"2015-06-30T00:00:00.000","2015","6","Jun","96","1043","1230"
"2015-07-31T00:00:00.000","2015","7","Jul","685","1043","2405"
"2015-08-31T00:00:00.000","2015","8","Aug","573","1043","1850"
"2015-09-30T00:00:00.000","2015","9","Sept","300","1043","1993"
"2015-10-31T00:00:00.000","2015","10","Oct","189","1043","789"
"2016-05-31T00:00:00.000","2016","5","May","232","1043","874"
"2016-08-01T00:00:00.000","2016","8","Aug","831","1043","1883"
"2017-09-01T00:00:00.000","2017","9","Sep",,"783",
"2017-05-31T00:00:00.000","2017","5","May","35","0","1583"
"2016-07-01T00:00:00.000","2016","7","Jul","450","1043","1523"
"2016-06-30T00:00:00.000","2016","6","Jun","767","1043","1230"
"2017-06-30T00:00:00.000","2017","6","Jun","551.1","783","2340"
"2017-08-31T00:00:00.000","2017","8","Aug","450.5","783","2395"
"2017-07-31T00:00:00.000","2017","7","Jul","541.3","783","3871"
