"asset_class","asset_cd","location_detail","steward","maintained_by","maint_info","life_cycle_status","asset_type","material","pathway_wam_id","longitude","latitude","location","point"
,"SCE415","10025 SCENIC BOW RD NW","CALGARY PARKS","CALGARY PARKS",,"ACTIVE","FIXED","METAL","R-16001565","-114.22804246709893","51.10025375404737","
,  
(51.10025375404737, -114.22804246709893)",
,"SCE415",,"CALGARY PARKS","CALGARY PARKS","2105/11/16: DEVELOPED AS PART OF WEST BOWNESS CAPITAL PROJECT AND HAS THE SAME FAC DATE; SEE REPOSITORY FOR AGREEMENT WITH TUC R:\Subdivision_Development\CAPITAL_PROJECT_APPROVAL_DOCUMENTS\SCENIC_ACRES\SCE410_BAKER_PARK","ACTIVE","REMOVABLE","METAL","R-51108549","-114.2272050397055","51.10009872681648","
,  
(51.10009872681648, -114.2272050397055)",
,"SCE415","10025 SCENIC BOW RD NW","CALGARY PARKS","CALGARY PARKS",,"ACTIVE","FIXED","METAL","R-16001565","-114.22819541607305","51.10025932050985","
,  
(51.10025932050985, -114.22819541607305)",
"NO LOCK ON PIN.","DDG049","555 QUARRY WY SE","CALGARY PARKS","DEVELOPER CONSTRUCTION",,"INSTALLED","REMOVABLE","METAL","R-51037867","-114.0175500898156","50.95642988544619","
,  
(50.95642988544619, -114.0175500898156)",
,"CNS005",,"CALGARY PARKS","DEVELOPER CONSTRUCTION",,"INSTALLED","REMOVABLE","METAL","R-51328428","-113.93023925865279","51.157912612304365","
,  
(51.157912612304365, -113.93023925865279)",
"GREENWAY; INSTALL DT FIRST SEEN IN PICTOMETRY","ROY001",,"CALGARY PARKS","CALGARY PARKS","GREENWAY","ACTIVE","FIXED","METAL","R-51086090","-114.23448646067386","51.13469731268095","
,  
(51.13469731268095, -114.23448646067386)",
"GREENWAY; INSTALL DT FIRST SEEN IN PICTOMETRY","SIG476",,"CALGARY PARKS","CALGARY PARKS","GREENWAY","ACTIVE","REMOVABLE","METAL","R-51357703","-114.16644422409337","51.0219401083059","
,  
(51.0219401083059, -114.16644422409337)",
,"FPW002",,"CALGARY PARKS","CALGARY PARKS",,"ACTIVE","REMOVABLE","METAL","R-50824718","-114.12155795897301","50.93254103304847","
,  
(50.93254103304847, -114.12155795897301)",
,"RYV001",,"CALGARY PARKS","CALGARY PARKS",,"ACTIVE","FIXED","METAL","R-50774336","-114.21086891007114","51.149486483673215","
,  
(51.149486483673215, -114.21086891007114)",
,"RYV001",,"CALGARY PARKS","CALGARY PARKS",,"ACTIVE","FIXED","METAL","R-50774336","-114.21090852580578","51.149466432899935","
,  
(51.149466432899935, -114.21090852580578)",
