"row_id","timestamp","vendor","battery_pct","instance_id","is_reserved_flag","is_disabled_flag","latitude","longitude","point"
"Bird-23bea7e6-4883-4e44-8f45-6ada012ce89e","2022-09-13T12:32:02.000","Bird",,"23bea7e6-4883-4e44-8f45-6ada012ce89e","0","0","51.048700666666676","-114.0752245","POINT (-114.0752245 51.048700666667)"
"Bird-e16b3610-52bd-42cf-b18a-396784e536ce","2022-09-13T12:32:02.000","Bird",,"e16b3610-52bd-42cf-b18a-396784e536ce","0","0","51.04664993333334","-114.0812912","POINT (-114.0812912 51.046649933333)"
"Neuron-d451cceb-4759-4e7f-9dc8-1861c79f24b2","2022-09-13T12:32:02.000","Neuron",,"d451cceb-4759-4e7f-9dc8-1861c79f24b2","1","1","51.04885683333334","-114.10901433333332","POINT (-114.109014333333 51.048856833333)"
"Neuron-fbfb32df-e33a-4c71-81bc-2e171ef469c2","2022-09-13T12:32:02.000","Neuron",,"fbfb32df-e33a-4c71-81bc-2e171ef469c2","1","1","51.080319666666675","-114.12262033333333","POINT (-114.122620333333 51.080319666667)"
"Neuron-092aebee-f79a-4951-ac98-820ba4167c29","2022-09-13T12:32:02.000","Neuron",,"092aebee-f79a-4951-ac98-820ba4167c29","1","1","51.075301","-114.10212116666668","POINT (-114.102121166667 51.075301)"
"Neuron-c4588c83-c029-470b-976c-7d51c9ba93c6","2022-09-13T12:32:02.000","Neuron",,"c4588c83-c029-470b-976c-7d51c9ba93c6","1","1","51.041673833333334","-114.06591083333333","POINT (-114.065910833333 51.041673833333)"
"Bird-6ff8c062-d618-4011-8efe-234ce5b08e6a","2022-09-13T12:32:02.000","Bird",,"6ff8c062-d618-4011-8efe-234ce5b08e6a","0","0","51.0376805","-114.06102683333332","POINT (-114.061026833333 51.0376805)"
"Bird-17f67e60-7e93-4f0c-9830-652babf647d9","2022-09-13T12:32:02.000","Bird",,"17f67e60-7e93-4f0c-9830-652babf647d9","0","0","51.043004999999994","-114.05443966666665","POINT (-114.054439666667 51.043005)"
"Bird-938ca1b1-dd26-4b33-a7b0-d31ae746ce70","2022-09-13T12:32:02.000","Bird",,"938ca1b1-dd26-4b33-a7b0-d31ae746ce70","0","0","51.047140000000006","-114.03808766666667","POINT (-114.038087666667 51.04714)"
"Bird-27fa7eed-7ec3-43d4-9c0e-644b1dca22f3","2022-09-13T12:32:02.000","Bird",,"27fa7eed-7ec3-43d4-9c0e-644b1dca22f3","0","0","51.03266716666667","-114.07817433333334","POINT (-114.078174333333 51.032667166667)"
"Neuron-d11ba2b8-24d6-430f-b664-8cd2fdc9e231","2022-09-13T12:32:02.000","Neuron",,"d11ba2b8-24d6-430f-b664-8cd2fdc9e231","1","1","51.041833166666656","-114.03833350000001","POINT (-114.0383335 51.041833166667)"
"Neuron-7995d84f-291f-43a0-a77c-96e094bd2d4c","2022-09-13T12:32:02.000","Neuron",,"7995d84f-291f-43a0-a77c-96e094bd2d4c","1","1","51.04543816666666","-114.0622815","POINT (-114.0622815 51.045438166667)"
"Bird-3a910f90-bf2c-423a-b8e1-47fde2ffd844","2022-09-13T12:32:02.000","Bird",,"3a910f90-bf2c-423a-b8e1-47fde2ffd844","0","0","51.067085266666666","-114.09007263333334","POINT (-114.090072633333 51.067085266667)"
"Neuron-1475ad87-b1af-4b34-829d-8e5cd0c11996","2022-09-13T12:32:02.000","Neuron",,"1475ad87-b1af-4b34-829d-8e5cd0c11996","1","1","51.051855333333336","-114.08516883333331","POINT (-114.085168833333 51.051855333333)"
