"community_cd","snow_clearing_responsibility","direction","location","status_cd","point"
,"COC-RD-RM",,"SB Woodpark BV @ Woodside GA SW","Active","POINT (-114.1099017 50.937432)"
,"COC-RD-RM",,"EB Dover Ridge DR @ 26 ST SE","Active","POINT (-113.9982075 51.018671)"
,"COC-RD-RM",,"SB Acadia DR @ Maplecroft RD SE","Active","POINT (-114.0419392 50.9578386)"
,"COC-RD-RM",,"SB Hawkwood BV @ Hawkcliff GA NW","Active","POINT (-114.1669188 51.1267394)"
,"OTH-CONTRACTOR",,"WB 17 AV SE @ 47 ST SE","Active","POINT (-113.9662471 51.0379039)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0763987 50.9946176)"
,"COC-RD-CM",,"NB Northland DR @ 52 AV NW","Active","POINT (-114.1412905 51.1015058)"
,"COC-RD-RM",,"NB Edmonton TR @ 23 AV NE","Active","POINT (-114.0561834 51.0736939)"
,"COC-RD-RM",,"NB Macleod TR @ 39 AV SE","Active","POINT (-114.0622993 51.0188441)"
,"COC-RD-RM",,"NB 10 ST SW @ Frontenac AV","Active","POINT (-114.0860928 51.0294247)"
,"COC-RD-RM",,"Shawnessy Station","Active","POINT (-114.0700681 50.9105774)"
,"COC-RD-RM",,,"Active","POINT (-114.0684733 51.0406642)"
,"COC-RD-RM",,"WB Edgebrook DR @ Edgebrook BV NW","Active","POINT (-114.1286671 51.1378137)"
,"OTH-CONTRACTOR",,"WB 50 AV SE @ 1 ST SE","Active","POINT (-114.0617241 51.0087733)"
,"COC-RD-RM",,"SB 12 ST SE @ Hastings CR","Active","POINT (-114.0349151 51.0142031)"
,"OTH-CONTRACTOR",,"EB 8 AV SE @ 44 ST SE","Active","POINT (-113.9684032 51.045084)"
,"COC-RD-RM",,"NB 37 ST SW @ 61 AV SW","Active","POINT (-114.1408966 50.9990458)"
,"COC-RD-RM",,"EB Patina DR @ Prominence WY SW","Active","POINT (-114.1749323 51.0628824)"
,"COC-RD-RM",,"NB Edmonton TR @ 14 AV NE","Active","POINT (-114.056103 51.0655156)"
,"COC-RD-RM",,"EB Tuscany DR @ Tuscany Ridge CL NW","Active","POINT (-114.2507476 51.1188666)"
,"COC-RD-RM",,"WB 162 AV SW @ James McKevitt RD","Active","POINT (-114.1000046 50.9054611)"
,"COC-RD-RM",,"WB Lake Bonavista DR @ Lake Christina WY SE","Active","POINT (-114.0406485 50.9404572)"
,"COC-RD-RM",,"SB Varsity Estates DR @ Varsity Estates VW NW","Active","POINT (-114.1733955 51.1061186)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.2441365 51.1073331)"
,"COC-RD-RM",,"SB Parkvalley DR @ W. of Parkridge DR SE","Active","POINT (-114.0236189 50.9133508)"
,"COC-RD-RM",,"SB Martindale CTrain Station","Active","POINT (-113.9674284 51.1177781)"
,"COC-RD-RM",,"WB 32 AV NW @ 37 ST NW","Active","POINT (-114.1416166 51.0816354)"
,"COC-RD-RM",,,"Active","POINT (-114.0659376 51.0404523)"
,"COC-RD-RM",,"EB Royal Oak DR @ Rocky Ridge RD NW","Active","POINT (-114.2333246 51.1385032)"
,"OTH-CONTRACTOR",,"WB 17 AVE SE @ 36 ST SE","Active","POINT (-113.9823606 51.0378528)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9377638 50.9141783)"
,"COC-RD-RM",,"WB Willow Park DR @ Bonaventure DR SE","Active","POINT (-114.0697763 50.9579383)"
,"COC-RD-RM",,,"Active","POINT (-114.0655434 51.0423697)"
,"COC-RD-RM",,"SB  Patina DR @ Village GD SW","Active","POINT (-114.1661467 51.0566881)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9466223 51.0816492)"
,"COC-RD-RM",,"SB 69 ST SW @ Elmont DR","Active","POINT (-114.1877371 51.028489)"
