"channel","name","year","timestamp","rainfall","id"
"48","Seton","2021","2021-09-30T08:25:00.000","0.2","2021-09-30T08:25:00-48"
"30","DeWinton","2021","2021-09-28T16:30:00.000","0.2","2021-09-28T16:30:00-30"
"30","DeWinton","2021","2021-09-28T16:15:00.000","0.4","2021-09-28T16:15:00-30"
"43","Highway 22","2021","2021-09-28T01:05:00.000","0.2","2021-09-28T01:05:00-43"
"43","Highway 22","2021","2021-09-28T00:20:00.000","0.2","2021-09-28T00:20:00-43"
"41","Priddis Slough","2021","2021-09-16T07:55:00.000","0.2","2021-09-16T07:55:00-41"
"5","University","2021","2021-09-15T17:15:00.000","0.2","2021-09-15T17:15:00-05"
"35","Valley Ridge","2021","2021-09-15T15:40:00.000","0.2","2021-09-15T15:40:00-35"
"36","Pine Creek WTP","2021","2021-09-15T14:00:00.000","0.2","2021-09-15T14:00:00-36"
"37","Ranch RG","2021","2021-09-15T13:55:00.000","0.2","2021-09-15T13:55:00-37"
"30","DeWinton","2021","2021-09-15T13:50:00.000","0.2","2021-09-15T13:50:00-30"
"48","Seton","2021","2021-09-15T13:40:00.000","0.2","2021-09-15T13:40:00-48"
"26","McKenzie Towne","2021","2021-09-15T13:35:00.000","0.2","2021-09-15T13:35:00-26"
"27","Country Hills","2021","2021-09-15T13:20:00.000","0.2","2021-09-15T13:20:00-27"
"18","Cedarbrae","2021","2021-09-15T13:10:00.000","0.2","2021-09-15T13:10:00-18"
"28","Crossfield","2021","2021-09-15T13:05:00.000","0.2","2021-09-15T13:05:00-28"
"27","Country Hills","2021","2021-09-15T12:35:00.000","0.2","2021-09-15T12:35:00-27"
"46","Cornerstone","2021","2021-09-15T12:30:00.000","0.2","2021-09-15T12:30:00-46"
"34","Signal Hill","2021","2021-09-15T12:20:00.000","0.2","2021-09-15T12:20:00-34"
"22","Ogden","2021","2021-09-15T12:20:00.000","0.2","2021-09-15T12:20:00-22"
"3","Edgemont","2021","2021-09-15T12:20:00.000","0.2","2021-09-15T12:20:00-03"
"27","Country Hills","2021","2021-09-15T12:20:00.000","0.2","2021-09-15T12:20:00-27"
"33","Saddleridge","2021","2021-09-15T12:20:00.000","0.2","2021-09-15T12:20:00-33"
"42","Providence","2021","2021-09-15T12:15:00.000","0.2","2021-09-15T12:15:00-42"
"31","Chestermere","2021","2021-09-15T12:15:00.000","0.2","2021-09-15T12:15:00-31"
"1","Spy Hill","2021","2021-09-15T12:15:00.000","0.2","2021-09-15T12:15:00-01"
"12","68 St Lake","2021","2021-09-15T12:15:00.000","0.2","2021-09-15T12:15:00-12"
"46","Cornerstone","2021","2021-09-15T12:10:00.000","0.2","2021-09-15T12:10:00-46"
"20","Midnapore","2021","2021-09-15T12:10:00.000","0.2","2021-09-15T12:10:00-20"
"2","Silver Springs","2021","2021-09-15T12:10:00.000","0.2","2021-09-15T12:10:00-02"
"11","West Dover","2021","2021-09-15T12:10:00.000","0.2","2021-09-15T12:10:00-11"
"27","Country Hills","2021","2021-09-15T12:10:00.000","0.2","2021-09-15T12:10:00-27"
"31","Chestermere","2021","2021-09-15T12:05:00.000","0.2","2021-09-15T12:05:00-31"
"47","Evergreen","2021","2021-09-15T12:05:00.000","0.2","2021-09-15T12:05:00-47"
"27","Country Hills","2021","2021-09-15T12:05:00.000","0.2","2021-09-15T12:05:00-27"
"44","Forest Lawn Creek","2021","2021-09-15T12:05:00.000","0.2","2021-09-15T12:05:00-44"
"37","Ranch RG","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-37"
"19","Haysboro","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-19"
"31","Chestermere","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-31"
"21","Parkland","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-21"
"23","Shepard Lagoons","2021","2021-09-15T12:00:00.000","0.4","2021-09-15T12:00:00-23"
"7","Tuxedo","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-07"
"4","Bowness","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-04"
"12","68 St Lake","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-12"
"27","Country Hills","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-27"
"22","Ogden","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-22"
"18","Cedarbrae","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-18"
"13","Coach Hill","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-13"
"38","Water Centre","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-38"
"10","Forest Heights","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-10"
"17","Windsor Park","2021","2021-09-15T12:00:00.000","0.2","2021-09-15T12:00:00-17"
"9","Temple","2021","2021-09-15T11:55:00.000","0.2","2021-09-15T11:55:00-09"
"3","Edgemont","2021","2021-09-15T11:55:00.000","0.2","2021-09-15T11:55:00-03"
"46","Cornerstone","2021","2021-09-15T11:55:00.000","0.2","2021-09-15T11:55:00-46"
"17","Windsor Park","2021","2021-09-15T11:55:00.000","0.2","2021-09-15T11:55:00-17"
"33","Saddleridge","2021","2021-09-15T11:55:00.000","0.2","2021-09-15T11:55:00-33"
