"incident_info","description","start_dt","modified_dt","quadrant","count","longitude","latitude","point"
" 16 Avenue at University Drive NW ","Traffic incident.","2022-08-29T16:19:57.000","2022-08-29T16:20:49.000","NW","1","-114.12541294506043","51.06817046347703","POINT (-114.12541294506043 51.06817046347703)"
" Westbound Stoney Trail approaching Shaganappi Trail NW ","Traffic incident. Blocking the right shoulder","2022-08-29T15:31:51.000","2022-08-29T16:20:49.000","NW","1","-114.12544788971412","51.1536731839172","POINT (-114.12544788971412 51.1536731839172)"
