"asset_cd","wam_id","type_description","sign_details","sign_material","support_type","support_material","life_cycle_status","minortype","steward","maintained_by","direction","modified_dt","asset_type","bylaw_number","point"
"WES099","A-21006929","VEHICLE - PARKING",,"METAL","POST","METAL","ACTIVE","NO PARKING","CALGARY PARKS","CALGARY PARKS","SE","2013-04-04T07:42:04.000Z","15",,"POINT (-113.9703654 51.1050705)"
"SIL245","A-51147283","PATHWAY - INFO",,"METAL","POST","METAL","ACTIVE","NAME - TRANS CANADA TRAIL","CALGARY PARKS","CALGARY PARKS","NW","2017-09-21T10:11:18.000Z","8",,"POINT (-114.1874397 51.0968081)"
"EDG053","A-51000789","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA ENTERING","CALGARY PARKS","CALGARY PARKS","NW","2017-01-13T13:45:39.000Z","2",,"POINT (-114.147884 51.1267023)"
"MCI092","A-50892537","PARK - REGULATIONS",,"METAL","FENCE","METAL","ACTIVE","NO ALCOHOL / LIQUOR","CALGARY RECREATION","CALGARY RECREATION","W","2013-04-04T07:41:24.000Z","6",,"POINT (-114.0172074 51.090453)"
"WLD050","A-51130347","PARK - INFO",,"METAL","POST","METAL","ACTIVE","HOURS - PARK","CALGARY PARKS","CALGARY PARKS",,"2017-09-21T10:11:01.000Z","5",,"POINT (-114.1602565 51.0526423)"
"OAK073","A-51114169","VEHICLE - PARKING",,"METAL","POST","METAL","ACTIVE","NO PARKING","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:44:17.000Z","15",,"POINT (-114.1226384 50.9636603)"
"GPK704","A-51083019","VEHICLE - PARKING",,"METAL","POST","METAL","ACTIVE","NO PARKING","CALGARY PARKS","CALGARY PARKS","SW","2022-02-28T19:22:55.000Z","15",,"POINT (-114.1249932 50.9873658)"
"GPK120","A-21002898","PATHWAY - INFO",,"METAL","POST","METAL","ACTIVE","NAME - ELBOW RIVER PATHWAY","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:45:28.000Z","8",,"POINT (-114.141629 50.9933425)"
"EDG053","A-51000801","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","SE","2012-06-06T11:24:18.000Z","2","23M89","POINT (-114.1367269 51.1195584)"
"DOV899","A-50888014","PATHWAY - REGULATIONS","SHARE THE PATHWAY","METAL","POST","METAL","ACTIVE","SHARE THE PATHWAY / KEEP RIGHT","CALGARY PARKS","CALGARY PARKS","N","2013-08-14T13:30:55.000Z","9",,"POINT (-114.0014592 51.0252639)"
"NHV672","A-51040551","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","SE","2017-01-13T13:54:27.000Z","2",,"POINT (-114.0875772 51.1043599)"
