"asset_class","asset_cd","location_detail","steward","maintained_by","maint_info","life_cycle_status","asset_type","style","longitude","latitude","location","point"
,"SKR001",,"CALGARY PARKS","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2027/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-113.9513346660144","51.1609367820139","
,  
(51.1609367820139, -113.9513346660144)",
,"BRT356",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2026/12/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","FIRE PIT","NOT APPLICABLE","-114.083497744938","51.01122477825653","
,  
(51.01122477825653, -114.083497744938)",
,"SHS441",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2026/11/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-114.08912896337094","50.92203817487252","
,  
(50.92203817487252, -114.08912896337094)",
,"SHS678",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2026/11/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-114.09469676645128","50.92850672295167","
,  
(50.92850672295167, -114.09469676645128)",
,"SKR002",,"CALGARY PARKS","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2027/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-113.95096658849862","51.158467754639105","
,  
(51.158467754639105, -113.95096658849862)",
,"EYA378",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2026/12/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-114.07444478669105","51.01171669383274","
,  
(51.01171669383274, -114.07444478669105)",
,"GAG563",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2027/04/01 SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-114.12192331579526","51.00293710507183","
,  
(51.00293710507183, -114.12192331579526)",
,"EVE954",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2026/11/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-114.1007131687329","50.92724226744576","
,  
(50.92724226744576, -114.1007131687329)",
,"SKR402",,"CALGARY PARKS","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2027/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-113.96228516284737","51.15992915393369","
,  
(51.15992915393369, -113.96228516284737)",
,"SKR402",,"CALGARY PARKS","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2027/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-113.95582871489133","51.16060557685581","
,  
(51.16060557685581, -113.95582871489133)",
,"EVE949",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2026/11/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-114.10538171297917","50.92125595747995","
,  
(50.92125595747995, -114.10538171297917)",
,"DRG544",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","OAA EXPIRES 2027/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","ACTIVE","LITTLE LIBRARY","NOT APPLICABLE","-114.0186067097469","50.92628691597718","
,  
(50.92628691597718, -114.0186067097469)",
"OAA EXPIRED 2011/12/31-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS","AUB200",,"CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT",,"ACTIVE","ELECTRIC PLUG IN","NOT APPLICABLE","-113.95823178010517","50.88411263911111","
,  
(50.88411263911111, -113.95823178010517)",
