"date","year","month","monthname","return"
"2005-01-01T00:00:00.000","2005","1","January","4.14"
"2005-02-01T00:00:00.000","2005","2","February","4.32"
"2005-03-01T00:00:00.000","2005","3","March","4.19"
"2005-04-01T00:00:00.000","2005","4","April","4.08"
"2005-05-01T00:00:00.000","2005","5","May","3.58"
"2005-06-01T00:00:00.000","2005","6","June","4.57"
"2005-07-01T00:00:00.000","2005","7","July","3.92"
"2005-08-01T00:00:00.000","2005","8","August","3.86"
"2005-09-01T00:00:00.000","2005","9","September","3.55"
"2005-10-01T00:00:00.000","2005","10","October","2.95"
"2005-11-01T00:00:00.000","2005","11","November","3.07"
"2005-12-01T00:00:00.000","2005","12","December","3.21"
"2006-01-01T00:00:00.000","2006","1","January","3.62"
"2006-02-01T00:00:00.000","2006","2","February","4.05"
"2006-03-01T00:00:00.000","2006","3","March","3.36"
"2006-04-01T00:00:00.000","2006","4","April","3.80"
"2006-05-01T00:00:00.000","2006","5","May","4"
"2006-06-01T00:00:00.000","2006","6","June","4"
"2006-07-01T00:00:00.000","2006","7","July","4.15"
"2006-08-01T00:00:00.000","2006","8","August","4.80"
"2006-09-01T00:00:00.000","2006","9","September","4.90"
"2006-10-01T00:00:00.000","2006","10","October","4.80"
"2006-11-01T00:00:00.000","2006","11","November","5.43"
"2006-12-01T00:00:00.000","2006","12","December","5.07"
"2007-01-01T00:00:00.000","2007","1","January","4.24"
"2007-02-01T00:00:00.000","2007","2","February","4.34"
"2007-03-01T00:00:00.000","2007","3","March","4.67"
"2007-04-01T00:00:00.000","2007","4","April","4.14"
"2007-05-01T00:00:00.000","2007","5","May","4.37"
"2007-06-01T00:00:00.000","2007","6","June","2.74"
"2007-07-01T00:00:00.000","2007","7","July","4.24"
"2007-08-01T00:00:00.000","2007","8","August","4.88"
"2007-09-01T00:00:00.000","2007","9","September","4.64"
"2007-10-01T00:00:00.000","2007","10","October","4.45"
"2007-11-01T00:00:00.000","2007","11","November","5.01"
"2007-12-01T00:00:00.000","2007","12","December","4.97"
"2008-01-01T00:00:00.000","2008","1","January","5.21"
"2008-02-01T00:00:00.000","2008","2","February","4.98"
"2008-03-01T00:00:00.000","2008","3","March","5.25"
"2008-04-01T00:00:00.000","2008","4","April","4.61"
"2008-05-01T00:00:00.000","2008","5","May","3.97"
"2008-06-01T00:00:00.000","2008","6","June","3.70"
"2008-07-01T00:00:00.000","2008","7","July","3.61"
"2008-08-01T00:00:00.000","2008","8","August","3.81"
"2008-09-01T00:00:00.000","2008","9","September","3.69"
"2008-10-01T00:00:00.000","2008","10","October","3.95"
"2008-11-01T00:00:00.000","2008","11","November","3.81"
"2008-12-01T00:00:00.000","2008","12","December","3.67"
"2009-01-01T00:00:00.000","2009","1","January","3.71"
"2009-02-01T00:00:00.000","2009","2","February","3.38"
"2009-03-01T00:00:00.000","2009","3","March","4.52"
"2009-04-01T00:00:00.000","2009","4","April","2.77"
"2009-05-01T00:00:00.000","2009","5","May","3.14"
"2009-06-01T00:00:00.000","2009","6","June","1.96"
"2009-07-01T00:00:00.000","2009","7","July","1.77"
"2009-08-01T00:00:00.000","2009","8","August","1.99"
"2009-09-01T00:00:00.000","2009","9","September","2.55"
"2009-10-01T00:00:00.000","2009","10","October","2.28"
"2009-11-01T00:00:00.000","2009","11","November","2.44"
"2009-12-01T00:00:00.000","2009","12","December","2.45"
"2010-01-01T00:00:00.000","2010","1","January","3.38"
"2010-02-01T00:00:00.000","2010","2","February","2.09"
"2010-03-01T00:00:00.000","2010","3","March","2.48"
"2010-04-01T00:00:00.000","2010","4","April","2.49"
"2010-05-01T00:00:00.000","2010","5","May","2.76"
"2010-06-01T00:00:00.000","2010","6","June","2.09"
"2010-07-01T00:00:00.000","2010","7","July","2.03"
"2010-08-01T00:00:00.000","2010","8","August","2.48"
"2010-09-01T00:00:00.000","2010","9","September","2.40"
"2010-10-01T00:00:00.000","2010","10","October","2.56"
"2010-11-01T00:00:00.000","2010","11","November","2.47"
"2010-12-01T00:00:00.000","2010","12","December","3.51"
"2011-01-01T00:00:00.000","2011","1","January","2.15"
"2011-02-01T00:00:00.000","2011","2","February","2.25"
"2011-03-01T00:00:00.000","2011","3","March","2.95"
"2011-04-01T00:00:00.000","2011","4","April","2.34"
"2011-05-01T00:00:00.000","2011","5","May","2.70"
"2011-06-01T00:00:00.000","2011","6","June","2.66"
"2011-07-01T00:00:00.000","2011","7","July","2.11"
"2011-08-01T00:00:00.000","2011","8","August","2.95"
"2011-09-01T00:00:00.000","2011","9","September","2.45"
"2011-10-01T00:00:00.000","2011","10","October","2.24"
"2011-11-01T00:00:00.000","2011","11","November","2.72"
"2011-12-01T00:00:00.000","2011","12","December","4.11"
"2012-01-01T00:00:00.000","2012","1","January","2.21"
"2012-02-01T00:00:00.000","2012","2","February","2.37"
"2012-03-01T00:00:00.000","2012","3","March","2.64"
"2012-04-01T00:00:00.000","2012","4","April","2.29"
"2012-05-01T00:00:00.000","2012","5","May","1.70"
"2012-06-01T00:00:00.000","2012","6","June","2.30"
"2012-07-01T00:00:00.000","2012","7","July","2.39"
"2012-08-01T00:00:00.000","2012","8","August","1.95"
"2012-09-01T00:00:00.000","2012","9","September","2.53"
"2012-10-01T00:00:00.000","2012","10","October","1.93"
"2012-11-01T00:00:00.000","2012","11","November","2.18"
"2012-12-01T00:00:00.000","2012","12","December","2.15"
"2013-01-01T00:00:00.000","2013","1","January","2.38"
"2013-02-01T00:00:00.000","2013","2","February","2.34"
"2013-03-01T00:00:00.000","2013","3","March","2.17"
"2013-04-01T00:00:00.000","2013","4","April","2.48"
"2013-05-01T00:00:00.000","2013","5","May","2.25"
"2013-06-01T00:00:00.000","2013","6","June","1.54"
"2013-07-01T00:00:00.000","2013","7","July","1.73"
"2013-08-01T00:00:00.000","2013","8","August","1.54"
"2013-09-01T00:00:00.000","2013","9","September","1.35"
"2013-10-01T00:00:00.000","2013","10","October","1.17"
"2013-11-01T00:00:00.000","2013","11","November","1.31"
"2013-12-01T00:00:00.000","2013","12","December","3.50"
"2014-01-01T00:00:00.000","2014","1","January","1.84"
"2014-02-01T00:00:00.000","2014","2","February","2.04"
"2014-03-01T00:00:00.000","2014","3","March","2.25"
"2014-04-01T00:00:00.000","2014","4","April","1.78"
"2014-05-01T00:00:00.000","2014","5","May","1.92"
"2014-06-01T00:00:00.000","2014","6","June","2.09"
"2014-07-01T00:00:00.000","2014","7","July","1.96"
"2014-08-01T00:00:00.000","2014","8","August","1.81"
"2014-09-01T00:00:00.000","2014","9","September","1.70"
"2014-10-01T00:00:00.000","2014","10","October","1.93"
"2014-11-01T00:00:00.000","2014","11","November","1.64"
"2014-12-01T00:00:00.000","2014","12","December","4.50"
"2015-01-01T00:00:00.000","2015","1","January","3.46"
"2015-02-01T00:00:00.000","2015","2","February","2.79"
"2015-03-01T00:00:00.000","2015","3","March","2.09"
"2015-04-01T00:00:00.000","2015","4","April","2.38"
"2015-05-01T00:00:00.000","2015","5","May","1.95"
"2015-06-01T00:00:00.000","2015","6","June","1.78"
"2015-07-01T00:00:00.000","2015","7","July","1.71"
"2015-08-01T00:00:00.000","2015","8","August","1.16"
"2015-09-01T00:00:00.000","2015","9","September","2.14"
"2015-10-01T00:00:00.000","2015","10","October","1.62"
"2015-11-01T00:00:00.000","2015","11","November","1.88"
"2015-12-01T00:00:00.000","2015","12","December","5.95"
"2016-01-01T00:00:00.000","2016","1","January","1.62"
"2016-02-01T00:00:00.000","2016","2","February","1.05"
"2016-03-01T00:00:00.000","2016","3","March","1.96"
"2016-04-01T00:00:00.000","2016","4","April","2.30"
"2016-05-01T00:00:00.000","2016","5","May","2.89"
"2016-06-01T00:00:00.000","2016","6","June","2.84"
"2016-07-01T00:00:00.000","2016","7","July","1.68"
"2016-08-01T00:00:00.000","2016","8","August","1.86"
"2016-09-01T00:00:00.000","2016","9","September","2.33"
"2016-10-01T00:00:00.000","2016","10","October","1.09"
"2016-11-01T00:00:00.000","2016","11","November","1.52"
"2016-12-01T00:00:00.000","2016","12","December","5.81"
"2017-01-01T00:00:00.000","2017","1","January","1.57"
"2017-02-01T00:00:00.000","2017","2","February","1.94"
"2017-03-01T00:00:00.000","2017","3","March","2.26"
"2017-04-01T00:00:00.000","2017","4","April","2.06"
"2017-05-01T00:00:00.000","2017","5","May","1.41"
"2017-06-01T00:00:00.000","2017","6","June","4.63"
"2017-07-01T00:00:00.000","2017","7","July","0.72"
"2017-08-01T00:00:00.000","2017","8","August","2.04"
"2017-09-01T00:00:00.000","2017","9","September","1.71"
"2017-10-01T00:00:00.000","2017","10","October","1.45"
"2017-11-01T00:00:00.000","2017","11","November","2.04"
"2017-12-01T00:00:00.000","2017","12","December","15.86"
"2018-01-01T00:00:00.000","2018","1","January","0.42"
"2018-02-01T00:00:00.000","2018","2","February","0.08"
"2018-03-01T00:00:00.000","2018","3","March","3.52"
"2018-04-01T00:00:00.000","2018","4","April","4.31"
