"month","accumulated_number_of_safe_routes_to_school_projects_2016_2024"
"2016-01-01T00:00:00.000","0"
"2016-03-30T00:00:00.000","7"
"2016-06-30T00:00:00.000","8"
"2016-09-30T00:00:00.000","12"
"2016-12-31T00:00:00.000","16"
"2017-10-01T00:00:00.000","32"
"2017-04-01T00:00:00.000","16"
"2017-07-01T00:00:00.000","21"
"2017-12-31T00:00:00.000","47"
