"month","of_on_street_paid_parking_areas_with_occupancies_within_the_range_of_1_2_available_spaces_per_block_face"
"2010-01-01T00:00:00.000","28"
"2011-01-01T00:00:00.000","26"
"2012-01-01T00:00:00.000","30"
"2013-01-01T00:00:00.000","35"
"2014-01-01T00:00:00.000","39"
"2015-01-01T00:00:00.000","46"
