"month","south_lake_union_street_car_ridership_monthly_avg_riders_per_revenue_hour"
"2008-01-01T00:00:00.000","28"
"2008-02-01T00:00:00.000","30"
"2008-03-01T00:00:00.000","30"
"2008-04-01T00:00:00.000","31"
"2008-05-01T00:00:00.000","36"
"2008-06-01T00:00:00.000","43"
"2008-07-01T00:00:00.000","53"
"2008-08-01T00:00:00.000","47"
"2008-09-01T00:00:00.000","43"
"2008-10-01T00:00:00.000","36"
"2008-11-01T00:00:00.000","32"
"2008-12-01T00:00:00.000","38"
"2009-01-01T00:00:00.000","33"
"2009-02-01T00:00:00.000","35"
"2009-03-01T00:00:00.000","34"
"2009-04-01T00:00:00.000","37"
"2009-05-01T00:00:00.000","40"
"2009-06-01T00:00:00.000","45"
"2009-07-01T00:00:00.000","53"
"2009-08-01T00:00:00.000","48"
"2009-09-01T00:00:00.000","43"
"2009-10-01T00:00:00.000","38"
"2009-11-01T00:00:00.000","36"
"2009-12-01T00:00:00.000","41"
"2010-01-01T00:00:00.000","35"
"2010-02-01T00:00:00.000","37"
"2010-03-01T00:00:00.000","39"
"2010-04-01T00:00:00.000","41"
"2010-05-01T00:00:00.000","43"
"2010-06-01T00:00:00.000","49"
"2010-07-01T00:00:00.000","59"
"2010-08-01T00:00:00.000","57"
"2010-09-01T00:00:00.000","54"
"2010-10-01T00:00:00.000","48"
"2010-11-01T00:00:00.000","46"
"2010-12-01T00:00:00.000","50"
"2011-01-01T00:00:00.000","47"
"2011-02-01T00:00:00.000","48"
"2011-03-01T00:00:00.000","55"
"2011-04-01T00:00:00.000","58"
"2011-05-01T00:00:00.000","64"
"2011-06-01T00:00:00.000","75"
"2011-07-01T00:00:00.000","77"
"2011-08-01T00:00:00.000","78"
"2011-09-01T00:00:00.000","64"
"2011-10-01T00:00:00.000","60"
"2011-11-01T00:00:00.000","57"
"2011-12-01T00:00:00.000","61"
"2012-01-01T00:00:00.000","54"
"2012-02-01T00:00:00.000","60"
"2012-03-01T00:00:00.000","61"
"2012-04-01T00:00:00.000","62"
"2012-05-01T00:00:00.000","64"
"2012-06-01T00:00:00.000","67"
"2012-07-01T00:00:00.000","74"
"2012-08-01T00:00:00.000","74"
"2012-09-01T00:00:00.000","68"
"2012-10-01T00:00:00.000","64"
"2012-11-01T00:00:00.000","60"
"2012-12-01T00:00:00.000","58"
"2013-01-01T00:00:00.000","61"
"2013-02-01T00:00:00.000","61"
"2013-03-01T00:00:00.000","63"
"2013-04-01T00:00:00.000","62"
"2013-05-01T00:00:00.000","66"
"2013-06-01T00:00:00.000","68"
"2013-07-01T00:00:00.000","77"
"2013-08-01T00:00:00.000","71"
"2013-09-01T00:00:00.000","63"
"2013-10-01T00:00:00.000","61"
"2013-11-01T00:00:00.000","57"
"2013-12-01T00:00:00.000","56"
"2014-01-01T00:00:00.000","53"
"2014-02-01T00:00:00.000","58"
"2014-03-01T00:00:00.000","55"
"2014-04-01T00:00:00.000","57"
"2014-05-01T00:00:00.000","58"
"2014-06-01T00:00:00.000","61"
"2014-07-01T00:00:00.000","72"
"2014-08-01T00:00:00.000","65"
"2014-09-01T00:00:00.000","60"
"2014-10-01T00:00:00.000","56"
"2014-11-01T00:00:00.000","52"
"2014-12-01T00:00:00.000","53"
"2015-01-01T00:00:00.000","49"
"2015-02-01T00:00:00.000","50"
"2015-03-01T00:00:00.000","53"
"2015-04-01T00:00:00.000","55"
"2015-05-01T00:00:00.000","50"
"2015-06-01T00:00:00.000","56"
"2015-07-01T00:00:00.000","64"
"2015-08-01T00:00:00.000","58"
"2015-09-01T00:00:00.000","49"
"2015-10-01T00:00:00.000","45"
