"month","accumulated_number_of_bike_parking_spaces_built"
"2016-01-31T00:00:00.000","44"
"2016-02-29T00:00:00.000","128"
"2016-03-30T00:00:00.000","196"
"2016-04-30T00:00:00.000","382"
"2016-05-31T00:00:00.000","436"
"2016-06-30T00:00:00.000","588"
