"month","accumulated_number_of_crosswalks_re_marked"
"2016-01-31T00:00:00.000","32"
"2016-02-29T00:00:00.000","71"
"2016-03-30T00:00:00.000","106"
"2016-04-30T00:00:00.000","148"
"2016-05-31T00:00:00.000","200"
"2016-06-30T00:00:00.000","331"
"2016-07-31T00:00:00.000","459"
"2016-08-31T00:00:00.000","592"
"2016-09-30T00:00:00.000","726"
