"name","address","council_district","total_units","affordable_housing_units","program","program_category","development_status","estimated_year_of_completion","rental","home_ownership","_30_ami","_35_ami","_40_ami","_50_ami","_60_ami","_65_ami","_70_ami","_75_ami","_80_ami","_85_ami","_90_ami","_100_ami","_120_ami","manager_s_unit_unrestricted","sleeping_room_group_home","sedu","studio","_1_br","_2_br","_3_br","_4_br","_5_br","latitude","longitude","reporting_date"
"?al?al Housing","108 2ND AVE EXTENSION S","7","80","80","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,"60",,,"20",,,,,,,,,,,,,"80",,,,,,"47.601389","-122.331194","2018-12-31T00:00:00.000"
"1008 Apartments","1008 N 109TH ST","2","93","19","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"19",,,,,,,,,,,"19",,,,,,"47.708215","-122.345491","2018-12-31T00:00:00.000"
"1216 N. 42nd St.","1216 N 42ND ST","4","50","10","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"2",,"7",,"1",,,,,,,"2","7","1",,,,"47.658196","-122.342697","2018-12-31T00:00:00.000"
"1222 NE 65th St","1222 NE 65TH ST","4","55","2","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2020","1",,,,"2",,,,,,,,,,,,,"2",,,,,,,"47.675963","-122.314616","2018-12-31T00:00:00.000"
"13 Pike Apts","1300 E PIKE ST","3","45","9","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"1",,"7",,"1",,,,,,,"1","7","1",,,,"47.614307","-122.315278","2018-12-31T00:00:00.000"
"1401 E Madison","1401 E MADISON ST","3","137","29","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"10",,"17",,"2",,,,,,,"10","17","2",,,,"47.613836","-122.313924","2018-12-31T00:00:00.000"
"1501 Micros","1501 NW 59TH ST","6","52","13","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,"13",,,,,,,,,,,,,"13",,,,,,,"47.671463","-122.376484","2018-12-31T00:00:00.000"
"18th & Spruce","207 18TH AVE","3","25","7","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,,,"7",,,,,,,,,,"7",,,,,"47.603708","-122.309217","2018-12-31T00:00:00.000"
"2100 E Madison","2100 E MADISON ST","3","50","10","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"1",,"9",,,,,,,,,"1","9",,,,,"47.618435","-122.30413","2018-12-31T00:00:00.000"
"22nd Ave PSH","1911 22ND AVE S","2","85","85","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2020","1",,"85",,,,,,,,,,,,,,,,"85",,,,,,"47.586065","-122.304451","2018-12-31T00:00:00.000"
"26th & Jackson Apartments","2524 S JACKSON ST","3","78","16","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,"3",,,,,"11",,"2",,,,,,"3",,"11","2",,,,"47.599429","-122.298999","2018-12-31T00:00:00.000"
"4230 11th Ave NE","4230 11TH AVE NE","4","98","5","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2019","1",,,,,,,,,,"5",,,,,,,,"5",,,,,,"47.659259","-122.316361","2018-12-31T00:00:00.000"
"427 9th Ave N","427 9TH AVE N","2","242","49","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"10",,"29",,"10",,,,,,,"10","29","10",,,,"47.622868","-122.340004","2018-12-31T00:00:00.000"
"4542 42nd Ave SW","4542 42ND AVE SW","1","76","16","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"5",,"10",,"1",,,,,,,"5","10","1",,,,"47.561594","-122.384913","2018-12-31T00:00:00.000"
"4754 Fauntleroy","4754 FAUNTLEROY WAY SW","1","108","22","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,,,"17",,"5",,,,,,,,"17","5",,,,"47.559401","-122.381141","2018-12-31T00:00:00.000"
"501 Rainier","501 RAINIER AVE S","2","102","102","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2020","1",,"102",,,,,,,,,,,,,"3",,,"102",,,,,,"47.598205","-122.313579","2018-12-31T00:00:00.000"
"600 E Howell Street","600 E HOWELL ST","3","76","4","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2020","1",,,,"4",,,,,,,,,,,,,"4",,,,,,,"47.617952","-122.324354","2018-12-31T00:00:00.000"
"6301 15th Ave NW","6301 15TH AVE NW","6","61","14","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,"7",,,"7",,,,,,,,,,"7","7",,,,,,"47.674797","-122.376601","2018-12-31T00:00:00.000"
"66th Street","1205 NE 66TH ST","4","201","7","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2020","1",,,,,,,,,,"7",,,,,,,,"6",,"1",,,,"47.676412","-122.315342","2018-12-31T00:00:00.000"
"7011 Roosevelt","7011 ROOSEVELT WAY NE","4","56","14","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"10",,"4",,,,,,,,,"10","4",,,,,"47.679882","-122.317882","2018-12-31T00:00:00.000"
"829-837 NE 67th St","829 NE 67TH ST","4","178","24","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2019","1",,,,,,,,,,"24",,,,,,,"24",,,,,,,"47.677089","-122.318802","2018-12-31T00:00:00.000"
"8311 Micros","8311 15TH AVE NW","6","78","20","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,"20",,,,,,,,,,,,,"20",,,,,,,"47.689126","-122.377268","2018-12-31T00:00:00.000"
