"date","month","simple_construction_permits","medium_construction_permits","complex_construction_permits","total_volume"
"2011-01-31T00:00:00.000","11-Jan","231","152","61","444"
"2011-02-28T00:00:00.000","11-Feb","303","123","77","503"
"2011-03-31T00:00:00.000","11-Mar","344","170","85","599"
"2011-04-30T00:00:00.000","11-Apr","347","200","89","636"
"2011-05-31T00:00:00.000","11-May","328","287","101","716"
"2011-06-30T00:00:00.000","11-Jun","372","240","117","729"
"2011-07-31T00:00:00.000","11-Jul","326","217","80","623"
"2011-08-31T00:00:00.000","11-Aug","412","188","81","681"
"2011-09-30T00:00:00.000","11-Sep","318","185","63","566"
"2011-10-30T00:00:00.000","11-Oct","346","148","78","572"
"2011-11-30T00:00:00.000","11-Nov","323","127","93","543"
"2011-12-31T00:00:00.000","11-Dec","238","142","84","464"
"2012-01-31T00:00:00.000","12-Jan","301","138","66","505"
"2012-02-29T00:00:00.000","12-Feb","295","167","82","544"
"2012-03-31T00:00:00.000","12-Mar","318","167","104","589"
"2012-04-30T00:00:00.000","12-Apr","343","157","109","609"
"2012-05-31T00:00:00.000","12-May","343","249","97","689"
"2012-06-30T00:00:00.000","12-Jun","332","212","118","662"
"2012-07-31T00:00:00.000","12-Jul","348","226","112","686"
"2012-08-31T00:00:00.000","12-Aug","363","206","114","683"
"2012-09-30T00:00:00.000","12-Sep","303","184","78","565"
"2012-10-30T00:00:00.000","12-Oct","395","190","116","701"
"2012-11-30T00:00:00.000","12-Nov","287","170","105","562"
"2012-12-31T00:00:00.000","12-Dec","301","169","90","560"
"2013-01-31T00:00:00.000","13-Jan","267","194","100","561"
"2013-02-28T00:00:00.000","13-Feb","300","188","104","592"
"2013-03-31T00:00:00.000","13-Mar","297","241","143","681"
"2013-04-30T00:00:00.000","13-Apr","313","273","134","720"
"2013-05-31T00:00:00.000","13-May","346","327","133","806"
"2013-06-30T00:00:00.000","13-Jun","323","268","133","724"
"2013-07-31T00:00:00.000","13-Jul","345","339","141","825"
"2013-08-31T00:00:00.000","13-Aug","442","287","135","864"
"2013-09-30T00:00:00.000","13-Sep","313","232","138","683"
"2013-10-30T00:00:00.000","13-Oct","393","243","151","787"
"2013-11-30T00:00:00.000","13-Nov","289","216","182","687"
"2013-12-31T00:00:00.000","13-Dec","287","247","180","714"
"2014-01-31T00:00:00.000","14-Jan","323","263","147","733"
"2014-02-28T00:00:00.000","14-Feb","285","245","119","649"
"2014-03-31T00:00:00.000","14-Mar","297","239","128","664"
"2014-04-30T00:00:00.000","14-Apr","372","325","129","826"
"2014-05-31T00:00:00.000","14-May","327","301","144","772"
"2014-06-30T00:00:00.000","14-Jun","332","339","177","848"
"2014-07-31T00:00:00.000","14-Jul","353","317","211","881"
"2014-08-31T00:00:00.000","14-Aug","442","286","172","900"
"2014-09-30T00:00:00.000","14-Sep","317","284","197","798"
"2014-10-31T00:00:00.000","14-Oct","306","272","160","738"
"2014-11-30T00:00:00.000","14-Nov","244","188","152","584"
"2014-12-31T00:00:00.000","14-Dec","323","247","201","771"
"2015-01-31T00:00:00.000","15-Jan","293","237","154","684"
"2015-02-28T00:00:00.000","15-Feb","286","263","134","683"
"2015-03-31T00:00:00.000","15-Mar","353","252","164","769"
"2015-04-30T00:00:00.000","15-Apr","356","317","173","846"
"2015-05-31T00:00:00.000","15-May","357","310","140","807"
"2015-06-30T00:00:00.000","15-Jun","341","362","200","903"
"2015-07-31T00:00:00.000","15-Jul","354","332","177","863"
"2015-08-31T00:00:00.000","15-Aug","333","276","172","781"
"2015-09-30T00:00:00.000","15-Sep","325","321","183","829"
"2015-10-31T00:00:00.000","15-Oct","350","299","212","861"
"2015-11-30T00:00:00.000","15-Nov","279","250","168","697"
"2015-12-31T00:00:00.000","15-Dec","275","297","171","743"
"2016-01-31T00:00:00.000","16-Jan","264","254","145","663"
"2016-02-29T00:00:00.000","16-Feb","317","303","151","771"
"2016-03-31T00:00:00.000","16-Mar","347","389","166","902"
"2016-04-30T00:00:00.000","16-Apr","317","314","183","814"
"2016-05-31T00:00:00.000","16-May","386","354","154","894"
"2016-06-30T00:00:00.000","16-Jun","561","300","149","1010"
"2016-07-31T00:00:00.000","16-Jul","392","282","154","828"
"2016-08-31T00:00:00.000","16-Aug","389","342","178","909"
"2016-09-30T00:00:00.000","16-Sep","336","278","143","757"
"2016-10-31T00:00:00.000","16-Oct","382","321","149","752"
"2016-11-30T00:00:00.000","16-Nov","315","285","151","751"
"2016-12-31T00:00:00.000","16-Dec","287","280","227","794"
"2017-01-31T00:00:00.000","17-Jan","334","281","131","746"
"2017-02-28T00:00:00.000","17-Feb","349","256","140","745"
"2017-03-31T00:00:00.000","17-Mar","417","346","167","930"
"2017-04-30T00:00:00.000","17-Apr","358","296","162","816"
"2017-05-31T00:00:00.000","17-May","450","340","143","933"
"2017-06-30T00:00:00.000","17-Jun","479","333","189","1001"
"2017-07-31T00:00:00.000","17-Jul","417","275","124","816"
"2017-08-31T00:00:00.000","17-Aug","470","303","177","950"
"2017-09-30T00:00:00.000","17-Sep","450","240","170","860"
"2017-10-31T00:00:00.000","17-Oct","475","302","195","972"
"2017-11-30T00:00:00.000","17-Nov","383","252","174","809"
"2017-12-31T00:00:00.000","17-Dec","380","250","186","816"
"2018-01-31T00:00:00.000","18-Jan","424","297","147","868"
