"month","accumulated_number_of_trees_pruned"
"2016-01-31T00:00:00.000","110"
"2016-02-29T00:00:00.000","316"
"2016-03-30T00:00:00.000","632"
"2016-04-30T00:00:00.000","903"
"2016-05-31T00:00:00.000","1184"
