"month","accumulated_number_of_bridge_repair_requests_completed"
"2016-01-01T00:00:00.000","0"
"2016-03-30T00:00:00.000","64"
"2016-06-30T00:00:00.000","148"
"2016-09-30T00:00:00.000","240"
"2016-12-31T00:00:00.000","340"
"2017-03-30T00:00:00.000","461"
"2017-06-30T00:00:00.000","591"
"2017-09-30T00:00:00.000","717"
"2017-12-31T00:00:00.000","819"
"2018-03-30T00:00:00.000","878"
"2018-06-30T00:00:00.000","1050"
