"status","actioncategory","recvddate","recvdtime","dateresolv","timeresolv","actualhrs","measure","unit","company","department","ticketnumber","green","yellow","red","endofmth","htcodesat","valuegreen","valueyellow","valuered"
"Green","Networking - Internal Network Consulting/Update","2016-03-15T00:00:00.000","16:02:00","2016-03-17T00:00:00.000","08:54:41","10.88","16","Day","DoIT","Executive Departments","1608595","1","0","0","2016-03-31T00:00:00.000","DCNW_Consulting","80","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-02T00:00:00.000","11:04:00","2016-03-02T00:00:00.000","16:16:07","5.20","3","Day","DoIT","Seattle Department of Transportation","1602533","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-02T00:00:00.000","12:09:00","2016-03-02T00:00:00.000","14:47:12","2.64","3","Day","DoIT","Department of Planning & Dev","1602619","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-02T00:00:00.000","16:35:35","2016-03-03T00:00:00.000","11:51:39","5.27","3","Day","DoIT","Executive Administration Department","1602975","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-02T00:00:00.000","16:57:00","2016-03-04T00:00:00.000","09:00:45","10.06","3","Day","DoIT","Personnel Department","1603003","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-03T00:00:00.000","09:05:00","2016-03-03T00:00:00.000","14:39:27","5.57","3","Day","DoIT","City Finance Office","1603153","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-03T00:00:00.000","09:05:00","2016-03-03T00:00:00.000","13:03:06","3.97","3","Day","DoIT","Legislative-City Council","1603278","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-03T00:00:00.000","14:08:00","2016-03-03T00:00:00.000","15:53:37","1.76","3","Day","DoIT","Finance and Administrative Services","1603482","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-03T00:00:00.000","16:09:00","2016-03-03T00:00:00.000","16:48:44","0.66","3","Day","DoIT","Neighborhoods Department","1603575","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-04T00:00:00.000","16:29:00","2016-03-07T00:00:00.000","10:16:27","3.79","3","Day","DoIT","Department of Education & Early Learning","1604119","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Red","Networking - VPN Access for CoS Employee","2016-03-07T00:00:00.000","10:09:23","2016-03-14T00:00:00.000","15:57:41","47.81","3","Day","DoIT","Information Technology Department","1604412","0","0","1","2016-03-31T00:00:00.000","DCSD_NewVPN",,"0","36"
"Green","Networking - VPN Access for CoS Employee","2016-03-07T00:00:00.000","10:11:15","2016-03-08T00:00:00.000","09:55:17","9.73","3","Day","DoIT","Information Technology Department","1604415","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-07T00:00:00.000","10:11:00","2016-03-07T00:00:00.000","11:45:46","1.58","3","Day","DoIT","Personnel Department","1604418","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-07T00:00:00.000","12:39:00","2016-03-07T00:00:00.000","13:02:31","0.39","3","Day","DoIT","Information Technology Department","1604579","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-07T00:00:00.000","13:39:00","2016-03-07T00:00:00.000","13:52:18","0.22","3","Day","DoIT","Information Technology Department","1604626","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Red","Networking - VPN Access for CoS Employee","2016-03-07T00:00:00.000","14:24:00","2016-03-23T00:00:00.000","09:55:42","93.53","3","Day","DoIT","Parks and Recreation Department","1604661","0","0","1","2016-03-31T00:00:00.000","DCSD_NewVPN",,"0","36"
"Green","Networking - VPN Access for CoS Employee","2016-03-07T00:00:00.000","15:00:25","2016-03-09T00:00:00.000","12:23:49","15.39","3","Day","DoIT","Finance and Administrative Services","1604693","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-08T00:00:00.000","09:38:00","2016-03-08T00:00:00.000","11:01:02","1.38","3","Day","DoIT","Human Services Department","1604962","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-08T00:00:00.000","12:28:00","2016-03-10T00:00:00.000","13:40:25","19.21","3","Day","DoIT","Executive Departments","1605170","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-08T00:00:00.000","12:33:00","2016-03-10T00:00:00.000","08:17:50","13.75","3","Day","DoIT","Executive Departments","1605177","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-09T00:00:00.000","15:30:55","2016-03-09T00:00:00.000","07:00:00","15.48","3","Day","DoIT","Finance and Administrative Services","1606098","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-10T00:00:00.000","12:05:35","2016-03-11T00:00:00.000","11:05:47","9.00","3","Day","DoIT","Executive Departments","1606569","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Red","Networking - VPN Access for CoS Employee","2016-03-10T00:00:00.000","13:57:00","2016-03-21T00:00:00.000","07:23:00","51.43","3","Day","DoIT","Executive Departments","1606714","0","0","1","2016-03-31T00:00:00.000","DCSD_NewVPN",,"0","36"
"Green","Networking - VPN Access for CoS Employee","2016-03-11T00:00:00.000","11:05:00","2016-03-14T00:00:00.000","07:01:25","5.94","3","Day","DOIT","Information Technology Department","1607121","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Red","Networking - VPN Access for CoS Employee","2016-03-14T00:00:00.000","07:27:00","2016-03-22T00:00:00.000","10:55:18","53.47","3","Day","DoIT","Law Department","1607426","0","0","1","2016-03-31T00:00:00.000","DCSD_NewVPN",,"0","36"
