"month","energy_conserved_amw"
"2017-11-30T00:00:00.000","13.67"
"2017-10-31T00:00:00.000","12.3"
"2017-09-30T00:00:00.000","11.14"
"2017-08-31T00:00:00.000","10.12"
"2017-07-31T00:00:00.000","9.11"
"2017-06-30T00:00:00.000","7.77"
"2017-05-31T00:00:00.000","7.12"
"2017-04-30T00:00:00.000","5.78"
"2017-03-31T00:00:00.000","4.01"
"2017-02-28T00:00:00.000","1.78"
"2017-01-31T00:00:00.000","0.75"
"2016-12-31T00:00:00.000","13.96"
"2016-11-30T00:00:00.000","11.27"
"2016-10-31T00:00:00.000","10.19"
"2016-09-30T00:00:00.000","8.86"
"2016-08-31T00:00:00.000","7.94"
"2016-07-31T00:00:00.000","6.35"
"2016-06-30T00:00:00.000","5.65"
"2016-05-31T00:00:00.000","4.77"
"2016-04-30T00:00:00.000","4"
"2016-03-31T00:00:00.000","2.74"
"2016-02-29T00:00:00.000","1.35"
"2016-01-31T00:00:00.000","0.72"
"2015-12-31T00:00:00.000","15.82"
"2015-11-30T00:00:00.000","13.3"
"2015-10-31T00:00:00.000","12"
"2015-09-30T00:00:00.000","11"
"2015-08-31T00:00:00.000","10"
"2015-07-31T00:00:00.000","8.7"
"2015-06-30T00:00:00.000","7.6"
"2015-05-31T00:00:00.000","6.6"
"2015-04-30T00:00:00.000","5.1"
"2015-03-31T00:00:00.000","4"
"2015-02-28T00:00:00.000","2.4"
"2015-01-31T00:00:00.000","1.2"
"2015-01-01T00:00:00.000","0"
"2014-12-31T00:00:00.000","16"
"2014-11-30T00:00:00.000","13.5"
"2014-10-31T00:00:00.000","12.0"
"2014-09-30T00:00:00.000","10.5"
"2014-08-31T00:00:00.000","9.6"
"2014-07-31T00:00:00.000","8.2"
"2014-06-30T00:00:00.000","6.9"
"2014-05-31T00:00:00.000","4.0"
"2014-04-30T00:00:00.000","3.1"
"2014-03-31T00:00:00.000","2.2"
"2014-02-28T00:00:00.000","1.4"
"2014-01-31T00:00:00.000","0.6"
"2013-12-31T00:00:00.000","14.7"
"2013-11-30T00:00:00.000","12.4"
"2013-10-31T00:00:00.000","11.6"
"2013-09-30T00:00:00.000","9.8000000000000007"
"2013-08-31T00:00:00.000","9.1999999999999993"
"2013-07-31T00:00:00.000","8"
"2013-06-30T00:00:00.000","6.8"
"2013-05-31T00:00:00.000","5.7"
"2013-04-30T00:00:00.000","4"
"2013-03-31T00:00:00.000","3.1"
"2013-02-28T00:00:00.000","1.8"
"2013-01-31T00:00:00.000","0.8"
"2012-12-31T00:00:00.000","13"
"2012-11-30T00:00:00.000","10.3"
"2012-10-31T00:00:00.000","9.3000000000000007"
"2012-09-30T00:00:00.000","7.8"
"2012-08-31T00:00:00.000","6.2"
"2012-07-31T00:00:00.000","5.3"
"2012-06-30T00:00:00.000","4.5999999999999996"
"2012-05-31T00:00:00.000","4"
"2012-04-30T00:00:00.000","3.9"
"2012-03-31T00:00:00.000","2.7"
"2012-02-28T00:00:00.000","1.8"
"2012-01-31T00:00:00.000","0.4"
