"month","accumulated_miles_of_arterials_re_paved_by_aac_program"
"2016-01-01T00:00:00.000","0.0"
"2016-03-30T00:00:00.000","4.8"
"2016-06-30T00:00:00.000","13.8"
"2016-09-30T00:00:00.000","24.8"
"2017-10-01T00:00:00.000","31.4"
"2017-12-31T00:00:00.000","51.3"
"2017-04-01T00:00:00.000","25.9"
"2017-07-01T00:00:00.000","31.4"
"2016-12-31T00:00:00.000","25.9"
