"month","accumulated_number_of_tree"
"2018-01-01T00:00:00.000","0"
"2018-03-30T00:00:00.000","144"
"2018-06-30T00:00:00.000","278"
"2018-09-30T00:00:00.000","429"
"2018-12-31T00:00:00.000","489"
