"month","avg_headway_adherence_of_all_seattle_rapidride_routes_c_d_e_lines"
"2012-12-31T00:00:00.000","79.7"
"2013-01-31T00:00:00.000","80.2"
"2013-02-28T00:00:00.000","80.3"
"2013-03-30T00:00:00.000","81.6"
"2013-04-30T00:00:00.000","82.8"
"2013-05-31T00:00:00.000","82.3"
"2013-06-30T00:00:00.000","82.0"
"2013-07-31T00:00:00.000","80.8"
"2013-08-31T00:00:00.000","81.5"
"2013-09-30T00:00:00.000","81.0"
"2013-10-31T00:00:00.000","81.8"
"2013-11-30T00:00:00.000","80.5"
"2013-12-31T00:00:00.000","81.4"
"2014-01-31T00:00:00.000","81.5"
"2014-02-28T00:00:00.000","80.8"
"2014-03-30T00:00:00.000","80.9"
"2014-04-30T00:00:00.000","81.4"
"2014-05-31T00:00:00.000","79.8"
"2014-06-30T00:00:00.000","78.9"
"2014-07-31T00:00:00.000","79.6"
"2014-08-31T00:00:00.000","79.4"
"2014-09-30T00:00:00.000","79.3"
"2014-10-31T00:00:00.000","79.3"
"2014-11-30T00:00:00.000","79.4"
"2014-12-31T00:00:00.000","79.9"
"2015-01-31T00:00:00.000","80.7"
"2015-02-28T00:00:00.000","80.3"
"2015-03-30T00:00:00.000","79.1"
"2015-04-30T00:00:00.000","79.9"
"2015-05-31T00:00:00.000","78.9"
"2015-06-30T00:00:00.000","78.2"
"2015-07-31T00:00:00.000","77.5"
"2015-08-31T00:00:00.000","78.3"
"2015-09-30T00:00:00.000","78.3"
"2015-10-31T00:00:00.000","79.1"
"2015-11-30T00:00:00.000","79.3"
"2015-12-31T00:00:00.000","78.4"
"2016-01-31T00:00:00.000","78.4"
"2016-02-28T00:00:00.000","78.8"
"2016-03-30T00:00:00.000","79.0"
"2016-04-30T00:00:00.000","83.6"
"2016-05-31T00:00:00.000","89.7"
