"month","number_of_potholes_repaired"
"2011-01-01T00:00:00.000","4138"
"2011-02-01T00:00:00.000","4099"
"2011-03-01T00:00:00.000","4849"
"2011-04-01T00:00:00.000","3134"
"2011-05-01T00:00:00.000","1910"
"2011-06-01T00:00:00.000","1722"
"2011-07-01T00:00:00.000","1010"
"2011-08-01T00:00:00.000","832"
"2011-09-01T00:00:00.000","728"
"2011-10-01T00:00:00.000","883"
"2011-11-01T00:00:00.000","830"
"2011-12-01T00:00:00.000","975"
"2012-01-01T00:00:00.000","1762"
"2012-02-01T00:00:00.000","2609"
"2012-03-01T00:00:00.000","2708"
"2012-04-01T00:00:00.000","2307"
"2012-05-01T00:00:00.000","1985"
"2012-06-01T00:00:00.000","1327"
"2012-07-01T00:00:00.000","836"
"2012-08-01T00:00:00.000","755"
"2012-09-01T00:00:00.000","630"
"2012-10-01T00:00:00.000","605"
"2012-11-01T00:00:00.000","1294"
"2012-12-01T00:00:00.000","1733"
"2013-01-01T00:00:00.000","1937"
"2013-02-01T00:00:00.000","2060"
"2013-03-01T00:00:00.000","2181"
"2013-04-01T00:00:00.000","1864"
"2013-05-01T00:00:00.000","1183"
"2013-06-01T00:00:00.000","1005"
"2013-07-01T00:00:00.000","806"
"2013-08-01T00:00:00.000","792"
"2013-09-01T00:00:00.000","739"
"2013-10-01T00:00:00.000","1057"
"2013-11-01T00:00:00.000","571"
"2013-12-01T00:00:00.000","511"
"2014-01-01T00:00:00.000","1452"
"2014-02-01T00:00:00.000","1650"
"2014-03-01T00:00:00.000","2860"
"2014-04-01T00:00:00.000","1970"
"2014-05-01T00:00:00.000","1219"
"2014-06-01T00:00:00.000","921"
"2014-07-01T00:00:00.000","691"
"2014-08-01T00:00:00.000","782"
"2014-09-01T00:00:00.000","807"
"2014-10-01T00:00:00.000","775"
"2014-11-01T00:00:00.000","917"
"2014-12-01T00:00:00.000","1538"
