"month","increase_in_traveller_miles_on_fair_or_better_pavement_due_to_move_seattle"
"2011-01-01T00:00:00.000","0"
"2012-01-01T00:00:00.000","0"
"2013-01-01T00:00:00.000","4"
"2014-01-01T00:00:00.000","8"
"2015-01-01T00:00:00.000","13"
