"of_websites_participating_in_redesign","month","month_end_date"
"10.00","February","2016-02-29T00:00:00.000"
"10.00","March","2016-03-31T00:00:00.000"
"11","April","2016-04-30T00:00:00.000"
"11","May","2016-05-31T00:00:00.000"
"12","June","2016-06-30T00:00:00.000"
"13.5","July","2016-07-31T00:00:00.000"
,,
