"month","accumulated_number_of_signal_major_maintenance_occurring_in_2018"
"2018-01-01T00:00:00.000","0"
"2018-03-30T00:00:00.000","3"
"2018-06-30T00:00:00.000","3"
"2018-09-30T00:00:00.000","5"
