"month","accumulated_number_of_bike_parking_spaces_built"
"2016-01-31T00:00:00.000","32"
"2016-02-29T00:00:00.000","79"
"2016-03-30T00:00:00.000","109"
"2016-04-30T00:00:00.000","162"
"2016-05-31T00:00:00.000","223"
