"month","of_citywide_bike_network_completed"
"2016-01-01T00:00:00.000","21.0"
"2016-03-30T00:00:00.000","21.0"
"2016-06-30T00:00:00.000","23.0"
"2016-09-30T00:00:00.000","26.0"
"2016-12-31T00:00:00.000","28.0"
"2017-12-31T00:00:00.000","29"
