"month","of_potholes_repaired_within_3_business_days"
"2011-01-31T00:00:00.000","26"
"2011-02-28T00:00:00.000","38"
"2011-03-30T00:00:00.000","71"
"2011-04-30T00:00:00.000","75"
"2011-05-31T00:00:00.000","71"
"2011-06-30T00:00:00.000","69"
"2011-07-31T00:00:00.000","82"
"2011-08-31T00:00:00.000","88"
"2011-09-30T00:00:00.000","93"
"2011-10-31T00:00:00.000","97"
"2011-11-30T00:00:00.000","97"
"2011-12-31T00:00:00.000","93"
"2012-01-31T00:00:00.000","85"
"2012-02-28T00:00:00.000","81"
"2012-03-30T00:00:00.000","88"
"2012-04-30T00:00:00.000","82"
"2012-05-31T00:00:00.000","89"
"2012-06-30T00:00:00.000","89"
"2012-07-31T00:00:00.000","90"
"2012-08-31T00:00:00.000","88"
"2012-09-30T00:00:00.000","72"
"2012-10-31T00:00:00.000","86"
"2012-11-30T00:00:00.000","87"
"2012-12-31T00:00:00.000","88"
"2013-01-31T00:00:00.000","91"
"2013-02-28T00:00:00.000","95"
"2013-03-30T00:00:00.000","94"
"2013-04-30T00:00:00.000","96"
"2013-05-31T00:00:00.000","88"
"2013-06-30T00:00:00.000","90"
"2013-07-31T00:00:00.000","92"
"2013-08-31T00:00:00.000","93"
"2013-09-30T00:00:00.000","93"
"2013-10-31T00:00:00.000","94"
"2013-11-30T00:00:00.000","84"
"2013-12-31T00:00:00.000","72"
"2014-01-31T00:00:00.000","89"
"2014-02-28T00:00:00.000","84"
"2014-03-30T00:00:00.000","83"
"2014-04-30T00:00:00.000","80"
"2014-05-31T00:00:00.000","88"
"2014-06-30T00:00:00.000","91"
"2014-07-31T00:00:00.000","90"
"2014-08-31T00:00:00.000","89"
"2014-09-30T00:00:00.000","84"
"2014-10-31T00:00:00.000","86"
"2014-11-30T00:00:00.000","78"
"2014-12-31T00:00:00.000","88"
"2015-01-31T00:00:00.000","77"
"2015-02-28T00:00:00.000","97"
"2015-03-30T00:00:00.000","98"
"2015-04-30T00:00:00.000","94"
"2015-05-31T00:00:00.000","97"
"2015-06-30T00:00:00.000","96"
"2015-07-31T00:00:00.000","95"
"2015-08-31T00:00:00.000","96"
"2015-09-30T00:00:00.000","97"
"2015-10-31T00:00:00.000","98"
"2015-11-30T00:00:00.000","96"
"2015-12-31T00:00:00.000","97"
"2016-01-31T00:00:00.000","98"
"2016-02-28T00:00:00.000","95"
"2016-03-30T00:00:00.000","95"
"2016-04-30T00:00:00.000","98"
"2016-05-31T00:00:00.000","98"
"2016-06-30T00:00:00.000","96"
"2016-07-31T00:00:00.000","96"
"2016-08-31T00:00:00.000","99"
"2016-09-30T00:00:00.000","97"
"2016-10-31T00:00:00.000","95"
"2016-11-01T00:00:00.000","98"
"2016-12-01T00:00:00.000",
