"month","accumulated_number_of_bridge_repair_requests_completed_in_2018"
"2018-01-01T00:00:00.000","0"
"2018-03-30T00:00:00.000","59"
"2018-06-30T00:00:00.000","290"
"2018-09-30T00:00:00.000","390"
