"month","rapidride_e_line_headway_adherence"
"2014-02-28T00:00:00.000","78.0"
"2014-03-30T00:00:00.000","78.5"
"2014-04-30T00:00:00.000","79.5"
"2014-05-31T00:00:00.000","78.5"
"2014-06-30T00:00:00.000","77.7"
"2014-07-31T00:00:00.000","77.7"
"2014-08-31T00:00:00.000","77.4"
"2014-09-30T00:00:00.000","78.4"
"2014-10-31T00:00:00.000","78.9"
"2014-11-30T00:00:00.000","78.8"
"2014-12-31T00:00:00.000","78.7"
"2015-01-31T00:00:00.000","79.1"
"2015-02-28T00:00:00.000","78.2"
"2015-03-30T00:00:00.000","76.9"
"2015-04-30T00:00:00.000","77.7"
"2015-05-31T00:00:00.000","77.1"
"2015-06-30T00:00:00.000","75.9"
"2015-07-31T00:00:00.000","75.7"
"2015-08-31T00:00:00.000","76.4"
"2015-09-30T00:00:00.000","75.9"
"2015-10-31T00:00:00.000","77.4"
"2015-11-30T00:00:00.000","77.5"
"2015-12-31T00:00:00.000","77.2"
"2016-01-31T00:00:00.000","77.1"
"2016-02-28T00:00:00.000","77.4"
"2016-03-30T00:00:00.000","77.3"
"2016-04-30T00:00:00.000","79.3"
"2016-05-31T00:00:00.000","87.8"
