"month","accumulated_number_of"
"2018-01-01T00:00:00.000","0"
"2018-03-30T00:00:00.000","347"
"2018-06-30T00:00:00.000","871"
"2018-09-30T00:00:00.000","1443"
"2018-12-31T00:00:00.000","1863"
