"month","accumulated_number_of_crosswalks_remarked_in_2016"
"2016-01-31T00:00:00.000","0"
"2016-02-29T00:00:00.000","0"
"2016-03-30T00:00:00.000","0"
"2016-04-30T00:00:00.000","19"
"2016-05-31T00:00:00.000","130"
"2016-06-30T00:00:00.000","140"
