"month","accumulated_number_of_safe_routes_to_school_projects_completed_in_2017"
"2017-10-01T00:00:00.000","16"
"2017-01-01T00:00:00.000","0"
"2017-04-01T00:00:00.000","0"
"2017-07-01T00:00:00.000","5"
"2017-12-31T00:00:00.000","31"
