"month","accumulated_number_of_safe_routes_to_school_projects_completed_in_2016"
"2016-01-31T00:00:00.000","0"
"2016-02-29T00:00:00.000","1"
"2016-03-30T00:00:00.000","3"
"2016-04-30T00:00:00.000","4"
"2016-05-31T00:00:00.000","6"
"2016-06-30T00:00:00.000","8"
