"month","accumulated_number_of_new_bike_parking_spaces_built"
"2016-01-01T00:00:00.000","0"
"2016-03-30T00:00:00.000","196"
"2016-06-30T00:00:00.000","588"
"2016-09-30T00:00:00.000","622"
"2016-12-31T00:00:00.000","622"
"2017-10-01T00:00:00.000","992"
"2017-12-31T00:00:00.000","1088"
"2017-07-01T00:00:00.000","930"
"2017-04-01T00:00:00.000","844"
