"date","month","housing_complaints_within_10_days","construction_complaints_within_5_days","land_use_complaints_within_10_days","weighted_average_of_3_types"
"2014-01-31T00:00:00.000",,"82","87.18","82.03","82.77"
"2014-02-28T00:00:00.000",,"82.19","100","94.68","90.91"
"2014-03-31T00:00:00.000",,"75.59","95.65","93.28","85.96"
"2014-04-30T00:00:00.000",,"83.53","100","86.01","87.07"
"2014-05-31T00:00:00.000",,"71","97.06","90.91","84.72"
"2014-06-30T00:00:00.000",,"84.07","91.89","87.02","86.48"
"2014-07-31T00:00:00.000",,"75.22","84.09","75.61","76.64"
"2014-08-31T00:00:00.000",,"77.19","95.12","69.77","75.54"
"2014-09-30T00:00:00.000",,"77.48","87.18","76.69","78.45"
"2014-10-31T00:00:00.000",,"76.99","80.85","70.68","74.74"
"2014-11-30T00:00:00.000",,"75.95","89.47","61.64","73.16"
"2014-12-31T00:00:00.000",,"87.91","88.37","74.51","82.2"
"2015-01-31T00:00:00.000",,"76.58","85","74.23","77.02"
"2015-02-28T00:00:00.000",,"84.88","93.33","81.45","84.17"
"2015-03-31T00:00:00.000",,"76.42","80.65","76.16","76.74"
"2015-04-30T00:00:00.000",,"88.6","95.12","80.49","85.27"
"2015-05-31T00:00:00.000",,"78.38","92","67.88","73.75"
"2015-06-30T00:00:00.000",,"76.98","89.36","74.4","77.42"
"2015-07-31T00:00:00.000",,"90.6","86.84","72.2","79.72"
"2015-08-31T00:00:00.000",,"89.15","78.13","76.74","81.68"
"2015-09-30T00:00:00.000",,"93.46","86.49","71.35","80.06"
"2015-10-31T00:00:00.000",,"84.95","95.92","78.1","83.51"
"2015-11-30T00:00:00.000",,"93.62","88.1","77.23","85.65"
"2015-12-31T00:00:00.000",,"86.67","94.12","81.68","85.76"
"2016-01-31T00:00:00.000",,"83.18","73.53","84.97","82.99"
"2016-02-28T00:00:00.000",,"85.12","94.87","92","89.68"
"2016-03-31T00:00:00.000",,"84.75","78.95","90.48","86.09"
"2016-04-30T00:00:00.000",,"84.4","89.19","86.03","85.71"
"2016-05-31T00:00:00.000",,"86.3","97.22","74.47","82.35"
"2016-06-30T00:00:00.000",,"85.6","89.36","84.24","85.46"
"2016-07-30T00:00:00.000",,"87.8","95.45","88.11","88.54"
"2016-08-31T00:00:00.000",,"84.93","81.25","85.57","84.96"
"2016-09-30T00:00:00.000",,"84.87","89.66","74.7","79.94"
"2016-10-31T00:00:00.000",,"86.72","92.31","82.64","85.76"
"2016-11-30T00:00:00.000",,"76.92","79.55","78.49","78.01"
"2016-12-31T00:00:00.000",,"87.21","86","71.67","79.69"
"2017-01-31T00:00:00.000",,"81.2","92.06","78.45","82.43"
"2017-02-28T00:00:00.000",,"81.3","89.09","79.21","82.08"
"2017-03-31T00:00:00.000",,"86.49","93.33","90.26","89.05"
"2017-04-30T00:00:00.000",,"90.57","91.67","93.08","92.03"
"2017-05-31T00:00:00.000",,"88.41","96.08","87.57","89.11"
"2017-06-30T00:00:00.000",,"90.06","97.56","94.51","92.9"
"2017-07-31T00:00:00.000",,"88.36","97.5","96.03","92.88"
"2017-08-31T00:00:00.000",,"86.25","90","85.19","86.15"
"2017-09-30T00:00:00.000",,"89.17","94.55","93.45","92.13"
"2017-10-31T00:00:00.000",,"84.78","100","98.82","93.48"
"2017-11-30T00:00:00.000",,"79.05","97.5","92.7","88.3"
"2017-12-31T00:00:00.000",,"85.39","87.76","77.12","82.03"
"2018-01-31T00:00:00.000",,"80.31","98.25","99.36","92.06"
