"month","accumulated_miles_of_arterials_re_paved_by_amm_program"
"2016-01-01T00:00:00.000","0.0"
"2016-03-30T00:00:00.000","1.2"
"2016-06-30T00:00:00.000","3.4"
"2016-09-30T00:00:00.000","7.5"
"2016-12-31T00:00:00.000","10.7"
"2017-03-30T00:00:00.000","10.8"
"2017-06-30T00:00:00.000","10.9"
"2017-09-30T00:00:00.000","13.4"
"2017-12-31T00:00:00.000","17.9"
"2018-03-30T00:00:00.000","18.5"
