"date","month","www_seattlechannel_org_pageviews","pageviews_blogs_seattle_gov","pageviews_all_of_seattle_gov","users_unique_count_www_seattlechannel_org","users_unique_count_blogs_seattle_gov","users_unique_count_all_of_seattle_gov","sessions_www_seattlechannel_org","sessions_blogs_seattle_gov","sessions_all_of_seattle_gov"
"2015-02-28T00:00:00.000","February","175054","200256","6126842","61282","91208","798000","94767","119329","1410062"
"2015-03-31T00:00:00.000","March","187471","213949","6950364","68579","84970","918072","99330","117352","1639865"
"2015-04-30T00:00:00.000","April","233894","210932","6825312","76099","86177","918999","125353","115940","1624977"
"2015-05-31T00:00:00.000","May","191732","176570","6931411","77592","75120","957741","109767","103269","1674418"
"2015-07-31T00:00:00.000","July","230041","230833","8090036","75189","97720","1117407","135577","133058","1990231"
"2015-06-01T00:00:00.000","June","209824","199894","7447547","75076","74098","1017714","123357","100855","1804929"
"2015-08-31T00:00:00.000","August","159935","231236","7504701","62331","99918","102441","88760","135896","1821658"
"2015-09-30T00:00:00.000","September","271702","253627","6815208","146951","124773","934781","146951","163410","1641846"
"2015-10-01T00:00:00.000","January","198788","191535","6729080","66216","77221","899943","97871","107314","1566956"
"2015-10-31T00:00:00.000","October","207128","177510","6573911","70826","80192","858088","118759","107784","1527336"
"2015-11-30T00:00:00.000","November","210345","161415","6129470","65733","72285","806955","118060","94814","1415376"
"2015-12-31T00:00:00.000","December",,,"6095448",,,"770140",,,"1352310"
"2016-06-30T00:00:00.000","June",,,"6699240",,,,,,
"2016-05-31T00:00:00.000","May",,,"6994896",,,,,,
"2016-07-31T00:00:00.000","July",,,"6823041",,,,,,
"2016-02-29T00:00:00.000","February",,,"6468268",,,,,,
"2016-04-30T00:00:00.000","April",,,"6734825",,,,,,
"2016-01-31T00:00:00.000","January",,,"6770872",,,,,,
"2016-03-31T00:00:00.000","March",,,"7428716",,,,,,
