"month","accumulated_number_of_safety_corridor_projects_completed_in_current_calendar_year"
"2018-01-01T00:00:00.000","0"
"2018-03-30T00:00:00.000","0"
"2018-06-30T00:00:00.000","1"
"2018-09-30T00:00:00.000","3"
