"month","monthly_number_of_construction_permit_use_applications"
"2009-01-01T00:00:00.000","286"
"2009-02-01T00:00:00.000","408"
"2009-03-01T00:00:00.000","295"
"2009-04-01T00:00:00.000","409"
"2009-05-01T00:00:00.000","279"
"2009-06-01T00:00:00.000","378"
"2009-07-01T00:00:00.000","332"
"2009-08-01T00:00:00.000","270"
"2009-09-01T00:00:00.000","300"
"2009-10-01T00:00:00.000","262"
"2009-11-01T00:00:00.000","189"
"2009-12-01T00:00:00.000","221"
"2010-01-01T00:00:00.000","419"
"2010-02-01T00:00:00.000","403"
"2010-03-01T00:00:00.000","303"
"2010-04-01T00:00:00.000","287"
"2010-05-01T00:00:00.000","250"
"2010-06-01T00:00:00.000","338"
"2010-07-01T00:00:00.000","348"
"2010-08-01T00:00:00.000","294"
"2010-09-01T00:00:00.000","323"
"2010-10-01T00:00:00.000","242"
"2010-11-01T00:00:00.000","204"
"2010-12-01T00:00:00.000","279"
"2011-01-01T00:00:00.000","469"
"2011-02-01T00:00:00.000","232"
"2011-03-01T00:00:00.000","232"
"2011-04-01T00:00:00.000","346"
"2011-05-01T00:00:00.000","286"
"2011-06-01T00:00:00.000","340"
"2011-07-01T00:00:00.000","269"
"2011-08-01T00:00:00.000","332"
"2011-09-01T00:00:00.000","292"
"2011-10-01T00:00:00.000","311"
"2011-11-01T00:00:00.000","279"
"2011-12-01T00:00:00.000","314"
"2012-01-01T00:00:00.000","194"
"2012-02-01T00:00:00.000","234"
"2012-03-01T00:00:00.000","261"
"2012-04-01T00:00:00.000","298"
"2012-05-01T00:00:00.000","335"
"2012-06-01T00:00:00.000","388"
"2012-07-01T00:00:00.000","340"
"2012-08-01T00:00:00.000","402"
"2012-09-01T00:00:00.000","362"
"2012-10-01T00:00:00.000","427"
"2012-11-01T00:00:00.000","300"
"2012-12-01T00:00:00.000","371"
"2013-01-01T00:00:00.000","413"
"2013-02-01T00:00:00.000","324"
"2013-03-01T00:00:00.000","331"
"2013-04-01T00:00:00.000","448"
"2013-05-01T00:00:00.000","400"
"2013-06-01T00:00:00.000","434"
"2013-07-01T00:00:00.000","406"
"2013-08-01T00:00:00.000","394"
"2013-09-01T00:00:00.000","378"
"2013-10-01T00:00:00.000","437"
"2013-11-01T00:00:00.000","283"
"2013-12-01T00:00:00.000","332"
"2014-01-01T00:00:00.000","456"
"2014-02-01T00:00:00.000","365"
"2014-03-01T00:00:00.000","423"
"2014-04-01T00:00:00.000","448"
"2014-05-01T00:00:00.000","408"
"2014-06-01T00:00:00.000","442"
"2014-07-01T00:00:00.000","489"
"2014-08-01T00:00:00.000","451"
"2014-09-01T00:00:00.000","474"
"2014-10-01T00:00:00.000","488"
"2014-11-01T00:00:00.000","299"
