Crime ID,Crime Type,Report Date,Report Month,Report Year,Occurred Date,Address,Street Number,Street Direction,Street Name,Street Type,Latitude,Longitude,City,Zip,Location 1,RowID
20190450598,Larceny,02/14/2019,Feb,2019,02/14/2019,1400 Block of W ISABELLA AVE,1400,W,ISABELLA,AVE,33.383613,-111.861912,MESA,85202,"(33.383613, -111.861912)",201904505981
20190960024,Larceny,04/06/2019,Apr,2019,04/06/2019,1500 Block of S EXTENSION RD,1500,S,EXTENSION,RD,33.387677,-111.84838,MESA,85210,"(33.387677, -111.84838)",201909600241
20190230414,Larceny,01/23/2019,Jan,2019,01/22/2019,2600 Block of E DRAGOON AVE,2600,E,DRAGOON,AVE,33.403702,-111.774884,MESA,85204,"(33.403702, -111.774884)",201902304141
20190450581,Larceny,02/14/2019,Feb,2019,02/14/2019,1400 Block of S ALMA SCHOOL RD,1400,S,ALMA SCHOOL,RD,33.387725,-111.856942,MESA,85210,"(33.387725, -111.856942)",201904505811
20190777002,Larceny,03/15/2019,Mar,2019,03/11/2019,1100 Block of W ENID AVE,1100,W,ENID,AVE,33.397629,-111.854923,MESA,85210,"(33.397629, -111.854923)",201907770021
20190987008,Larceny,04/05/2019,Apr,2019,04/05/2019,1100 Block of S STAPLEY DR,1100,S,STAPLEY,DR,33.3949,-111.805137,MESA,85204,"(33.3949, -111.805137)",201909870081
20190110694,Larceny,01/11/2019,Jan,2019,01/11/2019,400 Block of W BROWN RD,400,W,BROWN,RD,33.435009,-111.840237,MESA,85201,"(33.435009, -111.840237)",201901106941
20190230407,Larceny,01/23/2019,Jan,2019,01/17/2019,2600 Block of N POWER RD,2600,N,POWER,RD,33.462873,-111.683695,MESA,85207,"(33.462873, -111.683695)",201902304071
20190340184,Larceny,02/03/2019,Feb,2019,02/02/2019,1900 Block of E BROADWAY RD,1900,E,BROADWAY,RD,33.408552,-111.790304,MESA,85204,"(33.408552, -111.790304)",201903401841
20190450562,Larceny,02/14/2019,Feb,2019,,1500 Block of S POWER RD,1500,S,POWER,RD,33.388732,-111.681504,MESA,85209,"(33.388732, -111.681504)",201904505621
20190620396,Larceny,03/03/2019,Mar,2019,03/01/2019,4100 Block of E MCDOWELL RD,4100,E,MCDOWELL,RD,33.466122,-111.741926,MESA,85215,"(33.466122, -111.741926)",201906203961
20190777001,Larceny,03/15/2019,Mar,2019,03/14/2019,1200 Block of S LONGMORE,1200,S,LONGMORE,,33.392782,-111.863489,MESA,85202,"(33.392782, -111.863489)",201907770011
20190880449,Larceny,03/29/2019,Mar,2019,03/29/2019,1100 Block of S DOBSON RD,1100,S,DOBSON,RD,33.394721,-111.874316,MESA,85202,"(33.394721, -111.874316)",201908804491
20190987004,Larceny,04/05/2019,Apr,2019,04/04/2019,1100 Block of E INDIGO ST,1100,E,INDIGO,ST,33.445461,-111.807103,MESA,85203,"(33.445461, -111.807103)",201909870041
20190087009,Larceny,01/05/2019,Jan,2019,01/05/2019,1700 Block of W 6TH DR,1700,W,6TH,DR,33.402743,-111.867889,MESA,85202,"(33.402743, -111.867889)",201900870091
