"row_id","fiscal_year","fiscal_year_date","calendar_year","month","month_date","percent_of_discounted_mail"
"1","2014","2014-01-01T00:00:00.000","2013","July","2013-07-01T00:00:00.000","0.98"
"2","2014","2014-01-01T00:00:00.000","2013","August","2013-08-01T00:00:00.000","0.98"
"3","2014","2014-01-01T00:00:00.000","2013","September","2013-09-01T00:00:00.000","0.99"
"4","2014","2014-01-01T00:00:00.000","2013","October","2013-10-01T00:00:00.000","0.99"
"5","2014","2014-01-01T00:00:00.000","2013","November","2013-11-01T00:00:00.000","0.99"
"6","2014","2014-01-01T00:00:00.000","2013","December","2013-12-01T00:00:00.000","0.98"
"7","2014","2014-01-01T00:00:00.000","2014","January","2014-01-01T00:00:00.000","0.99"
"8","2014","2014-01-01T00:00:00.000","2014","February","2014-02-01T00:00:00.000","0.99"
"9","2014","2014-01-01T00:00:00.000","2014","March","2014-03-01T00:00:00.000","0.98"
"10","2014","2014-01-01T00:00:00.000","2014","April","2014-04-01T00:00:00.000","0.99"
"11","2014","2014-01-01T00:00:00.000","2014","May","2014-05-01T00:00:00.000","0.99"
"12","2014","2014-01-01T00:00:00.000","2014","June","2014-06-01T00:00:00.000","0.98"
"13","2015","2015-01-01T00:00:00.000","2014","July","2014-07-01T00:00:00.000","0.98"
"14","2015","2015-01-01T00:00:00.000","2014","August","2014-08-01T00:00:00.000","0.98"
"15","2015","2015-01-01T00:00:00.000","2014","September","2014-09-01T00:00:00.000","0.99"
"16","2015","2015-01-01T00:00:00.000","2014","October","2014-10-01T00:00:00.000","0.99"
"17","2015","2015-01-01T00:00:00.000","2014","November","2014-11-01T00:00:00.000","0.99"
"18","2015","2015-01-01T00:00:00.000","2014","December","2014-12-01T00:00:00.000","0.9787"
"19","2015","2015-01-01T00:00:00.000","2015","January","2015-01-01T00:00:00.000","0.9842"
"20","2015","2015-01-01T00:00:00.000","2015","February","2015-02-01T00:00:00.000","0.983"
"21","2015","2015-01-01T00:00:00.000","2015","March","2015-03-01T00:00:00.000","0.9811"
"22","2015","2015-01-01T00:00:00.000","2015","April","2015-04-01T00:00:00.000","0.9816"
"23","2015","2015-01-01T00:00:00.000","2015","May","2015-05-01T00:00:00.000","0.9803"
"24","2015","2015-01-01T00:00:00.000","2015","June","2015-06-01T00:00:00.000","0.9846"
"25","2016","2016-01-01T00:00:00.000","2015","July","2015-07-01T00:00:00.000","0.9876"
"26","2016","2016-01-01T00:00:00.000","2015","August","2015-08-01T00:00:00.000","0.9882"
"27","2016","2016-01-01T00:00:00.000","2015","September","2015-09-01T00:00:00.000","0.9828"
"28","2016","2016-01-01T00:00:00.000","2015","October","2015-10-01T00:00:00.000","0.9901"
"29","2016","2016-01-01T00:00:00.000","2015","November","2015-11-01T00:00:00.000","0.9894"
"30","2016","2016-01-01T00:00:00.000","2015","December","2015-12-01T00:00:00.000","0.9838"
"31","2016","2016-01-01T00:00:00.000","2016","January","2016-01-01T00:00:00.000","0.9832"
"32","2016","2016-01-01T00:00:00.000","2016","February","2016-02-01T00:00:00.000","0.983"
"33","2016","2016-01-01T00:00:00.000","2016","March","2016-03-01T00:00:00.000","0.9893"
"34","2016","2016-01-01T00:00:00.000","2016","April","2016-04-01T00:00:00.000","0.99"
"35","2016","2016-01-01T00:00:00.000","2016","May","2016-05-01T00:00:00.000","0.983"
"36","2016","2016-01-01T00:00:00.000","2016","June","2016-06-01T00:00:00.000","0.9638"
"37","2017","2017-01-01T00:00:00.000","2016","July","2016-07-01T00:00:00.000","0.9909"
"38","2017","2017-01-01T00:00:00.000","2016","August","2016-08-01T00:00:00.000","0.9867"
"39","2017","2017-01-01T00:00:00.000","2016","September","2016-09-01T00:00:00.000","0.9903"
"40","2017","2017-01-01T00:00:00.000","2016","October","2016-10-01T00:00:00.000","0.9885"
"41","2017","2017-01-01T00:00:00.000","2016","November","2016-11-01T00:00:00.000","0.989"
"42","2017","2017-01-01T00:00:00.000","2016","December","2016-12-01T00:00:00.000","0.9131"
"43","2017","2017-01-01T00:00:00.000","2017","January","2017-01-01T00:00:00.000","0.9855"
"44","2017","2017-01-01T00:00:00.000","2017","February","2017-02-01T00:00:00.000","0.9887"
"45","2017","2017-01-01T00:00:00.000","2017","March","2017-03-01T00:00:00.000","0.9856"
"46","2017","2017-01-01T00:00:00.000","2017","April","2017-04-01T00:00:00.000","0.9824"
"47","2017","2017-01-01T00:00:00.000","2017","May","2017-05-01T00:00:00.000","0.9752"
"48","2017","2017-01-01T00:00:00.000","2017","June","2017-06-01T00:00:00.000","0.9821"
"49","2018","2018-01-01T00:00:00.000","2017","July","2017-07-01T00:00:00.000","0.9905"
"50","2018","2018-01-01T00:00:00.000","2017","August","2017-08-01T00:00:00.000","0.9855"
"51","2018","2018-01-01T00:00:00.000","2017","September","2017-09-01T00:00:00.000","0.9865"
"52","2018","2018-01-01T00:00:00.000","2017","October","2017-10-01T00:00:00.000","0.977"
"53","2018","2018-01-01T00:00:00.000","2017","November","2017-11-01T00:00:00.000","0.8491"
"54","2018","2018-01-01T00:00:00.000","2017","December","2017-12-01T00:00:00.000","0.9811"
"55","2018","2018-01-01T00:00:00.000","2018","January","2018-01-01T00:00:00.000","0.9702"
"56","2018","2018-01-01T00:00:00.000","2018","February","2018-02-01T00:00:00.000","0.9857"
"57","2018","2018-01-01T00:00:00.000","2018","March","2018-03-01T00:00:00.000","0.9844"
"58","2018","2018-01-01T00:00:00.000","2018","April","2018-04-01T00:00:00.000","0.9866"
"59","2018","2018-01-01T00:00:00.000","2018","May","2018-05-01T00:00:00.000","0.9889"
"60","2018","2018-01-01T00:00:00.000","2018","June","2018-06-01T00:00:00.000","0.9874"
"61","2019","2019-01-01T00:00:00.000","2018","July","2018-07-01T00:00:00.000","0.9704"
