"week_beginning_year","week_beginning_month","week_beginning_date","year","month","date","number_of_meals_delivered","number_of_agencies"
"2020","May","2020-05-11T00:00:00.000","2020","May","2020-05-12T00:00:00.000","350","3"
"2020","May","2020-05-11T00:00:00.000","2020","May","2020-05-13T00:00:00.000","350","3"
"2020","May","2020-05-11T00:00:00.000","2020","May","2020-05-15T00:00:00.000","500","3"
"2020","May","2020-05-18T00:00:00.000","2020","May","2020-05-19T00:00:00.000","1000","6"
"2020","May","2020-05-18T00:00:00.000","2020","May","2020-05-20T00:00:00.000","1000","6"
"2020","May","2020-05-18T00:00:00.000","2020","May","2020-05-21T00:00:00.000","1000","7"
"2020","May","2020-05-18T00:00:00.000","2020","May","2020-05-22T00:00:00.000","1000","6"
"2020","May","2020-05-25T00:00:00.000","2020","May","2020-05-26T00:00:00.000","1000","6"
"2020","May","2020-05-25T00:00:00.000","2020","May","2020-05-27T00:00:00.000","1000","6"
"2020","May","2020-05-25T00:00:00.000","2020","May","2020-05-28T00:00:00.000","1000","7"
"2020","May","2020-05-25T00:00:00.000","2020","May","2020-05-29T00:00:00.000","1000","6"
"2020","June","2020-06-01T00:00:00.000","2020","June","2020-06-02T00:00:00.000","1000","6"
"2020","June","2020-06-01T00:00:00.000","2020","June","2020-06-03T00:00:00.000","1000","6"
"2020","June","2020-06-01T00:00:00.000","2020","June","2020-06-04T00:00:00.000","1000","7"
"2020","June","2020-06-01T00:00:00.000","2020","June","2020-06-05T00:00:00.000","1000","6"
"2020","June","2020-06-08T00:00:00.000","2020","June","2020-06-09T00:00:00.000","915","6"
"2020","June","2020-06-08T00:00:00.000","2020","June","2020-06-10T00:00:00.000","690","6"
"2020","June","2020-06-08T00:00:00.000","2020","June","2020-06-11T00:00:00.000","890","7"
"2020","June","2020-06-08T00:00:00.000","2020","June","2020-06-12T00:00:00.000","965","6"
"2020","June","2020-06-08T00:00:00.000","2020","June","2020-06-16T00:00:00.000","1165","8"
"2020","June","2020-06-15T00:00:00.000","2020","June","2020-06-17T00:00:00.000","690","8"
"2020","June","2020-06-15T00:00:00.000","2020","June","2020-06-18T00:00:00.000","1140","9"
"2020","June","2020-06-15T00:00:00.000","2020","June","2020-06-19T00:00:00.000","1215","8"
"2020","June","2020-06-22T00:00:00.000","2020","June","2020-06-23T00:00:00.000","1140","8"
"2020","June","2020-06-22T00:00:00.000","2020","June","2020-06-24T00:00:00.000","665","8"
"2020","June","2020-06-22T00:00:00.000","2020","June","2020-06-25T00:00:00.000","1115","9"
"2020","June","2020-06-22T00:00:00.000","2020","June","2020-06-26T00:00:00.000","1190","8"
