"rowid","account","month","year","activity_date","page_title","pageviews","unique_pageviews","average_time_on_page","entrances","bounce_rate_percent","exit_percent","users","new_users","sessions","city","network_location","browser","device_category","region","avg_session_duration"
"2019-01-09City Hall | City of Mesa1","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-09T00:00:00.000","City Hall | City of Mesa","1","1","9","0","0","0","1","0","0","Mesa","city of mesa","Safari (in-app)","mobile","Arizona","0"
"2019-01-04City of Mesa : Home2","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-04T00:00:00.000","City of Mesa : Home","1","1","0","1","100","100","1","1","1","Mesa","cox communications","Safari","desktop","Arizona","0"
"2019-01-08City of Mesa : Home3","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-08T00:00:00.000","City of Mesa : Home","1","1","4","1","0","0","1","0","1","Mesa","cox communications","Safari","desktop","Arizona","4"
"2019-01-09City of Mesa | Home4","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-09T00:00:00.000","City of Mesa | Home","1","1","14","1","0","0","1","0","1","Mesa","city of mesa","Safari (in-app)","mobile","Arizona","45"
"2019-01-27City of Mesa | Home5","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-27T00:00:00.000","City of Mesa | Home","1","1","0","1","100","100","1","0","1","Gilbert","centurylink communications llc","Safari (in-app)","mobile","Arizona","0"
"2019-01-09Engineering | City of Mesa6","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-09T00:00:00.000","Engineering | City of Mesa","1","1","23","0","0","0","1","0","0","Mesa","city of mesa","Safari (in-app)","mobile","Arizona","0"
"2019-01-02@Mesa Free WiFi | City of Mesa7","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","cellco partnership dba verizon wireless","Chrome","mobile","Arizona","0"
"2019-01-05@Mesa Free WiFi | City of Mesa8","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-05T00:00:00.000","@Mesa Free WiFi | City of Mesa","9","2","122","2","50","22.22","1","1","2","Phoenix","cellco partnership dba verizon wireless","Chrome","mobile","Arizona","488.5"
"2019-01-07@Mesa Free WiFi | City of Mesa9","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-07T00:00:00.000","@Mesa Free WiFi | City of Mesa","2","1","53","1","0","50","1","1","1","(not set)","at&t mobility llc","Android Webview","mobile","Nevada","149"
"2019-01-08@Mesa Free WiFi | City of Mesa10","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-08T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Los Angeles","sprint burbank pop","Chrome","mobile","California","0"
"2019-01-09@Mesa Free WiFi | City of Mesa11","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-09T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Lehi","centracom interactive","Chrome","desktop","Utah","0"
"2019-01-09@Mesa Free WiFi | City of Mesa12","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-09T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","city of mesa","Amazon Silk","tablet","Arizona","0"
"2019-01-09@Mesa Free WiFi | City of Mesa13","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-09T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","0","1","Mesa","cox communications","Safari","tablet","Arizona","0"
"2019-01-11@Mesa Free WiFi | City of Mesa14","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-11T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","0","1","Phoenix","cox communications inc.","Chrome","mobile","Arizona","0"
"2019-01-11@Mesa Free WiFi | City of Mesa15","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-11T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","37","1","0","0","1","1","1","Phoenix","sprint phoenix pop","Chrome","mobile","Arizona","37"
"2019-01-11@Mesa Free WiFi | City of Mesa16","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-11T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","sprint phoenix pop","Safari","mobile","Arizona","0"
"2019-01-11@Mesa Free WiFi | City of Mesa17","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-11T00:00:00.000","@Mesa Free WiFi | City of Mesa","2","2","205","0","0","50","1","0","0","Phoenix","t-mobile usa inc.","Chrome","mobile","Arizona","0"
"2019-01-11@Mesa Free WiFi | City of Mesa18","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-11T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","50","1","0","0","1","1","1","Phoenix","t-mobile usa inc.","Safari","mobile","Arizona","50"
"2019-01-12@Mesa Free WiFi | City of Mesa19","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-12T00:00:00.000","@Mesa Free WiFi | City of Mesa","2","1","182","1","0","0","1","1","1","Phoenix","cellco partnership dba verizon wireless","Chrome","mobile","Arizona","515"
"2019-01-12@Mesa Free WiFi | City of Mesa20","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-12T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","cox communications inc.","Safari","mobile","Arizona","0"
"2019-01-12@Mesa Free WiFi | City of Mesa21","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-12T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Minneapolis","mci communications services inc. d/b/a verizon bus","Safari","tablet","Minnesota","0"
"2019-01-12@Mesa Free WiFi | City of Mesa22","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-12T00:00:00.000","@Mesa Free WiFi | City of Mesa","2","1","30","1","0","0","1","0","1","Phoenix","sprint phoenix pop","Chrome","mobile","Arizona","896"
"2019-01-12@Mesa Free WiFi | City of Mesa23","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-12T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","793","1","0","0","1","1","1","Phoenix","t-mobile usa inc.","Samsung Internet","mobile","Arizona","793"
"2019-01-13@Mesa Free WiFi | City of Mesa24","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-13T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","0","0","100","1","0","0","Pune","broadband multiplay project o/o dgm bb noc bsnl ba","Chrome","mobile","Maharashtra","0"
"2019-01-14@Mesa Free WiFi | City of Mesa25","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-14T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Los Angeles","at&amp;t mobility llc","Safari","mobile","California","0"
"2019-01-14@Mesa Free WiFi | City of Mesa26","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-14T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Los Angeles","at&t mobility llc","Safari","mobile","California","0"
"2019-01-14@Mesa Free WiFi | City of Mesa27","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-14T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Mora","midcontinent communications","Internet Explorer","desktop","Minnesota","0"
"2019-01-14@Mesa Free WiFi | City of Mesa28","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-14T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","t-mobile usa inc.","Chrome","mobile","Arizona","0"
"2019-01-16@Mesa Free WiFi | City of Mesa29","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-16T00:00:00.000","@Mesa Free WiFi | City of Mesa","2","2","0","2","100","100","2","0","2","Phoenix","cellco partnership dba verizon wireless","Chrome","mobile","Arizona","0"
"2019-01-17@Mesa Free WiFi | City of Mesa30","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-17T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Tolleson","centurylink communications llc","Chrome","mobile","Arizona","0"
"2019-01-18@Mesa Free WiFi | City of Mesa31","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-18T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","0","1","Tolleson","centurylink communications llc","Chrome","mobile","Arizona","0"
"2019-01-18@Mesa Free WiFi | City of Mesa32","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-18T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","0","1","Tempe","cox communications inc.","Chrome","mobile","Arizona","0"
"2019-01-18@Mesa Free WiFi | City of Mesa33","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-18T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","0","1","Los Angeles","t-mobile usa inc.","Chrome","mobile","California","0"
"2019-01-18@Mesa Free WiFi | City of Mesa34","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-18T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Edmonton","telus-hsia-edtnabzy","Safari","tablet","Alberta","0"
"2019-01-19@Mesa Free WiFi | City of Mesa35","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-19T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","cellco partnership dba verizon wireless","Safari","mobile","Arizona","0"
"2019-01-19@Mesa Free WiFi | City of Mesa36","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-19T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","cox communications inc.","Safari","desktop","Arizona","0"
"2019-01-19@Mesa Free WiFi | City of Mesa37","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-19T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","t-mobile usa inc.","Chrome","mobile","Arizona","0"
"2019-01-19@Mesa Free WiFi | City of Mesa38","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-19T00:00:00.000","@Mesa Free WiFi | City of Mesa","2","1","1211","1","0","50","1","1","1","Phoenix","t-mobile usa inc.","Safari","mobile","Arizona","1211"
"2019-01-21@Mesa Free WiFi | City of Mesa39","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-21T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","t-mobile usa inc.","Chrome","mobile","Arizona","0"
"2019-01-22@Mesa Free WiFi | City of Mesa40","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-22T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","0","0","100","1","0","0","New York","time warner cable internet llc","Chrome","desktop","New York","0"
"2019-01-23@Mesa Free WiFi | City of Mesa41","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-23T00:00:00.000","@Mesa Free WiFi | City of Mesa","3","3","0","3","100","100","2","2","3","Phoenix","cellco partnership dba verizon wireless","Chrome","mobile","Arizona","0"
"2019-01-24@Mesa Free WiFi | City of Mesa42","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-24T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Pasadena","charter communications","Safari","tablet","California","0"
"2019-01-24@Mesa Free WiFi | City of Mesa43","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-24T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","city of mesa","Chrome","desktop","Arizona","0"
