"rowid","date","calendar_year","fiscal_year","month","day","day_of_week","sunrise","sunset","cart_rentals","cart_revenue","club_rentals","club_revenue","food_and_beverage","green_fees","merchandise_revenue","range_sales","rounds_possible","round_capacity","rounds_played","total_revenue","revenue_round"
"1","2015-07-01T00:00:00.000","2015","FY15-16","July","1","Wednesday",,,,,,,,,,,,,"4492",,
"2","2015-08-01T00:00:00.000","2015","FY15-16","August","1","Saturday",,,,,,,,,,,,,"3589",,
"3","2015-09-01T00:00:00.000","2015","FY15-16","September","1","Tuesday",,,,,,,,,,,,,"3867",,
"4","2015-10-01T00:00:00.000","2015","FY15-16","October","1","Thursday",,,,,,,,,,,,,"5396",,
"5","2015-11-01T00:00:00.000","2015","FY15-16","November","1","Sunday",,,,,,,,,,,,,"3772",,
"6","2015-12-01T00:00:00.000","2015","FY15-16","December","1","Tuesday",,,,,,,,,,,,,"4503",,
"7","2016-01-01T00:00:00.000","2016","FY15-16","January","1","Friday",,,,,,,,,,,,,"5213",,
"8","2016-02-01T00:00:00.000","2016","FY15-16","February","1","Monday",,,,,,,,,,,,,"6565",,
"9","2016-03-01T00:00:00.000","2016","FY15-16","March","1","Tuesday",,,,,,,,,,,,,"7761",,
"10","2016-04-01T00:00:00.000","2016","FY15-16","April","1","Friday",,,,,,,,,,,,,"6373",,
"11","2016-05-01T00:00:00.000","2016","FY15-16","May","1","Sunday",,,,,,,,,,,,,"5270",,
"12","2016-06-01T00:00:00.000","2016","FY15-16","June","1","Wednesday",,,,,,,,,,,,,"4265",,
"13","2016-07-01T00:00:00.000","2016","FY16-17","July","1","Friday",,,,,,,,,,,,,"3134",,
"14","2016-08-01T00:00:00.000","2016","FY16-17","August","1","Monday",,,,,,,,,,,,,"3582",,
"15","2016-09-01T00:00:00.000","2016","FY16-17","September","1","Thursday",,,,,,,,,,,,,"3782",,
"16","2016-10-01T00:00:00.000","2016","FY16-17","October","1","Saturday",,,,,,,,,,,,,"3763",,
"17","2016-11-01T00:00:00.000","2016","FY16-17","November","1","Tuesday",,,,,,,,,,,,,"4868",,
"18","2016-12-01T00:00:00.000","2016","FY16-17","December","1","Thursday",,,,,,,,,,,,,"4769",,
"19","2017-01-01T00:00:00.000","2017","FY16-17","January","1","Sunday",,,,,,,,,,,,,"5506",,
"20","2017-02-01T00:00:00.000","2017","FY16-17","February","1","Wednesday",,,,,,,,,,,,,"6366",,
"21","2017-03-01T00:00:00.000","2017","FY16-17","March","1","Wednesday",,,,,,,,,,,,,"8049",,
"22","2017-04-01T00:00:00.000","2017","FY16-17","April","1","Saturday",,,,,,,,,,,,,"6058",,
"23","2017-05-01T00:00:00.000","2017","FY16-17","May","1","Monday",,,,,,,,,,,,,"4462",,
"24","2017-06-01T00:00:00.000","2017","FY16-17","June","1","Thursday",,,,,,,,,,,,,"4292",,
"25","2017-07-01T00:00:00.000","2017","FY17-18","July","1","Saturday",,,,,,,,,,,,,"3497",,
"26","2017-08-01T00:00:00.000","2017","FY17-18","August","1","Tuesday",,,,,,,,,,,,,"3783",,
"27","2017-09-01T00:00:00.000","2017","FY17-18","September","1","Friday",,,,,,,,,,,,,"4372",,
"28","2017-10-01T00:00:00.000","2017","FY17-18","October","1","Sunday",,,,,,,,,,,,,"3817",,
"29","2017-11-01T00:00:00.000","2017","FY17-18","November","1","Wednesday",,,,,,,,,,,,,"5201",,
"30","2017-12-01T00:00:00.000","2017","FY17-18","December","1","Friday",,,,,,,,,,,,,"4940",,
"31","2018-01-01T00:00:00.000","2018","FY17-18","January","1","Monday",,,,,,,,,,,,,"6072",,
"32","2018-02-01T00:00:00.000","2018","FY17-18","February","1","Thursday",,,,,,,,,,,,,"6448",,
"33","2018-03-01T00:00:00.000","2018","FY17-18","March","1","Thursday",,,,,,,,,,,,,"8107",,
"34","2018-04-01T00:00:00.000","2018","FY17-18","April","1","Sunday",,,,,,,,,,,,,"6513",,
"35","2018-05-01T00:00:00.000","2018","FY17-18","May","1","Tuesday",,,,,,,,,,,,,"5150",,
"36","2018-06-01T00:00:00.000","2018","FY17-18","June","1","Friday",,,,,,,,,,,,,"4676",,
"37","2018-07-01T00:00:00.000","2018","FY18-19","July","1","Sunday",,,,,,,,,,,,,"3844",,
"38","2018-08-01T00:00:00.000","2018","FY18-19","August","1","Wednesday",,,,,,,,,,,,,"3569",,
"39","2018-09-01T00:00:00.000","2018","FY18-19","September","1","Saturday",,,,,,,,,,,,,"4281",,
"40","2018-10-01T00:00:00.000","2018","FY18-19","October","1","Monday",,,,,,,,,,,,,"2963",,
"41","2018-11-01T00:00:00.000","2018","FY18-19","November","1","Thursday",,,,,,,,,,,,,"5730",,
"42","2018-12-01T00:00:00.000","2018","FY18-19","December","1","Saturday",,,,,,,,,,,,,"4103",,
"43","2019-01-01T00:00:00.000","2019","FY18-19","January","1","Tuesday",,,,,,,,,,,,,"5835",,
"44","2019-02-01T00:00:00.000","2019","FY18-19","February","1","Friday",,,,,,,,,,,,,"5628",,
"45","2019-03-01T00:00:00.000","2019","FY18-19","March","1","Friday",,,,,,,,,,,,,"8088",,
"46","2019-04-01T00:00:00.000","2019","FY18-19","April","1","Monday",,,,,,,,,,,,,"7237",,
"47","2019-05-01T00:00:00.000","2019","FY18-19","May","1","Wednesday",,,,,,,,,,,,,"5553",,
"48","2019-06-01T00:00:00.000","2019","FY18-19","June","1","Saturday",,,,,,,,,,,,,"5445",,
"49","2019-07-01T00:00:00.000","2019","FY19-20","July","1","Monday",,,"0",,,"725","62321","96114","10222","18476",,,"5407","187858","34.74"
"50","2019-08-01T00:00:00.000","2019","FY19-20","August","1","Thursday",,,"0",,,"1038","64848","107000","12408","18906",,,"4950","204200","41.25"
"51","2019-09-01T00:00:00.000","2019","FY19-20","September","1","Sunday",,,"0",,,"550","74305","123314","10563","21276",,,"5295","230008","43.44"
"52","2019-10-01T00:00:00.000","2019","FY19-20","October","1","Tuesday",,,"0",,,"773","60660","112814","14026","27528",,,"4486","215801","48.11"
"53","2019-11-01T00:00:00.000","2019","FY19-20","November","1","Friday",,,"0",,,"2415","78372","203750","16149","27914",,,"6237","328600","52.69"
"54","2019-12-01T00:00:00.000","2019","FY19-20","December","1","Sunday",,,"0",,,"1703","69270","198522","16319","27439",,,"5477","313253","57.19"
"55","2020-01-01T00:00:00.000","2020","FY19-20","January","1","Wednesday",,,"0",,,"3550","83753","278914","14432","37470",,,"7394","418119","56.55"
"56","2020-02-01T00:00:00.000","2020","FY19-20","February","1","Saturday",,,,,,"3240","79690","287506","16403","40592",,,"7365","427431","58.04"
"57","2020-03-01T00:00:00.000","2020","FY19-20","March","1","Sunday",,,,,,"3814","75847","302792","19305","33657",,,"8151","435415","53.42"
"58","2020-04-01T00:00:00.000","2020","FY19-20","April","1","Wednesday",,,,,,"1590","89531","223255","20994","36835",,,"8117","372205","45.85"
"59","2020-05-01T00:00:00.000","2020","FY19-20","May","1","Friday",,,,,,"1011","48625","218974","27156","40541",,,"8112","336307","41.46"
"60","2020-06-01T00:00:00.000","2020","FY19-20","June","1","Monday",,,,,,"1184","58919","153870","24745","31782",,,"7662","270500","35.3"
"61","2020-07-01T00:00:00.000","2020","FY20-21","July","1","Wednesday",,,,,,"935","51146","125376","24244","32062",,,"6757","233763","34.6"
"62","2020-08-01T00:00:00.000","2020","FY20-21","August","1","Saturday",,,,,,"840","61032","135854","17541","33621",,,"6634","248888","37.52"
"63","2020-09-01T00:00:00.000","2020","FY20-21","September","1","Tuesday",,,,,,"1240","67907","140774","25764","37305",,,"6946","272990","39.3"
"64","2020-10-01T00:00:00.000","2020","FY20-21","October","1","Thursday",,,,,,"1613","65166","151962","18450","37680",,,"5354","274871","51.34"
"65","2020-11-01T00:00:00.000","2020","FY20-21","November","1","Sunday",,,,,,"2045","98257","307911","23539","46537",,,"8212","478289","58.24"
"66","2020-12-01T00:00:00.000","2020","FY20-21","December","1","Tuesday",,,,,,"2003","82341","286573","25973","44750",,,"7054","441640","62.61"
"67","2021-01-01T00:00:00.000","2021","FY20-21","January","1","Friday","07:31:28","17:30:47",,,,"2590","81597","305860","21036","43387","272","26.732","7271","454470","62.5"
"68","2021-02-01T00:00:00.000","2021","FY20-21","February","1","Monday","07:22:54","17:59:02",,,,"2938","92477","344209","24877","50028","292","28.144","8218","514529","62.61"
"69","2021-03-01T00:00:00.000","2021","FY20-21","March","1","Monday","06:54:51","18:24:13",,,,"5174","113710","406892","37411","58978","316","30.032","9490","622165","65.56"
"70","2021-04-01T00:00:00.000","2021","FY20-21","April","1","Thursday","06:14:09","18:47:51",,,,"4899","127487","386287","31175","62255","348","27.994","9742","612103","62.83"
"71","2021-05-01T00:00:00.000","2021","FY20-21","May","1","Saturday","05:38:29","19:10:13",,,,"3383","114955","314679","34773","52770","380","23.297","8853","520560","58.8"
"72","2021-06-01T00:00:00.000","2021","FY20-21","June","1","Tuesday","05:18:24","19:32:06",,,,"1630","91652","186093","29336","37538","400","19.39","7756","346249","44.64"
"73","2021-07-01T00:00:00.000","2021","FY21-22","July","1","Thursday","05:21:33","19:41:03",,,,"50","2094","8357","565","1262","404","1.087","439","12328","28.08"
"74","2021-07-02T00:00:00.000","2021","FY21-22","July","2","Friday","05:21:59","19:41:00",,,,"195","4009","10942","950","1769","404","0.829","335","17865","53.33"
"75","2021-07-03T00:00:00.000","2021","FY21-22","July","3","Saturday","05:22:26","19:40:54",,,,"20","3942","7336","621","1474","400","0.65","260","13393","51.51"
"76","2021-07-04T00:00:00.000","2021","FY21-22","July","4","Sunday","05:22:54","19:40:47",,,,"96","2462","6613","605","1044","400","0.598","239","10820","45.27"
"77","2021-07-05T00:00:00.000","2021","FY21-22","July","5","Monday","05:23:24","19:40:39",,,,"26","3288","9517","506","1540","400","0.853","341","14877","43.63"
"78","2021-07-06T00:00:00.000","2021","FY21-22","July","6","Tuesday","05:23:54","19:40:29",,,,"0","1264","2231","259","657","400","0.275","110","4411","40.1"
"79","2021-07-07T00:00:00.000","2021","FY21-22","July","7","Wednesday","05:24:25","19:40:17",,,,"0","1169","2370","259","1232","400","0.303","121","5030","41.57"
"80","2021-07-08T00:00:00.000","2021","FY21-22","July","8","Thursday","05:24:56","19:40:03",,,,"35","2281","3891","495","877","400","0.47","188","7579","40.31"
"81","2021-07-09T00:00:00.000","2021","FY21-22","July","9","Friday","05:25:29","19:39:48",,,,"40","2302","4486","1059","963","400","0.507","203","8850","43.6"
"82","2021-07-10T00:00:00.000","2021","FY21-22","July","10","Saturday","05:26:02","19:39:32",,,,"10","3417","7116","1986","1294","400","0.615","246","13823","56.19"
"83","2021-07-11T00:00:00.000","2021","FY21-22","July","11","Sunday","05:26:36","19:39:13",,,,"0","3039","6833","585","1346","400","0.543","217","11803","54.39"
"84","2021-07-12T00:00:00.000","2021","FY21-22","July","12","Monday","05:27:11","19:38:54",,,,"20","1689","3188","1223","1594","396","0.417","165","7714","46.75"
"85","2021-07-13T00:00:00.000","2021","FY21-22","July","13","Tuesday","05:27:47","19:38:32",,,,"0","2074","4608","764","1293","396","0.586","232","8739","37.67"
"86","2021-07-14T00:00:00.000","2021","FY21-22","July","14","Wednesday","05:28:23","19:38:09",,,,"60","1754","3145","820","1140","396","0.422","167","6919","41.43"
"87","2021-07-15T00:00:00.000","2021","FY21-22","July","15","Thursday","05:28:59","19:37:44",,,,"145","3994","4308","577","2086","396","0.556","220","11110","50.5"
"88","2021-07-16T00:00:00.000","2021","FY21-22","July","16","Friday","05:29:37","19:37:18",,,,"140","3823","9714","786","2012","396","0.977","387","16475","42.57"
"89","2021-07-17T00:00:00.000","2021","FY21-22","July","17","Saturday","05:30:14","19:36:50",,,,"10","3676","7462","1823","1729","396","0.674","267","14700","55.06"
"90","2021-07-18T00:00:00.000","2021","FY21-22","July","18","Sunday","05:30:53","19:36:21",,,,"10","2768","7731","1320","1392","396","0.702","278","13221","47.56"
