"confirmation_code","barcode","event","performance","performance_year","performance_month","ticket_type","venue_name","venue_street","venue_city","venue_region","venue_postal_code","venue_country","currency","face_value","ticketleap_fees_paid_by_buyer","ticketleap_fees_paid_by_seller","ticket_order_total","ticket_net_proceeds","refunded","buyer_city","buyer_region","buyer_postal_code","buyer_country","date_of_purchase","year_of_purchase","month_of_purchase","purchase_point","order_method","card_type","payment_type","tickets_in_order","order_total","order_id","payment_processor_id","referrer","redeemed","redeemed_date","redeemed_year","redeemed_month","redemption_method","billing_postal_code","billing_country"
"BO-4135-5411-56F","JKU22FS","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-12T19:53:00.000","2017","Dec","Onsite","iOS-iPad","Visa","Ticketleap","3","5","1c087a6b-d78c-415d-9310-53f043d5a3a5","'5131336239036466704066'",,"true","2017-12-12T19:53:45.000","2017","Dec","iOS",,
"BO-7475-3192-D87","Z4OF40L","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-12T19:53:00.000","2017","Dec","Onsite","iOS-iPad","Visa","Ticketleap","3","5","1c087a6b-d78c-415d-9310-53f043d5a3a5","'5131336239036466704066'",,"true","2017-12-12T19:53:45.000","2017","Dec","iOS",,
"BU-0009-3239-700","LMXWRKB","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-19T18:59:00.000","2017","Dec","Onsite","iOS-iPad",,"Free","2","0","2aba7440-99ce-4df7-ae3f-85b712bb1682","'6b577f46-73c6-4ffa-b4ea-e7ebc0860f1b'",,"false",,,,,,
"BU-0018-7212-949","2TPRJW4","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-05T18:08:00.000","2017","Dec","Onsite","iOS-iPad",,"Free","4","0","61879e2c-f22c-40eb-a0d0-0e70a0896243","'155c2c53-5a8d-4935-be98-ffc83a25c87b'",,"true","2017-12-05T18:08:52.000","2017","Dec","iOS",,
"BU-0018-9444-991","A8MNHK5","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-11-28T18:27:00.000","2017","Nov","Onsite","iOS-iPad",,"Free","11","0","133d1fdc-7c09-4c2e-9af2-e6ed3db59927","'f76fc023-045b-4510-8b87-19b124724e44'",,"false",,,,,,
"BU-0042-2238-E57","83DJIL8","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-12T17:59:00.000","2017","Dec","Onsite","iOS-iPad",,"Free","3","0","6808991f-7398-4bf9-aab7-9637c83370c8","'6cebc64d-88c9-49f2-a626-dd1d16c59185'",,"false",,,,,,
"BU-0075-9414-47D","949DY93","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-19T19:06:00.000","2017","Dec","Onsite","iOS-iPad",,"Free","5","0","2763773b-2a01-4050-8b9c-eba5daae34a3","'2ad788b8-14a8-4e64-b846-8d0d7c3245ae'",,"false",,,,,,
"BU-0095-0853-4D8","3H5RRI1","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-12T17:08:00.000","2017","Dec","Onsite","iOS-iPad",,"Free","1","0","b92bf74d-8fb6-4cab-bd6f-8047edac6f50","'1e076305-7153-4e9a-9282-21d6fd4320fc'",,"false",,,,,,
"BU-0140-5654-08D","L7C0T5G","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-12T19:15:00.000","2017","Dec","Onsite","iOS-iPad",,"Free","2","0","19ea538f-a27e-4cd8-a1da-9cc1bc922394","'cba9bd8c-9bd9-4f42-9468-134eab8d908f'",,"true","2017-12-12T19:15:28.000","2017","Dec","iOS",,
"BU-0186-1204-D56","9E68GUJ","2017 Winter Wonderland Ice Rink","2017-11-24T18:00:00.000","2017","Nov","City Employee/Family Member Free Skate","Mesa City Plaza - East Parking Lot","20 E Main Street","Mesa","AZ","85201","USA","USD","0","0","0","0","0","false",,,,,"2017-12-05T16:31:00.000","2017","Dec","Onsite","iOS-iPad",,"Free","6","0","e3fef415-fd37-407e-a148-78873b7bbffa","'ed8941a2-8520-42d9-b659-e05a17b5ef66'",,"true","2017-12-05T16:31:31.000","2017","Dec","iOS",,
