"date","month","year","place_name","employment","labor_force","unemployment","unemployment_rate"
"2002-05-01T00:00:00.000","May","2002","Mesa","210688","221699","11011","5.0"
"2000-01-01T00:00:00.000","January","2000","Chandler","100296","103106","2810","2.7"
"2000-01-01T00:00:00.000","January","2000","Gilbert","64502","65822","1320","2.0"
"2000-01-01T00:00:00.000","January","2000","Maricopa County","1527819","1584140","56321","3.6"
"2000-01-01T00:00:00.000","January","2000","Mesa","200449","207210","6761","3.3"
"2000-01-01T00:00:00.000","January","2000","Phoenix","652010","680636","28626","4.2"
"2000-01-01T00:00:00.000","January","2000","Tempe","94629","97657","3028","3.1"
"2000-01-01T00:00:00.000","January","2000","Tucson","228687","239889","11202","4.7"
"2000-02-01T00:00:00.000","February","2000","Chandler","100882","103493","2611","2.5"
"2000-02-01T00:00:00.000","February","2000","Gilbert","64879","66106","1227","1.9"
"2000-02-01T00:00:00.000","February","2000","Maricopa County","1536734","1589064","52330","3.3"
"2000-02-01T00:00:00.000","February","2000","Mesa","201619","207901","6282","3.0"
"2000-02-01T00:00:00.000","February","2000","Phoenix","655815","682413","26598","3.9"
"2000-02-01T00:00:00.000","February","2000","Tempe","95182","97996","2814","2.9"
"2000-02-01T00:00:00.000","February","2000","Tucson","231076","241320","10244","4.2"
"2000-03-01T00:00:00.000","March","2000","Chandler","100701","103359","2658","2.6"
"2000-03-01T00:00:00.000","March","2000","Gilbert","64763","66012","1249","1.9"
"2000-03-01T00:00:00.000","March","2000","Maricopa County","1533979","1587259","53280","3.4"
"2000-03-01T00:00:00.000","March","2000","Mesa","201257","207653","6396","3.1"
"2000-03-01T00:00:00.000","March","2000","Phoenix","654639","681719","27080","4.0"
"2000-03-01T00:00:00.000","March","2000","Tempe","95011","97875","2864","2.9"
"2000-03-01T00:00:00.000","March","2000","Tucson","231536","241508","9972","4.1"
"2000-04-01T00:00:00.000","April","2000","Chandler","101178","103503","2325","2.2"
"2000-04-01T00:00:00.000","April","2000","Gilbert","65070","66162","1092","1.7"
"2000-04-01T00:00:00.000","April","2000","Maricopa County","1541250","1587863","46613","2.9"
"2000-04-01T00:00:00.000","April","2000","Mesa","202211","207806","5595","2.7"
"2000-04-01T00:00:00.000","April","2000","Phoenix","657741","681433","23692","3.5"
"2000-04-01T00:00:00.000","April","2000","Tempe","95461","97967","2506","2.6"
"2000-04-01T00:00:00.000","April","2000","Tucson","230904","239757","8853","3.7"
"2000-05-01T00:00:00.000","May","2000","Chandler","100633","103032","2399","2.3"
"2000-05-01T00:00:00.000","May","2000","Gilbert","64718","65846","1128","1.7"
"2000-05-01T00:00:00.000","May","2000","Maricopa County","1532943","1581035","48092","3.0"
"2000-05-01T00:00:00.000","May","2000","Mesa","201121","206894","5773","2.8"
"2000-05-01T00:00:00.000","May","2000","Phoenix","654197","678640","24443","3.6"
"2000-05-01T00:00:00.000","May","2000","Tempe","94946","97531","2585","2.7"
"2000-05-01T00:00:00.000","May","2000","Tucson","227011","236043","9032","3.8"
"2000-06-01T00:00:00.000","June","2000","Chandler","101388","104106","2718","2.6"
"2000-06-01T00:00:00.000","June","2000","Gilbert","65204","66481","1277","1.9"
"2000-06-01T00:00:00.000","June","2000","Maricopa County","1544445","1598921","54476","3.4"
"2000-06-01T00:00:00.000","June","2000","Mesa","202630","209169","6539","3.1"
"2000-06-01T00:00:00.000","June","2000","Phoenix","659105","686793","27688","4.0"
"2000-06-01T00:00:00.000","June","2000","Tempe","95659","98588","2929","3.0"
"2000-06-01T00:00:00.000","June","2000","Tucson","228238","238527","10289","4.3"
"2000-07-01T00:00:00.000","July","2000","Chandler","101083","103818","2735","2.6"
"2000-07-01T00:00:00.000","July","2000","Gilbert","65008","66293","1285","1.9"
"2000-07-01T00:00:00.000","July","2000","Maricopa County","1539800","1594613","54813","3.4"
"2000-07-01T00:00:00.000","July","2000","Mesa","202020","208600","6580","3.2"
"2000-07-01T00:00:00.000","July","2000","Phoenix","657123","684983","27860","4.1"
"2000-07-01T00:00:00.000","July","2000","Tempe","95372","98319","2947","3.0"
"2000-07-01T00:00:00.000","July","2000","Tucson","225217","235419","10202","4.3"
"2000-08-01T00:00:00.000","August","2000","Chandler","101102","104011","2909","2.8"
"2000-08-01T00:00:00.000","August","2000","Gilbert","65020","66387","1367","2.1"
"2000-08-01T00:00:00.000","August","2000","Maricopa County","1540093","1598391","58298","3.6"
"2000-08-01T00:00:00.000","August","2000","Mesa","202059","209057","6998","3.3"
"2000-08-01T00:00:00.000","August","2000","Phoenix","657248","686879","29631","4.3"
"2000-08-01T00:00:00.000","August","2000","Tempe","95389","98523","3134","3.2"
"2000-08-01T00:00:00.000","August","2000","Tucson","224219","234875","10656","4.5"
"2000-09-01T00:00:00.000","September","2000","Chandler","102009","104611","2602","2.5"
"2000-09-01T00:00:00.000","September","2000","Gilbert","65603","66826","1223","1.8"
"2000-09-01T00:00:00.000","September","2000","Maricopa County","1553903","1606059","52156","3.2"
"2000-09-01T00:00:00.000","September","2000","Mesa","203871","210132","6261","3.0"
"2000-09-01T00:00:00.000","September","2000","Phoenix","663142","689652","26510","3.8"
