"fiscal_year","date","sworn_civilian","full_time_employee_count"
"FY00/01","2000-07-01T00:00:00.000","Sworn","791"
"FY00/01","2000-07-01T00:00:00.000","Civilian","458"
"FY00/01","2000-07-01T00:00:00.000","Total","1249"
"FY01/02","2001-07-01T00:00:00.000","Sworn","810"
"FY01/02","2001-07-01T00:00:00.000","Civilian","501.5"
"FY01/02","2001-07-01T00:00:00.000","Total","1311.5"
"FY02/03","2002-07-01T00:00:00.000","Sworn","809"
"FY02/03","2002-07-01T00:00:00.000","Civilian","544.8"
"FY02/03","2002-07-01T00:00:00.000","Total","1353.8"
"FY03/04","2003-07-01T00:00:00.000","Sworn","829"
"FY03/04","2003-07-01T00:00:00.000","Civilian","503"
"FY03/04","2003-07-01T00:00:00.000","Total","1332"
"FY04/05","2004-07-01T00:00:00.000","Sworn","830"
"FY04/05","2004-07-01T00:00:00.000","Civilian","539"
"FY04/05","2004-07-01T00:00:00.000","Total","1369"
"FY05/06","2005-07-01T00:00:00.000","Sworn","850"
"FY05/06","2005-07-01T00:00:00.000","Civilian","561"
"FY05/06","2005-07-01T00:00:00.000","Total","1411"
"FY06/07","2006-07-01T00:00:00.000","Sworn","855"
"FY06/07","2006-07-01T00:00:00.000","Civilian","548.5"
"FY06/07","2006-07-01T00:00:00.000","Total","1403.5"
"FY07/08","2007-07-01T00:00:00.000","Sworn","856"
"FY07/08","2007-07-01T00:00:00.000","Civilian","546.5"
"FY07/08","2007-07-01T00:00:00.000","Total","1402.5"
"FY08/09","2008-07-01T00:00:00.000","Sworn","857.6"
"FY08/09","2008-07-01T00:00:00.000","Civilian","532.5"
"FY08/09","2008-07-01T00:00:00.000","Total","1390.1"
"FY09/10","2009-07-01T00:00:00.000","Sworn","834.6"
"FY09/10","2009-07-01T00:00:00.000","Civilian","531"
"FY09/10","2009-07-01T00:00:00.000","Total","1365.6"
"FY10/11","2010-07-01T00:00:00.000","Sworn","777"
"FY10/11","2010-07-01T00:00:00.000","Civilian","437"
"FY10/11","2010-07-01T00:00:00.000","Total","1214"
"FY11/12","2011-07-01T00:00:00.000","Sworn","777"
"FY11/12","2011-07-01T00:00:00.000","Civilian","417"
"FY11/12","2011-07-01T00:00:00.000","Total","1194"
"FY12/13","2012-07-01T00:00:00.000","Sworn","782"
"FY12/13","2012-07-01T00:00:00.000","Civilian","424"
"FY12/13","2012-07-01T00:00:00.000","Total","1206"
"FY13/14","2013-07-01T00:00:00.000","Sworn","782"
"FY13/14","2013-07-01T00:00:00.000","Civilian","430"
"FY13/14","2013-07-01T00:00:00.000","Total","1212"
"FY14/15","2014-07-01T00:00:00.000","Sworn","782"
"FY14/15","2014-07-01T00:00:00.000","Civilian","431"
"FY14/15","2014-07-01T00:00:00.000","Total","1213"
"FY15/16","2015-07-01T00:00:00.000","Sworn","759"
"FY15/16","2015-07-01T00:00:00.000","Civilian","425"
"FY15/16","2015-07-01T00:00:00.000","Total","1184"
"FY16/17","2016-07-01T00:00:00.000","Sworn","772"
"FY16/17","2016-07-01T00:00:00.000","Civilian","424.5"
"FY16/17","2016-07-01T00:00:00.000","Total","1196.5"
"FY17/18","2017-07-01T00:00:00.000","Sworn","752"
"FY17/18","2017-07-01T00:00:00.000","Civilian","436.5"
"FY17/18","2017-07-01T00:00:00.000","Total","1188.5"
"FY84/85","1984-07-01T00:00:00.000","Sworn","269"
"FY84/85","1984-07-01T00:00:00.000","Civilian","143"
"FY84/85","1984-07-01T00:00:00.000","Total","412"
"FY85/86","1985-07-01T00:00:00.000","Sworn","285"
"FY85/86","1985-07-01T00:00:00.000","Civilian","166.5"
"FY85/86","1985-07-01T00:00:00.000","Total","451.5"
"FY86/87","1986-07-01T00:00:00.000","Sworn","331"
"FY86/87","1986-07-01T00:00:00.000","Civilian","193.5"
"FY86/87","1986-07-01T00:00:00.000","Total","524.5"
"FY87/88","1987-07-01T00:00:00.000","Sworn","359"
"FY87/88","1987-07-01T00:00:00.000","Civilian","201.5"
"FY87/88","1987-07-01T00:00:00.000","Total","560.5"
"FY88/89","1988-07-01T00:00:00.000","Sworn","363"
"FY88/89","1988-07-01T00:00:00.000","Civilian","203.5"
"FY88/89","1988-07-01T00:00:00.000","Total","566.5"
"FY89/90","1989-07-01T00:00:00.000","Sworn","389"
"FY89/90","1989-07-01T00:00:00.000","Civilian","205"
"FY89/90","1989-07-01T00:00:00.000","Total","594"
"FY90/91","1990-07-01T00:00:00.000","Sworn","410"
"FY90/91","1990-07-01T00:00:00.000","Civilian","214.5"
"FY90/91","1990-07-01T00:00:00.000","Total","624.5"
"FY91/92","1991-07-01T00:00:00.000","Sworn","411"
"FY91/92","1991-07-01T00:00:00.000","Civilian","225.5"
"FY91/92","1991-07-01T00:00:00.000","Total","636.5"
"FY92/93","1992-07-01T00:00:00.000","Sworn","443"
"FY92/93","1992-07-01T00:00:00.000","Civilian","234.5"
"FY92/93","1992-07-01T00:00:00.000","Total","677.5"
"FY93/94","1993-07-01T00:00:00.000","Sworn","459"
"FY93/94","1993-07-01T00:00:00.000","Civilian","256.5"
"FY93/94","1993-07-01T00:00:00.000","Total","715.5"
"FY94/95","1994-07-01T00:00:00.000","Sworn","524"
"FY94/95","1994-07-01T00:00:00.000","Civilian","280.5"
"FY94/95","1994-07-01T00:00:00.000","Total","804.5"
"FY95/96","1995-07-01T00:00:00.000","Sworn","575"
"FY95/96","1995-07-01T00:00:00.000","Civilian","318.5"
"FY95/96","1995-07-01T00:00:00.000","Total","893.5"
"FY96/97","1996-07-01T00:00:00.000","Sworn","633"
"FY96/97","1996-07-01T00:00:00.000","Civilian","359.5"
"FY96/97","1996-07-01T00:00:00.000","Total","992.5"
"FY97/98","1997-07-01T00:00:00.000","Sworn","652"
"FY97/98","1997-07-01T00:00:00.000","Civilian","374.5"
"FY97/98","1997-07-01T00:00:00.000","Total","1026.5"
"FY98/99","1998-07-01T00:00:00.000","Sworn","674"
"FY98/99","1998-07-01T00:00:00.000","Civilian","392.5"
"FY98/99","1998-07-01T00:00:00.000","Total","1066.5"
"FY99/00","1999-07-01T00:00:00.000","Sworn","729"
"FY99/00","1999-07-01T00:00:00.000","Civilian","438.5"
"FY99/00","1999-07-01T00:00:00.000","Total","1167.5"
"FY18/19","2018-07-01T00:00:00.000","Sworn","757"
"FY18/19","2018-07-01T00:00:00.000","Civilian","455"
"FY18/19","2018-07-01T00:00:00.000","Total","1212"
"FY19/20","2019-07-01T00:00:00.000","Sworn","778"
"FY19/20","2019-07-01T00:00:00.000","Civilian","474"
"FY19/20","2019-07-01T00:00:00.000","Total","1252"
"FY20/21","2020-07-01T00:00:00.000","Sworn","801"
"FY20/21","2020-07-01T00:00:00.000","Civilian","472"
"FY20/21","2020-07-01T00:00:00.000","Total","1273"
"FY21/22","2021-07-01T00:00:00.000","Sworn","813"
"FY21/22","2021-07-01T00:00:00.000","Civilian","489"
"FY21/22","2021-07-01T00:00:00.000","Total","1302"
