"row_id","fiscal_year","fiscal_year_date","calendar_year","month","month_date","tickets_received","tickets_completed_same_day"
"1","2017","2017-01-01T00:00:00.000","2016","July","2016-07-01T00:00:00.000","194","194"
"2","2017","2017-01-01T00:00:00.000","2016","August","2016-08-01T00:00:00.000","229","229"
"3","2017","2017-01-01T00:00:00.000","2016","September","2016-09-01T00:00:00.000","230","230"
"4","2017","2017-01-01T00:00:00.000","2016","October","2016-10-01T00:00:00.000","229","222"
"5","2017","2017-01-01T00:00:00.000","2016","November","2016-11-01T00:00:00.000","231","228"
"6","2017","2017-01-01T00:00:00.000","2016","December","2016-12-01T00:00:00.000","209","205"
"7","2017","2017-01-01T00:00:00.000","2017","January","2017-01-01T00:00:00.000","254","252"
"8","2017","2017-01-01T00:00:00.000","2017","February","2017-02-01T00:00:00.000","257","257"
"9","2017","2017-01-01T00:00:00.000","2017","March","2017-03-01T00:00:00.000","273","273"
"10","2017","2017-01-01T00:00:00.000","2017","April","2017-04-01T00:00:00.000","228","228"
"11","2017","2017-01-01T00:00:00.000","2017","May","2017-05-01T00:00:00.000","279","279"
"12","2017","2017-01-01T00:00:00.000","2017","June","2017-06-01T00:00:00.000","259","259"
"13","2018","2018-01-01T00:00:00.000","2017","July","2017-07-01T00:00:00.000","271","271"
"14","2018","2018-01-01T00:00:00.000","2017","August","2017-08-01T00:00:00.000","224","224"
"15","2018","2018-01-01T00:00:00.000","2017","September","2017-09-01T00:00:00.000","279","279"
"16","2018","2018-01-01T00:00:00.000","2017","October","2017-10-01T00:00:00.000","200","200"
"17","2018","2018-01-01T00:00:00.000","2017","November","2017-11-01T00:00:00.000","278","278"
"18","2018","2018-01-01T00:00:00.000","2017","December","2017-12-01T00:00:00.000","185","185"
"19","2018","2018-01-01T00:00:00.000","2018","January","2018-01-01T00:00:00.000","290","288"
"20","2018","2018-01-01T00:00:00.000","2018","February","2018-02-01T00:00:00.000","296","295"
"21","2018","2018-01-01T00:00:00.000","2018","March","2018-03-01T00:00:00.000","253","252"
"22","2018","2018-01-01T00:00:00.000","2018","April","2018-04-01T00:00:00.000","373","371"
"23","2018","2018-01-01T00:00:00.000","2018","May","2018-05-01T00:00:00.000","220","220"
"24","2018","2018-01-01T00:00:00.000","2018","June","2018-06-01T00:00:00.000","310","307"
"25","2019","2019-01-01T00:00:00.000","2018","July","2018-07-01T00:00:00.000","340","337"
"26","2019","2019-01-01T00:00:00.000","2018","August","2018-08-01T00:00:00.000","377","377"
"27","2019","2019-01-01T00:00:00.000","2018","September","2018-09-01T00:00:00.000","249","249"
"28","2019","2019-01-01T00:00:00.000","2018","October","2018-10-01T00:00:00.000","287","287"
"29","2019","2019-01-01T00:00:00.000","2018","November","2018-11-01T00:00:00.000","193","193"
"30","2019","2019-01-01T00:00:00.000","2018","December","2018-12-01T00:00:00.000","182","182"
"31","2019","2019-01-01T00:00:00.000","2019","January","2019-01-01T00:00:00.000","304","304"
"32","2019","2019-01-01T00:00:00.000","2019","February","2019-02-01T00:00:00.000","308","308"
"33","2019","2019-01-01T00:00:00.000","2019","March","2019-03-01T00:00:00.000","346","346"
"34","2019","2019-01-01T00:00:00.000","2019","April","2019-04-01T00:00:00.000","329","329"
"35","2019","2019-01-01T00:00:00.000","2019","May","2019-05-01T00:00:00.000","343","343"
"36","2019","2019-01-01T00:00:00.000","2019","June","2019-06-01T00:00:00.000","309","309"
"37","2020","2020-01-01T00:00:00.000","2019","July","2019-07-01T00:00:00.000","410","410"
"38","2020","2020-01-01T00:00:00.000","2019","August","2019-08-01T00:00:00.000","362","362"
"39","2020","2020-01-01T00:00:00.000","2019","September","2019-09-01T00:00:00.000","350","350"
"40","2020","2020-01-01T00:00:00.000","2019","October","2019-10-01T00:00:00.000","392","392"
"41","2020","2020-01-01T00:00:00.000","2019","November","2019-11-01T00:00:00.000","352","352"
"42","2020","2020-01-01T00:00:00.000","2019","December","2019-12-01T00:00:00.000","320","320"
"43","2020","2020-01-01T00:00:00.000","2020","January","2020-01-01T00:00:00.000","769","769"
"44","2020","2020-01-01T00:00:00.000","2020","February","2020-02-01T00:00:00.000","589","589"
"45","2020","2020-01-01T00:00:00.000","2020","March","2020-03-01T00:00:00.000","595","595"
"46","2020","2020-01-01T00:00:00.000","2020","April","2020-04-01T00:00:00.000","624","624"
"47","2020","2020-01-01T00:00:00.000","2020","May","2020-05-01T00:00:00.000","539","539"
"48","2020","2020-01-01T00:00:00.000","2020","June","2020-06-01T00:00:00.000","535","535"
"49","2021","2021-01-01T00:00:00.000","2020","July","2020-07-01T00:00:00.000","527","527"
"50","2021","2021-01-01T00:00:00.000","2020","August","2020-08-01T00:00:00.000","515","515"
"51","2021","2021-01-01T00:00:00.000","2020","September","2020-09-01T00:00:00.000","492","492"
"52","2021","2021-01-01T00:00:00.000","2020","October","2020-10-01T00:00:00.000","518","518"
"53","2021","2021-01-01T00:00:00.000","2020","November","2020-11-01T00:00:00.000","580","580"
"54","2021","2021-01-01T00:00:00.000","2020","December","2020-12-01T00:00:00.000","511","511"
"55","2021","2021-01-01T00:00:00.000","2021","January","2021-01-01T00:00:00.000","579","579"
"56","2021","2021-01-01T00:00:00.000","2021","February","2021-02-01T00:00:00.000","653","653"
"57","2021","2021-01-01T00:00:00.000","2021","March","2021-03-01T00:00:00.000","454","454"
"58","2021","2021-01-01T00:00:00.000","2021","April","2021-04-01T00:00:00.000","489","489"
"59","2021","2021-01-01T00:00:00.000","2021","May","2021-05-01T00:00:00.000","437","437"
"60","2021","2021-01-01T00:00:00.000","2021","June","2021-06-01T00:00:00.000","365","365"
"61","2022","2022-01-01T00:00:00.000","2021","July","2021-07-01T00:00:00.000","463","463"
"62","2022","2022-01-01T00:00:00.000","2021","August","2021-08-01T00:00:00.000","444","444"
"63","2022","2022-01-01T00:00:00.000","2021","September","2021-09-01T00:00:00.000","488","488"
"64","2022","2022-01-01T00:00:00.000","2021","October","2021-10-01T00:00:00.000","396","396"
"65","2022","2022-01-01T00:00:00.000","2021","November","2021-11-01T00:00:00.000","444","444"
"66","2022","2022-01-01T00:00:00.000","2021","December","2021-12-01T00:00:00.000","320","320"
"67","2022","2022-01-01T00:00:00.000","2022","January","2022-01-01T00:00:00.000","381","381"
"68","2022","2022-01-01T00:00:00.000","2022","February","2022-02-01T00:00:00.000","362","362"
"69","2022","2022-01-01T00:00:00.000","2022","March","2022-03-01T00:00:00.000","507","507"
"70","2022","2022-01-01T00:00:00.000","2022","April","2022-04-01T00:00:00.000","428","428"
"71","2022","2022-01-01T00:00:00.000","2022","May","2022-05-01T00:00:00.000","478","478"
"72","2022","2022-01-01T00:00:00.000","2022","June","2022-06-01T00:00:00.000","422","422"
"73","2023","2023-01-01T00:00:00.000","2022","July","2022-07-01T00:00:00.000","441","441"
