"monthcy","type","fy20_original_projections","fy20_post_covid_19_projections","fy20_actual","month","cy","fy"
"2020-01-01T00:00:00.000","GF Consolidated Tax","9597385",,"9751680","January","2020","2020"
"2020-01-01T00:00:00.000","Franchise Fees","5927822",,"4554853","January","2020","2020"
"2020-01-01T00:00:00.000","Sales and Use Tax Fund","1465856",,"1517065","January","2020","2020"
"2020-01-01T00:00:00.000","Licenses and Permit","1375786",,"1209798","January","2020","2020"
"2020-01-01T00:00:00.000","Crime Prevention","388729",,"403511","January","2020","2020"
"2020-02-01T00:00:00.000","GF Consolidated Tax","8908870",,"8796754","February","2020","2020"
"2020-02-01T00:00:00.000","Franchise Fees","353951",,"1734434","February","2020","2020"
"2020-02-01T00:00:00.000","Sales and Use Tax Fund","1422868",,"1380355","February","2020","2020"
"2020-02-01T00:00:00.000","Licenses and Permit","763858",,"846001","February","2020","2020"
"2020-02-01T00:00:00.000","Crime Prevention","377277",,"367693","February","2020","2020"
"2020-03-01T00:00:00.000","GF Consolidated Tax","11842852","8266947","8774740","March","2020","2020"
"2020-03-01T00:00:00.000","Franchise Fees","1719434",,"1389830","March","2020","2020"
"2020-03-01T00:00:00.000","Sales and Use Tax Fund","1707630","998744","1261855","March","2020","2020"
"2020-03-01T00:00:00.000","Licenses and Permit","1009558",,"838674","March","2020","2020"
"2020-03-01T00:00:00.000","Crime Prevention","452914","264820","336038","March","2020","2020"
"2020-04-01T00:00:00.000","GF Consolidated Tax","10000592","6041080","5937527","April","2020","2020"
"2020-04-01T00:00:00.000","Franchise Fees","4271388",,"5551689","April","2020","2020"
"2020-04-01T00:00:00.000","Sales and Use Tax Fund","1584074","989447","981354","April","2020","2020"
"2020-04-01T00:00:00.000","Licenses and Permit","1153493",,"652361","April","2020","2020"
"2020-04-01T00:00:00.000","Crime Prevention","420616","262580","263303","April","2020","2020"
"2020-05-01T00:00:00.000","GF Consolidated Tax","10453647","6206280","7303167","May","2020","2020"
"2020-05-01T00:00:00.000","Franchise Fees","1915757","890153","884571","May","2020","2020"
"2020-05-01T00:00:00.000","Sales and Use Tax Fund","1659718","1001591","1174428","May","2020","2020"
"2020-05-01T00:00:00.000","Licenses and Permit","1093612","887379","896697","May","2020","2020"
"2020-05-01T00:00:00.000","Crime Prevention","440458","265651","311894","May","2020","2020"
"2020-06-01T00:00:00.000","GF Consolidated Tax","11956276","6949945","10069561","June","2020","2020"
"2020-06-01T00:00:00.000","Franchise Fees","7531299","7783770","7192655","June","2020","2020"
"2020-06-01T00:00:00.000","Sales and Use Tax Fund","1651890","984781","1409277","June","2020","2020"
"2020-06-01T00:00:00.000","Licenses and Permit","1649439","817173","1792951","June","2020","2020"
"2020-06-01T00:00:00.000","Crime Prevention","438799","261592","375275","June","2020","2020"
"2020-07-01T00:00:00.000","GF Consolidated Tax","6784708","8529348","8766775","July","2020","2021"
"2020-07-01T00:00:00.000","Franchise Fees","0","0","0","July","2020","2021"
"2020-07-01T00:00:00.000","Sales and Use Tax Fund","1189614","1356265","1391700","July","2020","2021"
"2020-07-01T00:00:00.000","Licenses and Permit","774900","651384","682880","July","2020","2021"
"2020-07-01T00:00:00.000","Crime Prevention","294404","360108","374612","July","2020","2021"
"2020-08-01T00:00:00.000","GF Consolidated Tax","7020086","8825251","8783365","August","2020","2021"
"2020-08-01T00:00:00.000","Franchise Fees","1444","1444","1970","August","2020","2021"
"2020-08-01T00:00:00.000","Sales and Use Tax Fund","1233998","1392605","1362111","August","2020","2021"
"2020-08-01T00:00:00.000","Licenses and Permit","725504","705665","737114","August","2020","2021"
"2020-08-01T00:00:00.000","Crime Prevention","302617","366375","368276","August","2020","2021"
"2020-09-01T00:00:00.000","GF Consolidated Tax","7645763","9611816","10523446","September","2020","2021"
"2020-09-01T00:00:00.000","Franchise Fees","2152193","2189228","2311227","September","2020","2021"
"2020-09-01T00:00:00.000","Sales and Use Tax Fund","1225220","1349136","1473576","September","2020","2021"
"2020-09-01T00:00:00.000","Licenses and Permit","1436004","1294150","1045655","September","2020","2021"
"2020-09-01T00:00:00.000","Crime Prevention","302995","357861","396084","September","2020","2021"
"2020-10-01T00:00:00.000","GF Consolidated Tax","7513196","8815484","9475601","October","2020","2021"
"2020-10-01T00:00:00.000","Franchise Fees","6831202","7875683","7354200","October","2020","2021"
"2020-10-01T00:00:00.000","Sales and Use Tax Fund","1245728","1371718","1465668","October","2020","2021"
"2020-10-01T00:00:00.000","Licenses and Permit","1595058","1262207","1665062","October","2020","2021"
"2020-10-01T00:00:00.000","Crime Prevention","306857","362422","394175","October","2020","2021"
"2020-11-01T00:00:00.000","GF Consolidated Tax","7564622","8270653","9185779","November","2020","2021"
"2020-11-01T00:00:00.000","Franchise Fees","1879792","701872","857971","November","2020","2021"
"2020-11-01T00:00:00.000","Sales and Use Tax Fund","1260886","1388410","1432976","November","2020","2021"
"2020-11-01T00:00:00.000","Licenses and Permit","913685","822227","836842","November","2020","2021"
"2020-11-01T00:00:00.000","Crime Prevention","311286","367652","385461","November","2020","2021"
"2020-12-01T00:00:00.000","GF Consolidated Tax","10462837","10860160","11675278","December","2020","2021"
"2020-12-01T00:00:00.000","Franchise Fees","1619948","1581069","1791052","December","2020","2021"
"2020-12-01T00:00:00.000","Sales and Use Tax Fund","1487869","1638349","1681072","December","2020","2021"
"2020-12-01T00:00:00.000","Licenses and Permit","941552","850682","1371734","December","2020","2021"
"2020-12-01T00:00:00.000","Crime Prevention","367958","434586","451888","December","2020","2021"
"2021-01-01T00:00:00.000","GF Consolidated Tax","7801344","7996378","8761531","January","2021","2021"
"2021-01-01T00:00:00.000","Franchise Fees","5956826","4526823","4416349","January","2021","2021"
"2021-01-01T00:00:00.000","Sales and Use Tax Fund","1190674","1311097","1353749","January","2021","2021"
"2021-01-01T00:00:00.000","Licenses and Permit","1353711","1133796","863414","January","2021","2021"
"2021-01-01T00:00:00.000","Crime Prevention","294267","347552","363673","January","2021","2021"
"2021-02-01T00:00:00.000","GF Consolidated Tax","7037403","7213338","8774971","February","2021","2021"
"2021-02-01T00:00:00.000","Franchise Fees","355683","1723761","880502","February","2021","2021"
"2021-02-01T00:00:00.000","Sales and Use Tax Fund","1083377","1192947","1386717","February","2021","2021"
"2021-02-01T00:00:00.000","Licenses and Permit","879401","792853","809127","February","2021","2021"
"2021-02-01T00:00:00.000","Crime Prevention","541365","316701","371790","February","2021","2021"
"2021-03-01T00:00:00.000","GF Consolidated Tax","9652214","10090951","12982439","March","2021","2021"
"2021-03-01T00:00:00.000","Franchise Fees","1727847","1381278","1489769","March","2021","2021"
"2021-03-01T00:00:00.000","Sales and Use Tax Fund","1340240","1090536","1890961","March","2021","2021"
"2021-03-01T00:00:00.000","Licenses and Permit","869013","785980","1179084","March","2021","2021"
"2021-03-01T00:00:00.000","Crime Prevention","330295","289436","506490","March","2021","2021"
"2021-04-01T00:00:00.000","GF Consolidated Tax","7421909","6412529","11505271","April","2021","2021"
"2021-04-01T00:00:00.000","Franchise Fees","4292287","5517525","4999006","April","2021","2021"
"2021-04-01T00:00:00.000","Sales and Use Tax Fund","1243267","856153","1828181","April","2021","2021"
"2021-04-01T00:00:00.000","Licenses and Permit","675960","611378","1902450","April","2021","2021"
"2021-04-01T00:00:00.000","Crime Prevention","306742","226788","488938","April","2021","2021"
"2021-05-01T00:00:00.000","GF Consolidated Tax","9128959","7887420","11690438","May","2021","2021"
"2021-05-01T00:00:00.000","Franchise Fees","894508","879128","867665","May","2021","2021"
"2021-05-01T00:00:00.000","Sales and Use Tax Fund","1302636","1014979","1835802","May","2021","2021"
"2021-05-01T00:00:00.000","Licenses and Permit","919479","840365","1057373","May","2021","2021"
"2021-05-01T00:00:00.000","Crime Prevention","321212","268640","493485","May","2021","2021"
"2021-06-01T00:00:00.000","GF Consolidated Tax","8714614","10875126","14041569","June","2021","2021"
"2021-06-01T00:00:00.000","Franchise Fees","7821854","7154845","6895502","June","2021","2021"
"2021-06-01T00:00:00.000","Sales and Use Tax Fund","1296492","1217943","1951486","June","2021","2021"
"2021-06-01T00:00:00.000","Licenses and Permit","846733","1680313","1681342","June","2021","2021"
"2021-06-01T00:00:00.000","Crime Prevention","320002","323232","524449","June","2021","2021"
