"month","fires","automobile_accidents","emergency_medical_services","hazardous_condition","other_responses","alarms","total_incidents","inspections","inter_facility_transfers","intra_facility_transfers","mutual_aid_given","mutual_aid_received"
"2017-01-31T00:00:00.000","10","36","750","10","29","34","869","197","36","61","22","4"
"2017-02-28T00:00:00.000","14","26","637","6","33","46","762","287","27","64","11","5"
"2017-03-31T00:00:00.000","7","31","759","14","41","33","885","365","23","63","18","1"
"2017-04-30T00:00:00.000","21","31","649","9","25","32","767","408","23","56","15","4"
"2017-05-31T00:00:00.000","16","25","638","20","106","34","839","370","32","70","24","3"
"2017-06-30T00:00:00.000","19","20","674","17","125","49","904","409","30","45","18","1"
"2017-07-31T00:00:00.000","15","32","664","7","154","50","922","487","31","66","20","2"
"2017-08-31T00:00:00.000","14","32","607","10","131","38","832","431","32","54","25","4"
"2017-09-30T00:00:00.000","12","50","619","5","115","34","835","462","33","50","17","0"
"2017-10-31T00:00:00.000","8","37","708","10","130","43","936","513","38","67","21","0"
"2017-11-30T00:00:00.000","9","35","592","6","128","41","811","485","35","53","11","3"
"2017-12-31T00:00:00.000","12","30","645","13","116","53","869","448","36","62","18","6"
"2018-01-31T00:00:00.000","10","32","680","8","115","46","891","315","28","72","16","1"
"2018-02-28T00:00:00.000","9","28","636","11","112","47","843","327","20","66","19","4"
"2018-03-31T00:00:00.000","12","18","604","5","121","35","795","299","31","54","14","2"
"2018-04-30T00:00:00.000","21","34","653","7","139","24","878","363","22","53","24","2"
"2018-05-31T00:00:00.000","15","35","683","10","150","54","947","448","29","78","15","2"
"2018-06-30T00:00:00.000","15","29","645","12","133","47","881","411","26","68","22","6"
"2018-07-31T00:00:00.000","14","28","613","15","172","50","892","400","33","55","27","3"
"2018-08-31T00:00:00.000","9","40","627","18","134","64","892","407","30","63","17","1"
"2018-09-30T00:00:00.000","13","30","597","15","152","41","848","423","26","54","15","1"
"2018-10-31T00:00:00.000","9","43","563","5","155","59","834","434","25","44","16","2"
"2018-11-30T00:00:00.000","7","16","543","8","152","40","766","547","18","42","18","1"
"2018-12-31T00:00:00.000","15","39","543","8","146","46","797","383","36","50","14","4"
"2019-01-31T00:00:00.000","15","22","598","21","182","66","904","261","28","53","13","12"
"2019-02-28T00:00:00.000","11","27","617","13","154","44","866","339","19","55","15","1"
"2019-03-31T00:00:00.000","6","29","643","11","134","60","883","379","30","48","24","2"
"2019-04-30T00:00:00.000","11","32","548","12","143","55","801","302","22","51","14","11"
"2019-05-31T00:00:00.000","13","25","571","14","142","50","815","270","21","42","13","1"
"2019-06-30T00:00:00.000","9","29","569","18","164","50","839","317","22","60","14","1"
"2019-07-31T00:00:00.000","15","38","657","19","152","75","956","454","21","52","21","11"
"2019-08-31T00:00:00.000","12","33","620","11","152","49","877","292","22","54","15","4"
"2019-09-30T00:00:00.000","5","30","601","13","138","63","850","454","21","46","13","5"
"2019-10-31T00:00:00.000","11","42","603","8","123","54","841","309","24","50","12","9"
"2019-11-30T00:00:00.000","8","34","561","4","142","38","787","413","22","44","13","2"
"2019-12-31T00:00:00.000","19","30","595","11","134","46","835","419","13","56","7","4"
"2020-01-31T00:00:00.000","10","30","584","19","193","41","877","240","22","66","18","0"
"2020-02-29T00:00:00.000","9","22","582","5","188","44","850","169","25","47","17","0"
"2020-03-31T00:00:00.000","11","19","587","3","187","47","854","306","8","51","9","4"
"2020-04-30T00:00:00.000","12","15","394","9","206","38","674","30","1","14","6","3"
"2020-05-31T00:00:00.000","24","27","517","4","183","54","809","9","2","33","12","7"
