"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_location","to_location","location_1","location_2"
"3192401","2014-08-18T06:05:00.000","2014-08-18T06:23:00.000","2021","1076","299","Halsted St & Roscoe St","143","Sedgwick St & Webster Ave","Customer",,,,,"(41.94367, -87.64895)","(41.922167, -87.638888)"
"8104360","2015-10-28T08:01:00.000","2015-10-28T08:32:00.000","3474","1816","259","California Ave & Francis Pl","192","Canal St & Adams St","Subscriber","Male","1989",,,"(41.918121, -87.696972)","(41.879255, -87.639904)"
"7872944","2015-10-10T03:36:00.000","2015-10-10T04:07:00.000","1201","1859","35","Streeter Dr & Illinois St","76","Lake Shore Dr & Monroe St","Customer",,,,,"(41.891071, -87.6122)","(41.880958, -87.616743)"
"3761566","2014-09-27T01:41:00.000","2014-09-27T01:48:00.000","1606","388","94","Clark St & Armitage Ave","340","Clark St & Wrightwood Ave","Subscriber","Male","1985",,,"(41.918306, -87.636282)","(41.929546, -87.643118)"
"5227505","2015-05-19T07:39:00.000","2015-05-19T07:47:00.000","1363","499","175","Wells St & Polk St","44","State St & Randolph St","Subscriber","Male","1987",,,"(41.872373, -87.633523)","(41.884730201, -87.627733569)"
"3562002","2014-09-13T02:47:00.000","2014-09-13T02:58:00.000","2666","685","113","Bissell St & Armitage Ave","176","Clark St & Elm St","Subscriber","Male","1990",,,"(41.91844, -87.65222)","(41.903233, -87.631253)"
"8282748","2015-11-14T11:47:00.000","2015-11-14T12:08:00.000","2903","1262","177","Theater on the Lake","35","Streeter Dr & Illinois St","Customer",,,,,"(41.926277, -87.630834)","(41.891071, -87.6122)"
"8217776","2015-11-07T11:05:00.000","2015-11-07T11:09:00.000","3021","229","299","Halsted St & Roscoe St","334","Lake Shore Dr & Belmont Ave","Subscriber","Male","1986",,,"(41.94367, -87.64895)","(41.940775, -87.639192)"
"2349797","2014-06-30T03:13:00.000","2014-06-30T03:41:00.000","2982","1715","35","Streeter Dr & Illinois St","199","Wabash Ave & Grand Ave","Customer",,,,,"(41.891071, -87.6122)","(41.891738, -87.626937)"
"826864","2013-10-20T01:30:00.000","2013-10-20T01:36:00.000","2099","383","49","Dearborn St & Monroe St","47","State St & Kinzie St","Subscriber","Male","1980",,,"(41.881319815, -87.629520919)","(41.88918, -87.6277)"
"2152477","2014-06-17T06:14:00.000","2014-06-17T06:20:00.000","2514","326","332","Halsted St & Diversey Pkwy","343","Racine Ave & Wrightwood Ave","Subscriber","Male","1989",,,"(41.933666, -87.648959)","(41.928887, -87.658971)"
"2740371","2014-07-23T05:27:00.000","2014-07-23T05:35:00.000","1619","457","294","Broadway & Berwyn Ave","293","Broadway & Wilson Ave","Subscriber","Male","1985",,,"(41.978353, -87.659753)","(41.965485, -87.657238)"
"274181","2013-08-20T11:06:00.000","2013-08-20T11:29:00.000","407","1384","37","Dearborn St & Adams St","173","Mies van der Rohe Way & Chicago Ave","Customer",,,,,"(41.879356359, -87.629791036)","(41.89691, -87.621743)"
"9539777","2016-05-14T07:41:00.000","2016-05-14T07:56:00.000","2242","894","289","Wells St & Concord Ln","133","Kingsbury St & Kinzie St","Subscriber","Male","1945",,,"(41.912133, -87.634656)","(41.889176833, -87.638505772)"
"6843928","2015-08-11T08:55:00.000","2015-08-11T09:05:00.000","776","572","110","Dearborn St & Erie St","180","Ritchie Ct & Banks St","Subscriber","Male","1975",,,"(41.893992, -87.629318)","(41.906782, -87.626402)"
"7080389","2015-08-23T06:14:00.000","2015-08-23T06:54:00.000","3402","2398","35","Streeter Dr & Illinois St","25","Michigan Ave & Pearson St","Customer",,,,,"(41.891071, -87.6122)","(41.89766, -87.62351)"
"3239633","2014-08-22T08:50:00.000","2014-08-22T08:57:00.000","2446","400","111","Sedgwick St & Huron St","66","Clinton St & Lake St","Subscriber","Male","1968",,,"(41.894666, -87.638437)","(41.885464, -87.641253)"
"6372571","2015-07-21T08:45:00.000","2015-07-21T09:00:00.000","2067","923","7","Field Blvd & South Water St","286","Franklin St & Quincy St","Customer",,,,,"(41.886349063, -87.617516547)","(41.878724, -87.634793)"
"7991643","2015-10-19T08:18:00.000","2015-10-19T08:39:00.000","3438","1231","214","Damen Ave & Grand Ave","49","Dearborn St & Monroe St","Subscriber","Male","1986",,,"(41.89122, -87.67686)","(41.881319815, -87.629520919)"
"3662457","2014-09-20T11:05:00.000","2014-09-20T11:10:00.000","2690","324","284","Michigan Ave & Jackson Blvd","90","Millennium Park","Customer",,,,,"(41.87785, -87.62408)","(41.8810317, -87.62408432)"
"1809478","2014-05-25T03:38:00.000","2014-05-25T04:10:00.000","352","1926","50","Clark St & Congress Pkwy","194","State St & Wacker Dr","Customer",,,,,"(41.875932666, -87.630584536)","(41.886875, -87.62603)"
"7606910","2015-09-22T07:24:00.000","2015-09-22T07:40:00.000","3616","967","286","Franklin St & Quincy St","178","State St & 19th St","Subscriber","Male","1966",,,"(41.878724, -87.634793)","(41.856594, -87.627542)"
"6845062","2015-08-11T10:26:00.000","2015-08-11T10:39:00.000","3741","731","141","Clark St & Lincoln Ave","93","Sheffield Ave & Willow St","Subscriber","Female","1982",,,"(41.915689, -87.6346)","(41.913688, -87.652855)"
"10154988","2016-06-17T04:01:00.000","2016-06-17T04:18:00.000","2095","989","350","Ashland Ave & Chicago Ave","233","Sangamon St & Washington Blvd (*)","Subscriber","Female","1986",,,"(41.895966, -87.667747)","(41.883004, -87.651148)"
"1497818","2014-04-25T09:10:00.000","2014-04-25T09:26:00.000","2802","958","29","Noble St & Milwaukee Ave","36","Franklin St & Jackson Blvd","Subscriber","Male","1986",,,"(41.90068, -87.6626)","(41.877707956, -87.635321141)"
"28580","2013-07-05T04:43:00.000","2013-07-05T05:01:00.000","624","1084","31","Franklin St & Chicago Ave","27","Larrabee St & North Ave","Customer",,,,,"(41.89680204, -87.63563839)","(41.91021, -87.6435)"
"2501956","2014-07-09T06:13:00.000","2014-07-09T06:36:00.000","2814","1412","35","Streeter Dr & Illinois St","35","Streeter Dr & Illinois St","Customer",,,,,"(41.891071, -87.6122)","(41.891071, -87.6122)"
"4656390","2015-03-17T01:14:00.000","2015-03-17T01:22:00.000","3025","494","80","Aberdeen St & Madison St","137","Morgan Ave & 14th Pl","Subscriber","Male","1986",,,"(41.880456, -87.653929)","(41.862378, -87.651062)"
"1130499","2014-01-16T03:16:00.000","2014-01-16T03:28:00.000","1547","715","75","Canal St & Jackson Blvd","196","Cityfront Plaza & N Water St","Subscriber","Male","1961",,,"(41.878412, -87.641052)","(41.890573, -87.622072)"
"5508818","2015-06-06T03:43:00.000","2015-06-06T04:05:00.000","3107","1341","321","Wabash Ave & 8th St","24","Fairbanks Ct & Grand Ave","Customer",,,,,"(41.871962, -87.626106)","(41.89186, -87.62062)"
"7947016","2015-10-15T12:25:00.000","2015-10-15T12:45:00.000","703","1222","176","Clark St & Elm St","194","Wabash Ave & Wacker Pl","Customer",,,,,"(41.903233, -87.631253)","(41.886875, -87.62603)"
"259916","2013-08-18T03:35:00.000","2013-08-18T03:44:00.000","243","495","31","Franklin St & Chicago Ave","110","State St & Erie St","Customer",,,,,"(41.89680204, -87.63563839)","(41.893992, -87.629318)"
"3252188","2014-08-22T09:43:00.000","2014-08-22T09:54:00.000","2920","609","46","Wells St & Walton St","51","Clark St & Randolph St","Customer",,,,,"(41.89993001, -87.63443007)","(41.884576228, -87.63188991)"
"926093","2013-11-05T02:22:00.000","2013-11-05T02:30:00.000","24","437","31","Franklin St & Chicago Ave","56","Desplaines St & Kinzie St","Customer",,,,,"(41.89680204, -87.63563839)","(41.888716036, -87.644447853)"
"8634757","2016-01-23T03:20:00.000","2016-01-23T03:23:00.000","1224","176","223","Clifton Ave & Armitage Ave","327","Sheffield Ave & Webster Ave","Subscriber","Male","1983",,,"(41.918216, -87.656936)","(41.92154, -87.653818)"
"8668814","2016-01-29T06:56:00.000","2016-01-29T07:17:00.000","2834","1250","244","Ravenswood Ave & Irving Park Rd","113","Bissell St & Armitage Ave","Subscriber","Male","1984",,,"(41.95469, -87.67393)","(41.91844, -87.65222)"
