"incident_number","call_time","call_type","race","age","gender","stop_location","veh_state","prior_bpd_involvements","count_tickets","count_warnings","stop_type","stop_outcome","search","contraband","viol_dls","viol_dui","viol_ls","viol_miss","viol_moving","viol_other","viol_vehicle","viol_muni","viol_civil"
"18BU000005","2018-01-01T00:14:00.000","Traffic","White","21","NA","North Ave At Convent Sq, Burlington, Vt","WV","0","0","1","M = Moving violation","Warning","0","NA","0","0","1","0","0","0","0","0","0"
"18BU000008","2018-01-01T00:44:00.000","Traffic","White","26","Female - F","S Willard St At Buell St, Burlington, Vt","VT","4","0","1","M = Moving violation","Warning","0","NA","0","0","0","0","0","1","0","0","0"
"18BU000010","2018-01-01T01:03:00.000","Traffic","White","25","Male - M","North Ave At Ward St, Burlington, Vt","MA","1","0","1","M = Moving violation","Warning","0","NA","0","0","0","0","0","1","0","0","0"
"18BU000014","2018-01-01T01:47:00.000","Traffic","Asian","50","Male - M","Park St At Sherman St, Burlington, Vt","VT","2","1","0","M = Moving violation","Ticket","0","NA","0","0","0","0","0","1","0","0","0"
"18BU000015","2018-01-01T01:57:00.000","Traffic","Black","31","Male - M","Pearl St At Hungerford Terr, Burlington, Vt","VT","1","0","1","V = Vehicle Equipment","Warning","0","NA","0","0","1","0","0","0","0","0","0"
"18BU000016","2018-01-01T02:01:00.000","Traffic","White","NA","NA",,"NA","0","0","0","NA","NA","0","NA","0","0","0","0","0","0","0","0","0"
"18BU000042","2018-01-01T13:09:00.000","Traffic","White","24","Female - F","North Ave At Staniford Rd, Burlington, Vt","VT","10","0","1","V = Vehicle Equipment","Warning","0","NA","0","0","0","0","0","0","1","0","0"
"18BU000049","2018-01-01T15:54:00.000","Traffic","White","68","Female - F","N Prospect St At Brookes Ave, Burlington, Vt","VT","2","0","1","M = Moving violation","Warning","0","NA","0","0","0","0","1","0","0","0","0"
"18BU000058","2018-01-01T20:11:00.000","Traffic","White","NA","NA",,"NA","0","0","0","NA","NA","0","NA","0","0","0","0","0","0","0","0","0"
"18BU000069","2018-01-02T01:02:00.000","Traffic","Black","42","Male - M","Riverside Ave At Bright St, Burlington, Vt","VT","0","0","1","M = Moving violation","Warning","0","NA","0","0","0","0","0","1","0","0","0"
"18BU000075","2018-01-02T08:56:00.000","Assist – Motorist","Asian","56","Male - M","Colchester Ave At Winooski Bridge, Burlington, Vt","VT","0","1","0","M = Moving violation","Ticket","0","NA","1","0","0","0","0","0","0","0","0"
"18BU000078","2018-01-02T10:13:00.000","Traffic","Black","28","Female - F","Maple St At S Champlain St, Burlington, Vt","VT","7","0","1","V = Vehicle Equipment","Warning","0","NA","0","0","0","0","0","0","1","0","0"
"18BU000082","2018-01-02T11:00:00.000","Traffic","White","35","Female - F","Battery St At Maple St, Burlington, Vt","VT","0","0","1","V = Vehicle Equipment","Warning","0","NA","0","0","0","0","0","0","1","0","0"
"18BU000083","2018-01-02T11:07:00.000","Traffic","White","23","Male - M","Shelburne Rd At Hoover St, Burlington, Vt","VT","7","1","0","M = Moving violation","Ticket","0","NA","0","0","0","0","1","0","0","0","0"
