"calendar_year","age","percent","physical_abuse","sexual_abuse","risk_of_sexual_abuse","risk_of_harm","emotional_neglect"
"2021","<1","0.0724","11","3","5","30","6"
"2021","1","0.0645","5","0","2","40","2"
"2021","2","0.0553","9","0","2","30","1"
"2021","3","0.0434","4","4","2","21","2"
"2021","4","0.0434","7","1","2","23","0"
"2021","5","0.0645","14","10","4","18","3"
"2021","6","0.0329","4","4","1","13","3"
"2021","7","0.0526","7","10","2","16","5"
"2021","8","0.0408","5","8","2","16","0"
"2021","9","0.0408","4","7","3","14","3"
"2021","10","0.0329","2","9","1","11","2"
"2021","11","0.0645","7","22","3","13","4"
"2021","12","0.0526","8","18","2","10","2"
"2021","13","0.0868","11","30","3","19","3"
"2021","14","0.0895","7","47","4","9","1"
"2021","15","0.0697","4","41","3","3","2"
"2021","16","0.0447","9","16","3","6","0"
"2021","17","0.0487","3","27","1","5","1"
"2020","<1","0.0502","4","0","4","25","1"
"2020","1","0.0783","7","2","5","37","2"
"2020","2","0.034","1","3","2","15","2"
"2020","3","0.0753","12","2","3","34","0"
"2020","4","0.0576","9","3","3","24","0"
"2020","5","0.0502","6","6","5","16","1"
"2020","6","0.0399","0","8","4","14","1"
"2020","7","0.0473","6","4","1","20","1"
"2020","8","0.0532","8","9","2","16","1"
"2020","9","0.0532","7","11","3","12","3"
"2020","10","0.0517","12","10","0","13","0"
"2020","11","0.0532","5","11","1","17","2"
"2020","12","0.0502","3","17","2","12","0"
"2020","13","0.0739","8","30","1","9","2"
"2020","14","0.062","6","21","4","10","1"
"2020","15","0.0827","4","42","2","8","0"
"2020","16","0.0487","5","21","2","5","0"
"2020","17","0.0384","2","19","0","4","1"
"2019","<1","0.0665","12","2","5","47","3"
"2019","1","0.052","7","0","3","43","1"
"2019","2","0.0626","7","1","5","51","1"
"2019","3","0.0617","4","6","9","40","5"
"2019","4","0.0578","6","10","6","34","4"
"2019","5","0.0703","19","11","5","37","1"
"2019","6","0.0414","4","6","5","27","1"
"2019","7","0.0443","9","6","6","22","3"
"2019","8","0.0549","9","17","6","25","0"
"2019","9","0.0588","11","17","2","29","2"
"2019","10","0.0453","4","17","6","19","1"
"2019","11","0.0443","10","12","5","19","0"
"2019","12","0.052","9","25","3","17","1"
"2019","13","0.0655","11","40","6","11","0"
"2019","14","0.052","11","25","2","13","3"
"2019","15","0.0655","10","44","6","8","0"
"2019","16","0.0636","9","40","3","11","3"
"2019","17","0.0405","3","28","4","6","1"
"2018","<1","0.062","10","2","4","50","9"
"2018","1","0.065","8","0","6","60","5"
"2018","2","0.059","6","2","3","57","4"
"2018","3","0.053","9","5","5","42","3"
"2018","4","0.045","10","12","0","33","0"
"2018","5","0.057","11","11","1","39","7"
"2018","6","0.067","11","16","9","41","4"
"2018","7","0.044","9","9","5","28","2"
"2018","8","0.056","15","11","5","31","6"
"2018","9","0.048","14","11","5","27","1"
"2018","10","0.05","13","14","6","26","2"
"2018","11","0.04","9","16","2","22","0"
"2018","12","0.042","7","23","3","16","2"
"2018","13","0.059","8","33","4","23","3"
"2018","14","0.07","13","53","6","11","2"
"2018","15","0.075","5","62","5","16","3"
"2018","16","0.063","6","53","2","12","3"
"2018","17","0.045","3","33","4","12","2"
"2017","<1","0.056","9","2","3","48","2"
"2017","1","0.065","10","7","7","48","2"
"2017","2","0.052","7","1","9","38","4"
"2017","3","0.055","4","3","4","50","1"
"2017","4","0.059","10","8","4","41","4"
"2017","5","0.053","12","6","7","33","2"
"2017","6","0.051","7","14","3","31","3"
"2017","7","0.056","13","7","5","37","2"
"2017","8","0.053","10","8","5","35","2"
"2017","9","0.057","9","15","7","33","1"
"2017","10","0.043","9","14","3","21","2"
"2017","11","0.027","5","7","3","15","1"
"2017","12","0.05","11","18","5","22","1"
"2017","13","0.063","13","34","3","20","1"
"2017","14","0.082","9","61","5","17","1"
"2017","15","0.088","12","67","4","13","4"
"2017","16","0.056","7","47","4","5","1"
"2017","17","0.033","2","29","2","4","1"
"2016","<1","0.061","6","4","1","48","3"
"2016","1","0.061","4","0","6","48","4"
"2016","2","0.054","6","0","5","42","2"
"2016","3","0.059","2","4","3","49","2"
"2016","4","0.049","3","7","7","32","1"
"2016","5","0.06","12","12","5","30","2"
"2016","6","0.061","10","14","10","26","2"
"2016","7","0.061","15","12","5","27","3"
"2016","8","0.06","10","8","12","28","3"
"2016","9","0.045","10","6","11","16","3"
"2016","10","0.045","7","10","11","16","2"
"2016","11","0.042","10","12","5","14","2"
"2016","12","0.043","5","18","9","11","1"
"2016","13","0.053","10","28","3","11","2"
"2016","14","0.077","7","52","9","10","1"
"2016","15","0.092","10","66","7","10","1"
"2016","16","0.051","3","37","5","4","3"
"2016","17","0.03","3","21","1","6","0"
"2015","<1","0.086","15","0","7","68","7"
"2015","1","0.048","7","0","8","35","4"
"2015","2","0.05","7","2","6","34","7"
"2015","3","0.057","8","10","9","31","6"
"2015","4","0.078","19","16","14","35","4"
"2015","5","0.07","17","14","8","34","6"
"2015","6","0.05","13","11","10","21","2"
"2015","7","0.063","14","17","11","27","2"
"2015","8","0.057","11","16","12","25","0"
"2015","9","0.045","5","16","6","23","1"
"2015","10","0.053","12","20","7","18","3"
"2015","11","0.045","4","26","8","11","2"
"2015","12","0.044","6","21","12","11","0"
"2015","13","0.064","7","40","11","12","2"
"2015","14","0.078","10","47","9","16","6"
"2015","15","0.051","6","39","6","7","0"
"2015","16","0.041","7","25","5","9","0"
"2015","17","0.02","2","17","1","2","1"
"2014","<1","0.058","10","3","12","35","7"
"2014","1","0.037","7","1","5","27","3"
"2014","2","0.039","5","5","4","31","0"
"2014","3","0.065","13","10","12","41","0"
"2014","4","0.064","17","19","14","22","2"
"2014","5","0.065","12","20","23","21","0"
"2014","6","0.079","15","22","17","34","4"
"2014","7","0.042","9","12","8","17","3"
"2014","8","0.055","11","22","11","20","0"
"2014","9","0.053","9","19","11","19","3"
"2014","10","0.048","5","20","12","17","2"
"2014","11","0.057","7","16","25","18","0"
"2014","12","0.053","6","25","8","22","1"
"2014","13","0.069","6","44","19","11","0"
"2014","14","0.058","8","35","9","14","1"
"2014","15","0.076","11","55","14","6","2"
"2014","16","0.049","6","34","7","9","1"
"2014","17","0.033","4","18","5","9","2"
