"id","datetime","month","year","period","percent_served_under_timeline_target","target"
"1","2011-01-01T00:00:00.000","JANUARY","2011","2018-01-11T00:00:00.000","0","75"
"2","2011-01-02T00:00:00.000","FEBRUARY","2011","2018-02-11T00:00:00.000","50","75"
"3","2011-01-03T00:00:00.000","MARCH","2011","2018-03-11T00:00:00.000","59","75"
"4","2011-01-04T00:00:00.000","APRIL","2011","2018-04-11T00:00:00.000","52","75"
"5","2011-01-05T00:00:00.000","MAY","2011","2018-05-11T00:00:00.000","47","75"
"6","2011-01-06T00:00:00.000","JUNE","2011","2018-06-11T00:00:00.000","52","75"
"7","2011-01-07T00:00:00.000","JULY","2011","2018-07-11T00:00:00.000","77","75"
"8","2011-01-08T00:00:00.000","AUGUST","2011","2018-08-11T00:00:00.000","80","75"
"9","2011-01-09T00:00:00.000","SEPTEMBER","2011","2018-09-11T00:00:00.000","72","75"
"10","2011-01-10T00:00:00.000","OCTOBER","2011","2018-10-11T00:00:00.000","65","75"
"11","2011-01-11T00:00:00.000","NOVEMBER","2011","2018-11-11T00:00:00.000","60","75"
"12","2011-01-12T00:00:00.000","DECEMBER","2011","2018-12-11T00:00:00.000","66","75"
"13","2012-01-01T00:00:00.000","JANUARY","2012","2018-01-12T00:00:00.000","64","75"
"14","2012-01-02T00:00:00.000","FEBRUARY","2012","2018-02-12T00:00:00.000","68","75"
"15","2012-01-03T00:00:00.000","MARCH","2012","2018-03-12T00:00:00.000","85","75"
"16","2012-01-04T00:00:00.000","APRIL","2012","2018-04-12T00:00:00.000","85","75"
"17","2012-01-05T00:00:00.000","MAY","2012","2018-05-12T00:00:00.000","75","75"
"18","2012-01-06T00:00:00.000","JUNE","2012","2018-06-12T00:00:00.000","77","75"
"19","2012-01-07T00:00:00.000","JULY","2012","2018-07-12T00:00:00.000","79","75"
"20","2012-01-08T00:00:00.000","AUGUST","2012","2018-08-12T00:00:00.000","82","75"
"21","2012-01-09T00:00:00.000","SEPTEMBER","2012","2018-09-12T00:00:00.000","83","75"
"22","2012-01-10T00:00:00.000","OCTOBER","2012","2018-10-12T00:00:00.000","80","75"
"23","2012-01-11T00:00:00.000","NOVEMBER","2012","2018-11-12T00:00:00.000","84","75"
"24","2012-01-12T00:00:00.000","DECEMBER","2012","2018-12-12T00:00:00.000","78","75"
"25","2013-01-01T00:00:00.000","JANUARY","2013","2018-01-13T00:00:00.000","88","75"
"26","2013-01-02T00:00:00.000","FEBRUARY","2013","2018-02-13T00:00:00.000","90","75"
"27","2013-01-03T00:00:00.000","MARCH","2013","2018-03-13T00:00:00.000","78","75"
"28","2013-01-04T00:00:00.000","APRIL","2013","2018-04-13T00:00:00.000","77","75"
"29","2013-01-05T00:00:00.000","MAY","2013","2018-05-13T00:00:00.000","81","75"
"30","2013-01-06T00:00:00.000","JUNE","2013","2018-06-13T00:00:00.000","70","75"
"31","2013-01-07T00:00:00.000","JULY","2013","2018-07-13T00:00:00.000","77","75"
"32","2013-01-08T00:00:00.000","AUGUST","2013","2018-08-13T00:00:00.000","79","75"
"33","2013-01-09T00:00:00.000","SEPTEMBER","2013","2018-09-13T00:00:00.000","77","75"
"34","2013-01-10T00:00:00.000","OCTOBER","2013","2018-10-13T00:00:00.000","78","75"
"35","2013-01-11T00:00:00.000","NOVEMBER","2013","2018-11-13T00:00:00.000","85","75"
"36","2013-01-12T00:00:00.000","DECEMBER","2013","2018-12-13T00:00:00.000","88","75"
"37","2014-01-01T00:00:00.000","JANUARY","2014","2018-01-14T00:00:00.000","88","75"
"38","2014-01-02T00:00:00.000","FEBRUARY","2014","2018-02-14T00:00:00.000","96","75"
"39","2014-01-03T00:00:00.000","MARCH","2014","2018-03-14T00:00:00.000","94","75"
"40","2014-01-04T00:00:00.000","APRIL","2014","2018-04-14T00:00:00.000","86","80"
"41","2014-01-05T00:00:00.000","MAY","2014","2018-05-14T00:00:00.000","86","80"
"42","2014-01-06T00:00:00.000","JUNE","2014","2018-06-14T00:00:00.000","84","80"
"43","2014-01-07T00:00:00.000","JULY","2014","2018-07-14T00:00:00.000","86","80"
"44","2014-01-08T00:00:00.000","AUGUST","2014","2018-08-14T00:00:00.000","83","80"
"45","2014-01-09T00:00:00.000","SEPTEMBER","2014","2018-09-14T00:00:00.000","79","80"
"46","2014-01-10T00:00:00.000","OCTOBER","2014","2018-10-14T00:00:00.000","83","80"
"47","2014-01-11T00:00:00.000","NOVEMBER","2014","2018-11-14T00:00:00.000","90","80"
"48","2014-01-12T00:00:00.000","DECEMBER","2014","2018-12-14T00:00:00.000","93","80"
"49","2015-01-01T00:00:00.000","JANUARY","2015","2018-01-15T00:00:00.000","87","80"
"50","2015-01-02T00:00:00.000","FEBRUARY","2015","2018-02-15T00:00:00.000","88","80"
"51","2015-01-03T00:00:00.000","MARCH","2015","2018-03-15T00:00:00.000","83","80"
"52","2015-01-04T00:00:00.000","APRIL","2015","2018-04-15T00:00:00.000","85","80"
"53","2015-01-05T00:00:00.000","MAY","2015","2018-05-15T00:00:00.000","74","80"
"54","2015-01-06T00:00:00.000","JUNE","2015","2018-06-15T00:00:00.000","83","80"
"55","2015-01-07T00:00:00.000","JULY","2015","2018-07-15T00:00:00.000","77","80"
"56","2015-01-08T00:00:00.000","AUGUST","2015","2018-08-15T00:00:00.000","77","80"
"57","2015-01-09T00:00:00.000","SEPTEMBER","2015","2018-09-15T00:00:00.000","78","80"
"58","2015-01-10T00:00:00.000","OCTOBER","2015","2018-10-15T00:00:00.000","87","80"
"59","2015-01-11T00:00:00.000","NOVEMBER","2015","2018-11-15T00:00:00.000","83","80"
"60","2015-01-12T00:00:00.000","DECEMBER","2015","2018-12-15T00:00:00.000","87","80"
"61","2016-01-01T00:00:00.000","JANUARY","2016","2018-01-16T00:00:00.000","88","80"
"62","2016-01-02T00:00:00.000","FEBRUARY","2016","2018-02-16T00:00:00.000","89","80"
"63","2016-01-03T00:00:00.000","MARCH","2016","2018-03-16T00:00:00.000","84","80"
"64","2016-01-04T00:00:00.000","APRIL","2016","2018-04-16T00:00:00.000","76","80"
"65","2016-01-05T00:00:00.000","MAY","2016","2018-05-16T00:00:00.000","79","80"
"66","2016-01-06T00:00:00.000","JUNE","2016","2018-06-16T00:00:00.000","61","80"
"67","2016-01-07T00:00:00.000","JULY","2016","2018-07-16T00:00:00.000","76","80"
"68","2016-01-08T00:00:00.000","AUGUST","2016","2018-08-16T00:00:00.000","86","80"
"69","2016-01-09T00:00:00.000","SEPTEMBER","2016","2018-09-16T00:00:00.000","75","80"
"70","2016-01-10T00:00:00.000","OCTOBER","2016","2018-10-16T00:00:00.000","73","80"
"71","2016-01-11T00:00:00.000","NOVEMBER","2016","2018-11-16T00:00:00.000","81","80"
"72","2016-01-12T00:00:00.000","DECEMBER","2016","2018-12-16T00:00:00.000","94","80"
"73","2017-01-01T00:00:00.000","JANUARY","2017","2018-01-17T00:00:00.000","81","80"
"74","2017-01-02T00:00:00.000","FEBRUARY","2017","2018-02-17T00:00:00.000","89","80"
"75","2017-01-04T00:00:00.000","MARCH","2017","2018-03-17T00:00:00.000","81","80"
"76","2017-01-04T00:00:00.000","APRIL","2017","2018-04-17T00:00:00.000","76","80"
"77","2017-01-05T00:00:00.000","MAY","2017","2018-05-17T00:00:00.000","76","80"
"78","2017-01-06T00:00:00.000","JUNE","2017","2018-06-17T00:00:00.000","76","80"
"79","2017-01-07T00:00:00.000","JULY","2017","2018-07-17T00:00:00.000","77","80"
"80","2017-01-08T00:00:00.000","AUGUST","2017","2018-08-17T00:00:00.000","80","80"
"81","2017-01-09T00:00:00.000","SEPTEMBER","2017","2018-09-17T00:00:00.000","77","80"
"82","2017-01-10T00:00:00.000","OCTOBER","2017","2018-10-17T00:00:00.000","85","80"
"83","2017-01-11T00:00:00.000","NOVEMBER","2017","2018-11-17T00:00:00.000","89","80"
"84","2017-01-12T00:00:00.000","DECEMBER","2017","2018-12-17T00:00:00.000","86","80"
"85","2018-01-01T00:00:00.000","JANUARY","2018","2018-01-18T00:00:00.000","89","80"
"86","2018-01-02T00:00:00.000","FEBRUARY","2018","2018-02-18T00:00:00.000","87","80"
"87","2018-01-03T00:00:00.000","MARCH","2018","2018-03-18T00:00:00.000","86","80"
"88","2018-01-04T00:00:00.000","APRIL","2018","2018-04-18T00:00:00.000","79","80"
"89","2018-01-05T00:00:00.000","MAY","2018","2018-05-01T00:00:00.000","75","80"
"90","2018-01-06T00:00:00.000","JUNE","2018","2018-06-18T00:00:00.000","76","80"
"91","2018-01-07T00:00:00.000","JULY","2018","2018-07-18T00:00:00.000","77","80"
