"id","actual_date","month","year","report_date","month_ridership","disorder_total","disorder_total_rate","target"
"201101","2011-01-01T00:00:00.000","1","2011-01-01T00:00:00.000","Jan-11","7672440","279","3.64","6.5"
"201102","2011-02-01T00:00:00.000","2","2011-01-01T00:00:00.000","Feb-11","7320724","285","3.89","6.5"
"201103","2011-03-01T00:00:00.000","3","2011-01-01T00:00:00.000","Mar-11","7409224","348","4.7","6.5"
"201104","2011-04-01T00:00:00.000","4","2011-01-01T00:00:00.000","Apr-11","7286880","413","5.67","6.5"
"201105","2011-05-01T00:00:00.000","5","2011-01-01T00:00:00.000","May-11","5538729","344","6.21","6.5"
"201106","2011-06-01T00:00:00.000","6","2011-01-01T00:00:00.000","Jun-11","5418889","365","6.74","6.5"
"201107","2011-07-01T00:00:00.000","7","2011-01-01T00:00:00.000","Jul-11","4550512","414","9.1","6.5"
"201108","2011-08-01T00:00:00.000","8","2011-01-01T00:00:00.000","Aug-11","4437755","342","7.71","6.5"
"201109","2011-09-01T00:00:00.000","9","2011-01-01T00:00:00.000","Sep-11","7630852","337","4.42","6.5"
"201110","2011-10-01T00:00:00.000","10","2011-01-01T00:00:00.000","Oct-11","7742752","397","5.13","6.5"
"201111","2011-11-01T00:00:00.000","11","2011-01-01T00:00:00.000","Nov-11","7748313","379","4.89","6.5"
"201112","2011-12-01T00:00:00.000","12","2011-01-01T00:00:00.000","Dec-11","7534489","361","4.79","6.5"
"201201","2012-01-01T00:00:00.000","1","2012-01-01T00:00:00.000","Jan-12","7550021","404","5.35","6.5"
"201202","2012-02-01T00:00:00.000","2","2012-01-01T00:00:00.000","Feb-12","7533927","423","5.61","6.5"
"201203","2012-03-01T00:00:00.000","3","2012-01-01T00:00:00.000","Mar-12","7597013","539","7.09","6.5"
"201204","2012-04-01T00:00:00.000","4","2012-01-01T00:00:00.000","Apr-12","7426916","479","6.45","6.5"
"201205","2012-05-01T00:00:00.000","5","2012-01-01T00:00:00.000","May-12","5775161","485","8.4","6.5"
"201206","2012-06-01T00:00:00.000","6","2012-01-01T00:00:00.000","Jun-12","5597637","419","7.49","6.5"
"201207","2012-07-01T00:00:00.000","7","2012-01-01T00:00:00.000","Jul-12","4983388","469","9.41","6.5"
"201208","2012-08-01T00:00:00.000","8","2012-01-01T00:00:00.000","Aug-12","4668264","379","8.12","6.5"
"201209","2012-09-01T00:00:00.000","9","2012-01-01T00:00:00.000","Sep-12","7890892","391","4.96","6.5"
"201210","2012-10-01T00:00:00.000","10","2012-01-01T00:00:00.000","Oct-12","7904952","466","5.9","6.5"
"201211","2012-11-01T00:00:00.000","11","2012-01-01T00:00:00.000","Nov-12","8086393","422","5.22","6.5"
"201212","2012-12-01T00:00:00.000","12","2012-01-01T00:00:00.000","Dec-12","7739677","382","4.94","6.5"
"201301","2013-01-01T00:00:00.000","1","2013-01-01T00:00:00.000","Jan-13","8257930","455","5.51","6.5"
"201302","2013-02-01T00:00:00.000","2","2013-01-01T00:00:00.000","Feb-13","7806821","526","6.74","6.5"
"201303","2013-03-01T00:00:00.000","3","2013-01-01T00:00:00.000","Mar-13","7867993","547","6.95","6.5"
"201304","2013-04-01T00:00:00.000","4","2013-01-01T00:00:00.000","Apr-13","7792508","658","8.44","6.5"
"201305","2013-05-01T00:00:00.000","5","2013-01-01T00:00:00.000","May-13","6351842","578","9.1","6.5"
"201306","2013-06-01T00:00:00.000","6","2013-01-01T00:00:00.000","Jun-13","6128523","519","8.47","6.5"
"201307","2013-07-01T00:00:00.000","7","2013-01-01T00:00:00.000","Jul-13","5402038","539","9.98","6.5"
"201308","2013-08-01T00:00:00.000","8","2013-01-01T00:00:00.000","Aug-13","5069796","495","9.76","6.5"
"201309","2013-09-01T00:00:00.000","9","2013-01-01T00:00:00.000","Sep-13","8095726","494","6.1","6.5"
"201310","2013-10-01T00:00:00.000","10","2013-01-01T00:00:00.000","Oct-13","8221469","591","7.19","6.5"
"201311","2013-11-01T00:00:00.000","11","2013-01-01T00:00:00.000","Nov-13","8153029","560","6.87","6.5"
"201312","2013-12-01T00:00:00.000","12","2013-01-01T00:00:00.000","Dec-13","8123329","458","5.64","6.5"
"201401","2014-01-01T00:00:00.000","1","2014-01-01T00:00:00.000","Jan-14","7984279","599","7.5","6.5"
"201402","2014-02-01T00:00:00.000","2","2014-01-01T00:00:00.000","Feb-14","7921442","521","6.58","6.5"
"201403","2014-03-01T00:00:00.000","3","2014-01-01T00:00:00.000","Mar-14","8095632","563","6.95","6.5"
"201404","2014-04-01T00:00:00.000","4","2014-01-01T00:00:00.000","Apr-14","8127315","655","8.06","6.5"
"201405","2014-05-01T00:00:00.000","5","2014-01-01T00:00:00.000","May-14","6515596","569","8.73","6.5"
"201406","2014-06-01T00:00:00.000","6","2014-01-01T00:00:00.000","Jun-14","6457363","554","8.58","6.5"
"201407","2014-07-01T00:00:00.000","7","2014-01-01T00:00:00.000","Jul-14","5700156","540","9.47","6.5"
"201408","2014-08-01T00:00:00.000","8","2014-01-01T00:00:00.000","Aug-14","5516717","494","8.95","6.5"
"201409","2014-09-01T00:00:00.000","9","2014-01-01T00:00:00.000","Sep-14","8311873","523","6.29","6.5"
"201410","2014-10-01T00:00:00.000","10","2014-01-01T00:00:00.000","Oct-14","8468852","572","6.75","6.5"
"201411","2014-11-01T00:00:00.000","11","2014-01-01T00:00:00.000","Nov-14","8308246","602","7.25","6.5"
"201412","2014-12-01T00:00:00.000","12","2014-01-01T00:00:00.000","Dec-14","7993356","679","8.49","6.5"
"201501","2015-01-01T00:00:00.000","1","2015-01-01T00:00:00.000","Jan-15","8091564","614","7.59","6.5"
"201502","2015-02-01T00:00:00.000","2","2015-01-01T00:00:00.000","Feb-15","7879700","574","7.28","6.5"
"201503","2015-03-01T00:00:00.000","3","2015-04-01T00:00:00.000","Mar-15","8142288","648","7.96","6.5"
"201504","2015-04-01T00:00:00.000","4","2015-09-01T00:00:00.000","Apr-15","7890482","491","6.22","6.5"
"201505","2015-05-01T00:00:00.000","5","2015-09-01T00:00:00.000","May-15","6362347","619","9.73","6.5"
"201506","2015-06-01T00:00:00.000","6","2015-09-01T00:00:00.000","Jun-15","6433524","521","8.1","6.5"
"201507","2015-07-31T00:00:00.000","7","2015-09-01T00:00:00.000","Jul-15","5581066","506","9.07","6.5"
"201508","2015-08-01T00:00:00.000","8","2015-11-01T00:00:00.000","Aug-15","5372093","531","9.88","6.5"
"201509","2015-09-01T00:00:00.000","9","2015-11-01T00:00:00.000","Sep-15","8318281","582","7","6.5"
"201510","2015-10-01T00:00:00.000","10","2015-12-01T00:00:00.000","Oct-15","8317462","573","6.89","6.5"
"201511","2015-11-01T00:00:00.000","11","2015-01-01T00:00:00.000","Nov-15","8308245","554","6.67","6.5"
"201512","2015-12-01T00:00:00.000","12","2015-05-01T00:00:00.000","Dec-15","7916580","534","6.75","6.5"
"201601","2016-01-31T00:00:00.000","1","2016-05-01T00:00:00.000","Jan-16","8314503","659","7.93","6.5"
"201602","2016-02-29T00:00:00.000","2","2016-05-01T00:00:00.000","Feb-16","7823164","647","8.27","6.5"
"201603","2016-03-31T00:00:00.000","3","2016-05-01T00:00:00.000","Mar-16","7939529","694","8.74","6.5"
"201604","2016-04-30T00:00:00.000","4","2016-08-01T00:00:00.000","Apr-16","7722350","639","8.27","6.5"
"201605","2016-05-31T00:00:00.000","5","2016-08-01T00:00:00.000","May-16","6461591","624","9.66","6.5"
"201606","2016-06-30T00:00:00.000","6","2016-08-01T00:00:00.000","Jun-16","6199957","553","8.94","6.5"
"201607","2016-07-31T00:00:00.000","7","2016-10-01T00:00:00.000","Jul-16","5199744","530","10.19","6.5"
"201608","2016-08-31T00:00:00.000","8","2016-10-01T00:00:00.000","Aug-16","4993170","537","10.75","6.5"
"201609","2016-09-30T00:00:00.000","9","2016-12-01T00:00:00.000","Sep-16","8136131","579","7.12","6.5"
"201610","2016-10-31T00:00:00.000","10","2016-12-01T00:00:00.000","Oct-16","8037540","754","9.38","6.5"
"201611","2016-11-30T00:00:00.000","11","2016-01-01T00:00:00.000","Nov-16","8208592","724","8.82","6.5"
"201612","2016-12-31T00:00:00.000","12","2016-02-01T00:00:00.000","Dec-16","7812974","720","9.22","6.5"
"201701","2017-01-31T00:00:00.000","1","2017-04-01T00:00:00.000","Jan-17","8010599","793","9.9","6.5"
"201702","2017-02-28T00:00:00.000","2","2017-04-01T00:00:00.000","Feb-17","7697061","719","9.34","6.5"
"201703","2017-03-31T00:00:00.000","3","2017-08-01T00:00:00.000","Mar-17","7863623","810","10.301","6.5"
"201704","2017-04-30T00:00:00.000","4","2017-08-01T00:00:00.000","Apr-17","7554431","829","10.974","6.5"
"201705","2017-05-31T00:00:00.000","5","2017-08-01T00:00:00.000","May-17","6365418","660","10.369","6.5"
"201706","2017-06-30T00:00:00.000","6","2017-09-01T00:00:00.000","Jun-17","6216357","581","9.346","6.5"
"201707","2017-07-31T00:00:00.000","7","2017-09-01T00:00:00.000","Jul-17","5228122","658","12.586","6.5"
"201708","2017-08-31T00:00:00.000","8","2017-11-01T00:00:00.000","Aug-17","5054488","534","10.565","6.5"
"201709","2017-09-30T00:00:00.000","9","2017-12-01T00:00:00.000","Sep-17","8145759","563","6.912","6.5"
"201710","2017-10-31T00:00:00.000","10","2017-01-01T00:00:00.000","Oct-17","7952479","653","8.211","6.5"
"201711","2017-11-30T00:00:00.000","11","2017-01-01T00:00:00.000","Nov-17","8133008","793","9.75","6.5"
"201712","2017-12-31T00:00:00.000","12","2017-02-01T00:00:00.000","Dec-17","7751071","709","9.147","6.5"
