"id","year","month","actual_data_kwhe_capita","target_kwhe_capita","date_and_time"
"1","2005","December","1.14",,"2005-12-01T00:00:00.000"
"2","2011","December","1.25",,"2011-12-01T00:00:00.000"
"3","2012","December","1.27",,"2012-12-01T00:00:00.000"
"4","2013","December","1.32",,"2013-12-01T00:00:00.000"
"5","2014","December","1.29",,"2014-12-01T00:00:00.000"
"6","2015","December","1.26",,"2015-12-01T00:00:00.000"
"7","2016","December","1.25",,"2016-12-01T00:00:00.000"
"8","2017","December","1.22",,"2017-12-01T00:00:00.000"
