"id","year","month","actual_data","target","reporting_date","date_and_time"
"1","2005","December","241.9","181.43","2005-12-01T00:00:00.000","2005-12-01T00:00:00.000"
"2","2008","December","242.1","181.43","2008-12-01T00:00:00.000","2008-12-01T00:00:00.000"
"3","2009","December","227.4","181.43","2009-12-01T00:00:00.000","2009-12-01T00:00:00.000"
"4","2010","December","227.5","181.43","2010-12-01T00:00:00.000","2010-12-01T00:00:00.000"
"5","2011","December","227.4","181.43","2011-12-01T00:00:00.000","2011-12-01T00:00:00.000"
"6","2012","December","210.9","181.43","2012-12-01T00:00:00.000","2012-12-01T00:00:00.000"
"7","2013","December","210.8","181.43","2013-12-01T00:00:00.000","2013-12-01T00:00:00.000"
"8","2014","December","210.4","181.43","2014-12-01T00:00:00.000","2014-12-01T00:00:00.000"
"9","2015","December","192.6","181.43","2015-12-01T00:00:00.000","2015-12-01T00:00:00.000"
"10","2016","December","188","181.43","2016-12-01T00:00:00.000","2016-12-01T00:00:00.000"
"11","2017","December","188.5","181.43","2017-12-01T00:00:00.000","2017-12-01T00:00:00.000"
