"id","datetime","month","year","persons_per_km","_2018_target"
"6","2017-12-31T00:00:00.000","December","2017","56.5","increase over previous year"
"5","2016-12-31T00:00:00.000","December","2016","53.3","increase over previous year"
"1","2012-12-31T00:00:00.000","December","2012","50.8","increase over previous year"
"4","2015-12-31T00:00:00.000","December","2015","53.4","increase over previous year"
"2","2013-12-31T00:00:00.000","December","2013","51.8","increase over previous year"
"3","2014-12-31T00:00:00.000","December","2014","53.3","increase over previous year"
