"id","year","month","of_users","datetime"
"36","2013","Dec-13","8761","2013-12-31T00:00:00.000"
"24","2012","Dec-12","9969","2012-12-31T00:00:00.000"
"12","2011","Dec-11","14365","2011-12-31T00:00:00.000"
"37","2014","Jan-14","13515","2014-01-31T00:00:00.000"
"1","2011","Jan-11","8048","2011-01-31T00:00:00.000"
"2","2011","Feb-11","8928","2011-02-28T00:00:00.000"
"3","2011","Mar-11","11674","2011-03-31T00:00:00.000"
"4","2011","Apr-11","19147","2011-04-30T00:00:00.000"
"5","2011","May-11","24174","2011-05-31T00:00:00.000"
"6","2011","Jun-11","23532","2011-06-30T00:00:00.000"
"7","2011","Jul-11","23564","2011-07-31T00:00:00.000"
"8","2011","Aug-11","25973","2011-08-31T00:00:00.000"
"9","2011","Sep-11","23347","2011-09-30T00:00:00.000"
"10","2011","Oct-11","23069","2011-10-31T00:00:00.000"
"11","2011","Nov-11","17202","2011-11-30T00:00:00.000"
"13","2012","Jan-12","12876","2012-01-31T00:00:00.000"
"14","2012","Feb-12","10895","2012-02-28T00:00:00.000"
"15","2012","Mar-12","14949","2012-03-31T00:00:00.000"
"16","2012","Apr-12","17120","2012-04-30T00:00:00.000"
"17","2012","May-12","24241","2012-05-31T00:00:00.000"
"18","2012","Jun-12","24079","2012-06-30T00:00:00.000"
"19","2012","Jul-12","24802","2012-07-31T00:00:00.000"
"20","2012","Aug-12","25641","2012-08-31T00:00:00.000"
"21","2012","Sep-12","22719","2012-09-30T00:00:00.000"
"22","2012","Oct-12","21921","2012-10-31T00:00:00.000"
"23","2012","Nov-12","12798","2012-11-30T00:00:00.000"
"25","2013","Jan-13","12803","2013-01-31T00:00:00.000"
"26","2013","Feb-13","11244","2013-02-28T00:00:00.000"
"27","2013","Mar-13","11967","2013-03-31T00:00:00.000"
"28","2013","Apr-13","17957","2013-04-30T00:00:00.000"
"29","2013","May-13","26639","2013-05-31T00:00:00.000"
"30","2013","Jun-13","23961","2013-06-30T00:00:00.000"
"31","2013","Jul-13","26796","2013-07-31T00:00:00.000"
"32","2013","Aug-13","26812","2013-08-31T00:00:00.000"
"33","2013","Sep-13","23414","2013-09-30T00:00:00.000"
"34","2013","Oct-13","24553","2013-10-31T00:00:00.000"
"35","2013","Nov-13","14394","2013-11-30T00:00:00.000"
"38","2014","Feb-14","10040","2014-02-28T00:00:00.000"
"39","2014","Mar-14","12757","2014-03-31T00:00:00.000"
"40","2014","Apr-14","20777","2014-04-30T00:00:00.000"
"45","2014","Sep-14","24451","2014-09-30T00:00:00.000"
"44","2014","Aug-14","26784","2014-08-31T00:00:00.000"
"43","2014","Jul-14","26810","2014-07-31T00:00:00.000"
"42","2014","Jun-14","25512","2014-06-30T00:00:00.000"
"41","2014","May-14","26958","2014-05-31T00:00:00.000"
"46","2014","Oct-14","23882","2014-10-31T00:00:00.000"
"47","2014","Nov-14","14252","2014-11-30T00:00:00.000"
"48","2014","Dec-14","12530","2014-12-31T00:00:00.000"
"49","2015","Jan-15","13436","2015-01-31T00:00:00.000"
"50","2015","Feb-15","9870","2015-02-28T00:00:00.000"
"73","2017","Jan-17","14698","2017-01-31T00:00:00.000"
"72","2016","Dec-16","15194","2016-12-31T00:00:00.000"
"75","2017","Mar-17","16934","2017-03-31T00:00:00.000"
"53","2015","May-15","31273","2015-05-31T00:00:00.000"
"51","2015","Mar-15","14702","2015-03-31T00:00:00.000"
"52","2015","Apr-15","26022","2015-04-30T00:00:00.000"
"74","2017","Feb-17","13974","2017-02-28T00:00:00.000"
"54","2015","Jun-15","30575","2015-06-30T00:00:00.000"
"55","2015","Jul-15","31841","2015-07-31T00:00:00.000"
"56","2015","Aug-15","31052","2015-08-31T00:00:00.000"
"76","2017","Apr-17","22796","2017-04-30T00:00:00.000"
"77","2017","May-17","35166","2017-05-31T00:00:00.000"
"57","2015","Sep-15","27737","2015-09-30T00:00:00.000"
"58","2015","Oct-15","19622","2015-10-31T00:00:00.000"
"59","2015","Nov-15","16864","2015-11-30T00:00:00.000"
"60","2015","Dec-15","15317","2015-12-31T00:00:00.000"
"61","2016","Jan-16","14641","2016-01-31T00:00:00.000"
"62","2016","Feb-16","14262","2016-02-29T00:00:00.000"
"80","2017","Aug-17","33865","2017-08-31T00:00:00.000"
"65","2016","May-16","29742","2016-05-31T00:00:00.000"
"78","2017","Jun-17","33006","2017-06-30T00:00:00.000"
"63","2016","Mar-16","18157","2016-03-31T00:00:00.000"
"64","2016","Apr-16","28917","2016-04-30T00:00:00.000"
"66","2016","Jun-16","29781","2016-06-30T00:00:00.000"
"67","2016","Jul-16","30816","2016-07-31T00:00:00.000"
"68","2016","Aug-16","31546","2016-08-31T00:00:00.000"
"69","2016","Sep-16","28870","2016-09-30T00:00:00.000"
"70","2016","Oct-16","24008","2016-10-31T00:00:00.000"
"71","2016","Nov-16","21365","2016-11-30T00:00:00.000"
"79","2017","Jul-17","33129","2017-07-31T00:00:00.000"
"81","2017","Sep-17","30209","2017-09-30T00:00:00.000"
"88","2018","Apr-18","20030","2018-04-30T00:00:00.000"
"87","2018","Mar-18","13329","2018-03-31T00:00:00.000"
"83","2017","Nov-17","16640","2017-11-01T00:00:00.000"
"84","2017","Dec-17","12929","2017-12-31T00:00:00.000"
"82","2017","Oct-17","27621","2017-10-31T00:00:00.000"
"86","2018","Feb-18","9877","2018-02-28T00:00:00.000"
"85","2018","Jan-18","15411","2018-01-31T00:00:00.000"
