"id","datetime","month","year","_change_total_nubmer_of_small_to_medium_sized_businesses","_2018_target"
"1","2010-12-31T00:00:00.000","December","2010","12.500",
"2","2011-12-31T00:00:00.000","December","2011","-21.300",
"3","2012-12-31T00:00:00.000","December","2012","-11.900",
"4","2013-12-31T00:00:00.000","December","2013","-5.900",
"5","2014-12-31T00:00:00.000","December","2014","-2.400",
"6","2015-12-31T00:00:00.000","December","2015","-4.300",
"7","2016-12-31T00:00:00.000","December","2016","10.500",
"8","2017-12-31T00:00:00.000","December","2017","10.700",
"9","2018-12-31T00:00:00.000","December","2018","-7.500",
"10","2019-12-31T00:00:00.000","December","2019","13.500",
"11","2020-12-31T00:00:00.000","December","2020","4.100",
