"id","datetime","month","year","period","active_business_licences","target"
"1","2013-01-01T00:00:00.000","January","2013","2013-01-01 0:00","29724",
"2","2013-02-01T00:00:00.000","February","2013","2013-02-01 0:00","29955",
"3","2013-03-01T00:00:00.000","March","2013","2013-03-01 0:00","29982",
"4","2013-04-01T00:00:00.000","April","2013","2013-04-01 0:00","30088",
"5","2013-05-01T00:00:00.000","May","2013","2013-05-01 0:00","30228",
"6","2013-06-01T00:00:00.000","June","2013","2013-06-01 0:00","30287",
"7","2013-07-01T00:00:00.000","July","2013","2013-07-01 0:00","30391",
"8","2013-08-01T00:00:00.000","August","2013","2013-08-01 0:00","30423",
"9","2013-09-01T00:00:00.000","September","2013","2013-09-01 0:00","30516",
"10","2013-10-01T00:00:00.000","October","2013","2013-10-01 0:00",,
"11","2013-11-01T00:00:00.000","November","2013","2013-11-01 0:00","30649",
"12","2013-12-01T00:00:00.000","December","2013","2013-12-01 0:00","28751",
"13","2014-01-01T00:00:00.000","January","2014","2014-01-01 0:00","30192",
"14","2014-02-01T00:00:00.000","February","2014","2014-02-01 0:00","30521",
"15","2014-03-01T00:00:00.000","March","2014","2014-03-01 0:00","29759",
"16","2014-04-01T00:00:00.000","April","2014","2014-04-01 0:00","30735",
"17","2014-05-01T00:00:00.000","May","2014","2014-05-01 0:00","31123",
"18","2014-06-01T00:00:00.000","June","2014","2014-06-01 0:00","31142",
"19","2014-07-01T00:00:00.000","July","2014","2014-07-01 0:00","31360",
"20","2014-08-01T00:00:00.000","August","2014","2014-08-01 0:00","31476",
"21","2014-09-01T00:00:00.000","September","2014","2014-09-01 0:00","31649",
"22","2014-10-01T00:00:00.000","October","2014","2014-10-01 0:00","31847",
"23","2014-11-01T00:00:00.000","November","2014","2014-11-01 0:00","31913",
"24","2014-12-01T00:00:00.000","December","2014","2014-12-01 0:00","30030",
"25","2015-01-01T00:00:00.000","January","2015","2015-01-01 0:00","31440",
"26","2015-02-01T00:00:00.000","February","2015","2015-02-01 0:00","31699",
"27","2015-03-01T00:00:00.000","March","2015","2015-03-01 0:00","31724",
"28","2015-04-01T00:00:00.000","April","2015","2015-04-01 0:00","31645",
"29","2015-05-01T00:00:00.000","May","2015","2015-05-01 0:00","31934",
"30","2015-06-01T00:00:00.000","June","2015","2015-06-01 0:00","32139",
"31","2015-07-01T00:00:00.000","July","2015","2015-07-01 0:00","32343",
"32","2015-08-01T00:00:00.000","August","2015","2015-08-01 0:00","32406",
"33","2015-09-01T00:00:00.000","September","2015","2015-09-01 0:00","32710",
"34","2015-10-01T00:00:00.000","October","2015","2015-10-01 0:00","33043",
"35","2015-11-01T00:00:00.000","November","2015","2015-11-01 0:00","33076",
"36","2015-12-01T00:00:00.000","December","2015","2015-12-01 0:00","31307",
"37","2016-01-01T00:00:00.000","January","2016","2016-01-01 0:00","32770",
"38","2016-02-01T00:00:00.000","February","2016","2016-02-01 0:00","33206",
"39","2016-03-01T00:00:00.000","March","2016","2016-03-01 0:00","33327",
"40","2016-04-01T00:00:00.000","April","2016","2016-04-01 0:00","33614",
"41","2016-05-01T00:00:00.000","May","2016","2016-05-01 0:00","33739",
"42","2016-06-01T00:00:00.000","June","2016","2016-06-01 0:00","33788",
"43","2016-07-01T00:00:00.000","July","2016","2016-07-01 0:00","33807",
"44","2016-08-01T00:00:00.000","August","2016","2016-08-01 0:00","33913",
"45","2016-09-01T00:00:00.000","September","2016","2016-09-01 0:00","33989",
"46","2016-10-01T00:00:00.000","October","2016","2016-10-01 0:00","34327",
"47","2016-11-01T00:00:00.000","November","2016","2016-11-01 0:00","34364",
"48","2016-12-01T00:00:00.000","December","2016","2016-12-01 0:00","33956",
"49","2017-01-01T00:00:00.000","January","2017","2017-01-01 0:00","33961",
"50","2017-02-01T00:00:00.000","February","2017","2017-02-01 0:00","34143",
"51","2017-03-01T00:00:00.000","March","2017","2017-03-01 0:00","34263",
"52","2017-04-01T00:00:00.000","April","2017","2017-04-01 0:00","34484",
"53","2017-05-01T00:00:00.000","May","2017","2017-05-01 0:00","34875",
"54","2017-06-01T00:00:00.000","June","2017","2017-06-01 0:00","35206",
"55","2017-07-01T00:00:00.000","July","2017","2017-07-01 0:00","35242",
"56","2017-08-01T00:00:00.000","August","2017","2017-08-01 0:00","35433",
"57","2017-09-01T00:00:00.000","September","2017","2017-09-01 0:00","35496",
"58","2017-10-01T00:00:00.000","October","2017","2017-10-01 0:00","35610",
"59","2017-11-01T00:00:00.000","November","2017","2017-11-01 0:00","35696",
"60","2017-12-01T00:00:00.000","December","2017","2017-12-01 0:00","34911",
"61","2018-01-01T00:00:00.000","January","2018","2018-01-01 0:00","35039",
"62","2018-02-01T00:00:00.000","February","2018","2018-02-01 0:00","35057",
"63","2018-03-01T00:00:00.000","March","2018","2018-03-01 0:00","35092",
"64","2018-04-01T00:00:00.000","April","2018","2018-04-01 0:00","35074",
"65","2018-05-01T00:00:00.000","May","2018","2018-05-01 0:00","34864",
"66","2018-06-01T00:00:00.000","June","2018","2018-06-01 0:00","34351",
"67","2018-07-01T00:00:00.000","July","2018","2018-07-01 0:00","34916",
"68","2018-08-01T00:00:00.000","August","2018","2018-08-01 0:00","34918",
"69","2018-09-01T00:00:00.000","September","2018","2018-09-01 0:00","34696",
"70","2018-10-01T00:00:00.000","October","2018","2018-10-01 0:00","34168",
"71","2018-11-01T00:00:00.000","November","2018","2018-11-01 0:00","34594",
"72","2018-12-01T00:00:00.000","December","2018","2018-12-01 0:00","33001",
"73","2019-01-01T00:00:00.000","January","2019","2019-01-01 0:00","32424",
"74","2019-02-01T00:00:00.000","February","2019","2019-02-01 0:00","33213",
"75","2019-03-01T00:00:00.000","March","2019","2019-03-01 0:00","33169",
"76","2019-04-01T00:00:00.000","April","2019","2019-04-01 0:00","32997",
"77","2019-05-01T00:00:00.000","May","2019","2019-05-01 0:00","33674",
"78","2019-06-01T00:00:00.000","June","2019","2019-06-01 0:00","33489",
"79","2019-07-01T00:00:00.000","July","2019","2019-07-01 0:00","34266",
"80","2019-08-01T00:00:00.000","August","2019","2019-08-01 0:00","34485",
"81","2019-09-01T00:00:00.000","September","2019","2019-09-01 0:00","34593",
"82","2019-10-01T00:00:00.000","October","2019","2019-10-01 0:00","34783",
"83","2019-11-01T00:00:00.000","November","2019","2019-11-01 0:00","34826",
"84","2019-12-01T00:00:00.000","December","2019","2019-12-01 0:00","34442",
"85","2020-01-01T00:00:00.000","January","2020","2020-01-01 0:00","34402",
"86","2020-02-01T00:00:00.000","February","2020","2020-02-01 0:00","34672",
"87","2020-03-01T00:00:00.000","March","2020","2020-03-01 0:00","34732",
"88","2020-04-01T00:00:00.000","April","2020","2020-04-01 0:00","34249",
"89","2020-05-01T00:00:00.000","May","2020","2020-05-01 0:00","30917",
"90","2020-06-01T00:00:00.000","June","2020","2020-06-01 0:00","31377",
"91","2020-07-01T00:00:00.000","July","2020","2020-07-01 0:00","31877",
"92","2020-08-01T00:00:00.000","August","2020","2020-08-01 0:00","32261",
"93","2020-09-01T00:00:00.000","September","2020","2020-09-01 0:00","32887",
"94","2020-10-01T00:00:00.000","October","2020","2020-10-01 0:00","33498",
"95","2020-11-01T00:00:00.000","November","2020","2020-11-01 0:00","34006",
"96","2020-12-01T00:00:00.000","December","2020","2020-12-01 0:00","34700",
"97","2021-01-01T00:00:00.000","January","2021","2021-01-01 0:00","33649",
"98","2021-02-01T00:00:00.000","February","2021","2021-02-01 0:00","34263",
"99","2021-03-01T00:00:00.000","March","2021","2021-03-01 0:00","34023",
"100","2021-04-01T00:00:00.000","April","2021","2021-04-01 0:00","34208",
"101","2021-05-01T00:00:00.000","May","2021","2021-05-01 0:00","34834",
"102","2021-06-01T00:00:00.000","June","2021","2021-06-01 0:00","35306",
"103","2021-07-01T00:00:00.000","July","2021","2021-07-01 0:00","35562",
"104","2021-08-01T00:00:00.000","August","2021","2021-08-01 0:00","35478",
"105","2021-09-01T00:00:00.000","September","2021","2021-09-01 0:00","35528",
"106","2021-10-01T00:00:00.000","October","2021","2021-10-01 0:00","35617",
"107","2021-11-01T00:00:00.000","November","2021","2021-11-01 0:00","33663",
"108","2021-12-01T00:00:00.000","December","2021","2021-12-01 0:00","38184",
"109","2022-01-01T00:00:00.000","January","2022","2022-01-01 0:00","37829",
"110","2022-02-01T00:00:00.000","February","2022","2022-02-01 0:00","37966",
"111","2022-03-01T00:00:00.000","March","2022","2022-03-01 0:00","37961",
"112","2022-04-01T00:00:00.000","April","2022","2022-04-01 0:00","37857",
